      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.001   0.005   0.057   0.179   0.221   0.218   0.176   0.131   0.067   0.017   0.000
    10.45    51.08    1952   0.000   0.000   0.002   0.091   0.210   0.226   0.189   0.136   0.102   0.054   0.008   0.000
    10.45    51.08    1953   0.000   0.001   0.019   0.143   0.187   0.185   0.204   0.187   0.097   0.068   0.005   0.000
    10.45    51.08    1954   0.000   0.000   0.005   0.042   0.196   0.187   0.175   0.167   0.116   0.072   0.017   0.000
    10.45    51.08    1955   0.000   0.000   0.003   0.043   0.189   0.204   0.174   0.152   0.123   0.065   0.012   0.000
    10.45    51.08    1956   0.000   0.000   0.002   0.031   0.190   0.178   0.191   0.178   0.129   0.063   0.008   0.000
    10.45    51.08    1957   0.000   0.001   0.031   0.104   0.180   0.213   0.172   0.173   0.111   0.064   0.001   0.000
    10.45    51.08    1958   0.000   0.002   0.003   0.033   0.175   0.196   0.210   0.189   0.134   0.068   0.010   0.000
    10.45    51.08    1959   0.000   0.000   0.019   0.106   0.200   0.206   0.156   0.149   0.086   0.049   0.001   0.000
    10.45    51.08    1960   0.000   0.000   0.005   0.046   0.164   0.218   0.199   0.158   0.112   0.058   0.016   0.000
    10.45    51.08    1961   0.000   0.001   0.020   0.096   0.160   0.208   0.179   0.168   0.126   0.071   0.000   0.000
    10.45    51.08    1962   0.000   0.000   0.001   0.036   0.148   0.206   0.191   0.156   0.118   0.040   0.010   0.000
    10.45    51.08    1963   0.000   0.000   0.001   0.045   0.180   0.200   0.184   0.162   0.126   0.059   0.022   0.000
    10.45    51.08    1964   0.000   0.000   0.000   0.044   0.206   0.236   0.194   0.145   0.108   0.045   0.003   0.000
    10.45    51.08    1965   0.000   0.000   0.001   0.034   0.155   0.203   0.188   0.193   0.127   0.065   0.007   0.000
    10.45    51.08    1966   0.000   0.004   0.010   0.072   0.214   0.208   0.185   0.173   0.118   0.067   0.002   0.000
    10.45    51.08    1967   0.000   0.002   0.016   0.044   0.184   0.196   0.225   0.166   0.112   0.075   0.013   0.000
    10.45    51.08    1968   0.000   0.000   0.007   0.064   0.148   0.173   0.171   0.130   0.091   0.051   0.007   0.000
    10.45    51.08    1969   0.000   0.000   0.000   0.018   0.143   0.174   0.172   0.129   0.108   0.060   0.019   0.000
    10.45    51.08    1970   0.000   0.000   0.001   0.022   0.153   0.220   0.206   0.162   0.132   0.047   0.018   0.001
    10.45    51.08    1971   0.000   0.000   0.002   0.056   0.170   0.184   0.213   0.151   0.105   0.060   0.014   0.000
    10.45    51.08    1972   0.000   0.000   0.011   0.056   0.165   0.226   0.183   0.167   0.110   0.057   0.016   0.000
    10.45    51.08    1973   0.000   0.000   0.005   0.020   0.172   0.212   0.186   0.148   0.119   0.060   0.012   0.000
    10.45    51.08    1974   0.001   0.002   0.022   0.099   0.180   0.211   0.201   0.172   0.136   0.038   0.001   0.001
    10.45    51.08    1975   0.001   0.000   0.004   0.040   0.183   0.201   0.217   0.181   0.129   0.051   0.011   0.000
    10.45    51.08    1976   0.000   0.000   0.002   0.048   0.201   0.229   0.156   0.137   0.073   0.064   0.015   0.000
    10.45    51.08    1977   0.000   0.001   0.017   0.043   0.169   0.138   0.163   0.120   0.089   0.055   0.013   0.000
    10.45    51.08    1978   0.000   0.000   0.008   0.041   0.126   0.164   0.165   0.140   0.089   0.053   0.005   0.000
    10.45    51.08    1979   0.000   0.000   0.003   0.032   0.150   0.199   0.183   0.173   0.118   0.059   0.008   0.001
    10.45    51.08    1980   0.000   0.001   0.003   0.032   0.161   0.206   0.169   0.165   0.119   0.056   0.001   0.000
    10.45    51.08    1981   0.000   0.000   0.028   0.090   0.175   0.187   0.173   0.161   0.123   0.056   0.002   0.000
    10.45    51.08    1982   0.000   0.001   0.004   0.045   0.161   0.192   0.184   0.139   0.082   0.057   0.026   0.000
    10.45    51.08    1983   0.001   0.000   0.010   0.072   0.172   0.217   0.206   0.166   0.120   0.060   0.010   0.000
    10.45    51.08    1984   0.000   0.000   0.002   0.033   0.124   0.199   0.195   0.173   0.105   0.071   0.014   0.000
    10.45    51.08    1985   0.000   0.000   0.002   0.059   0.180   0.197   0.227   0.188   0.119   0.049   0.007   0.001
