      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.047   0.047   0.219   1.091   3.252   3.631   3.631   3.631   3.631   3.631   2.376   0.047
    10.45    51.08    1952   0.041   0.041   0.123   1.829   3.718   3.718   3.718   3.718   3.718   3.718   1.426   0.041
    10.45    51.08    1953   0.032   0.044   0.359   2.450   3.672   3.672   3.672   3.672   3.672   3.672   0.494   0.032
    10.45    51.08    1954   0.027   0.027   0.122   0.917   2.963   3.629   3.629   3.629   3.629   3.629   2.885   0.027
    10.45    51.08    1955   0.023   0.023   0.116   0.973   3.322   3.586   3.586   3.586   3.586   3.586   2.280   0.023
    10.45    51.08    1956   0.020   0.018   0.059   0.743   2.857   3.509   3.509   3.509   3.509   3.509   2.229   0.019
    10.45    51.08    1957   0.037   0.072   0.758   2.318   3.508   3.523   3.523   3.523   3.523   3.456   0.073   0.015
    10.45    51.08    1958   0.013   0.210   0.558   0.897   2.962   3.430   3.430   3.430   3.430   3.430   1.868   0.013
    10.45    51.08    1959   0.010   0.019   0.579   2.202   3.289   3.289   3.289   3.289   3.289   3.267   0.148   0.010
    10.45    51.08    1960   0.017   0.012   0.272   1.200   2.911   3.408   3.408   3.408   3.408   3.408   2.264   0.058
    10.45    51.08    1961   0.007   0.022   0.681   2.358   3.355   3.355   3.355   3.355   3.355   3.280   0.060   0.022
    10.45    51.08    1962   0.007   0.015   0.056   0.704   2.828   3.340   3.340   3.340   3.340   3.340   1.673   0.006
    10.45    51.08    1963   0.004   0.004   0.060   0.831   2.855   3.275   3.275   3.275   3.275   3.275   2.404   0.005
    10.45    51.08    1964   0.004   0.004   0.011   0.711   2.981   3.285   3.285   3.285   3.285   3.285   0.770   0.024
    10.45    51.08    1965   0.042   0.004   0.035   0.765   2.392   3.252   3.252   3.252   3.252   3.252   1.520   0.004
    10.45    51.08    1966   0.011   0.173   0.635   1.472   3.188   3.246   3.246   3.246   3.246   3.246   0.669   0.004
    10.45    51.08    1967   0.001   0.093   0.421   0.868   2.332   2.821   2.821   2.821   2.821   2.821   1.619   0.001
    10.45    51.08    1968   0.001   0.003   0.113   1.378   2.829   2.843   2.843   2.843   2.843   2.843   1.024   0.001
    10.45    51.08    1969   0.011   0.010   0.010   0.531   2.587   3.130   3.130   3.130   3.130   3.130   2.938   0.018
    10.45    51.08    1970   0.017   0.017   0.042   0.469   2.638   3.430   3.467   3.501   3.501   3.501   3.501   0.242
    10.45    51.08    1971   0.029   0.044   0.121   1.065   3.034   3.535   3.269   3.343   3.535   3.535   2.483   0.053
    10.45    51.08    1972   0.057   0.037   0.238   1.318   2.979   3.382   3.382   3.382   3.382   3.382   2.098   0.046
    10.45    51.08    1973   0.049   0.047   0.110   0.518   2.442   3.400   3.389   3.378   3.400   3.400   1.836   0.049
    10.45    51.08    1974   0.060   0.215   0.563   1.990   3.163   3.349   3.349   3.349   3.349   3.349   0.053   0.062
    10.45    51.08    1975   0.058   0.061   0.203   0.721   2.952   3.538   3.538   3.538   3.538   3.538   1.566   0.058
    10.45    51.08    1976   0.058   0.058   0.081   0.887   2.442   2.863   2.863   2.863   2.863   2.863   1.928   0.058
    10.45    51.08    1977   0.054   0.063   0.580   1.197   2.541   2.779   2.779   2.779   2.779   2.779   0.986   0.054
    10.45    51.08    1978   0.065   0.064   0.334   1.121   2.624   3.138   3.138   3.138   3.138   3.138   1.509   0.108
    10.45    51.08    1979   0.150   0.063   0.088   0.698   2.394   3.504   3.557   3.557   3.504   3.557   1.578   0.254
    10.45    51.08    1980   0.189   0.081   0.125   0.812   2.325   3.552   3.583   3.434   3.583   3.583   0.952   0.348
    10.45    51.08    1981   0.264   0.086   0.675   2.502   3.301   3.388   3.388   3.388   3.388   3.388   0.312   0.076
    10.45    51.08    1982   0.079   0.078   0.106   0.861   2.445   3.406   3.405   3.405   3.394   3.410   3.236   0.085
    10.45    51.08    1983   0.087   0.110   0.394   1.306   3.262   3.405   3.405   3.405   3.405   3.405   1.639   0.092
    10.45    51.08    1984   0.082   0.077   0.086   0.526   2.523   3.505   3.505   3.505   3.505   3.505   2.364   0.084
    10.45    51.08    1985   0.083   0.078   0.100   1.318   2.996   3.569   3.569   3.569   3.569   3.569   1.357   0.092
    10.45    51.08    1986   0.105   0.069   0.107   0.513   3.206   3.693   3.693   3.693   3.693   3.693   3.306   0.073
    10.45    51.08    1987   0.063   0.063   0.078   0.982   3.434   3.796   3.796   3.796   3.796   3.796   2.801   0.063
    10.45    51.08    1988   0.056   0.057   0.093   0.909   3.414   3.831   3.831   3.831   3.831   3.831   2.698   0.056
    10.45    51.08    1989   0.049   0.057   0.369   1.542   2.872   3.028   3.028   3.028   3.028   3.028   0.967   0.047
    10.45    51.08    1990   0.090   0.247   1.335   2.434   3.195   3.202   3.202   3.202   3.202   2.407   0.277   0.042
    10.45    51.08    1991   0.058   0.039   0.811   2.445   3.446   3.622   3.464   3.685   3.643   3.705   0.982   0.047
    10.45    51.08    1992   0.046   0.052   0.381   1.069   3.007   3.382   3.434   3.434   3.434   3.434   0.423   0.054
