      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.022  -0.017  -0.015  -0.002   0.049   0.077   0.045   0.025   0.002   0.005  -0.018  -0.018
    10.45    51.08    1952  -0.016  -0.007  -0.020   0.005   0.077   0.062  -0.010  -0.035   0.018   0.007  -0.013  -0.008
    10.45    51.08    1953  -0.009  -0.011  -0.018   0.037   0.035   0.029   0.033   0.023  -0.020  -0.015  -0.028  -0.023
    10.45    51.08    1954  -0.008  -0.004  -0.023  -0.004   0.060   0.013   0.037   0.025  -0.002   0.002  -0.017  -0.020
    10.45    51.08    1955  -0.007  -0.009  -0.009  -0.004   0.058   0.051   0.015   0.023   0.011   0.000  -0.013  -0.016
    10.45    51.08    1956  -0.018  -0.001  -0.014  -0.009   0.058   0.045   0.048   0.045   0.018  -0.007  -0.014  -0.019
    10.45    51.08    1957  -0.011  -0.025  -0.016   0.030   0.063   0.038  -0.009   0.035   0.015   0.006  -0.025  -0.012
    10.45    51.08    1958  -0.015  -0.020  -0.007  -0.002   0.044   0.055   0.044   0.023   0.002  -0.004  -0.016  -0.017
    10.45    51.08    1959  -0.016  -0.008  -0.022   0.019   0.061   0.049  -0.038  -0.008  -0.028  -0.020  -0.019  -0.012
    10.45    51.08    1960  -0.015  -0.009  -0.019  -0.009   0.052   0.051   0.040   0.014   0.006  -0.001  -0.016  -0.013
    10.45    51.08    1961  -0.008  -0.020  -0.025   0.019   0.062   0.067   0.009   0.021  -0.020  -0.025  -0.027  -0.013
    10.45    51.08    1962  -0.017  -0.012  -0.007  -0.016   0.046   0.050   0.044  -0.001   0.009  -0.030  -0.014  -0.007
    10.45    51.08    1963  -0.002  -0.002  -0.015  -0.008   0.055   0.041   0.013   0.021   0.013  -0.000  -0.015  -0.007
    10.45    51.08    1964  -0.004  -0.009  -0.010  -0.009   0.072   0.044   0.013  -0.007  -0.011  -0.012  -0.023  -0.015
    10.45    51.08    1965  -0.014  -0.005  -0.012  -0.014   0.051   0.063   0.038   0.048   0.024  -0.003  -0.012  -0.015
    10.45    51.08    1966  -0.008  -0.015  -0.017   0.011   0.068   0.040   0.057   0.038   0.020  -0.014  -0.015  -0.014
    10.45    51.08    1967  -0.014  -0.019  -0.019  -0.002   0.051   0.064   0.035   0.007   0.011  -0.009  -0.015  -0.011
    10.45    51.08    1968  -0.007  -0.013  -0.013  -0.006   0.042   0.025   0.001  -0.014  -0.014  -0.013  -0.018  -0.006
    10.45    51.08    1969  -0.009  -0.007  -0.005  -0.016   0.034   0.048  -0.002  -0.039   0.014  -0.009  -0.019  -0.004
    10.45    51.08    1970  -0.004  -0.005  -0.009  -0.012   0.048   0.044   0.024   0.016   0.012  -0.016  -0.017  -0.014
    10.45    51.08    1971  -0.007  -0.018  -0.012  -0.007   0.024   0.036   0.026  -0.042  -0.008  -0.018  -0.015  -0.018
    10.45    51.08    1972  -0.008  -0.012  -0.020  -0.002   0.056   0.079   0.016   0.034   0.018   0.004  -0.015  -0.013
    10.45    51.08    1973  -0.009  -0.014  -0.019  -0.016   0.047   0.036  -0.007  -0.024  -0.012   0.002  -0.012  -0.008
    10.45    51.08    1974  -0.022  -0.020  -0.009   0.020   0.070   0.075   0.061   0.012   0.009  -0.006  -0.022  -0.022
    10.45    51.08    1975  -0.029  -0.016  -0.021  -0.001   0.060   0.058   0.028  -0.015  -0.007  -0.018  -0.013  -0.014
    10.45    51.08    1976  -0.019  -0.007  -0.013  -0.008   0.059   0.064  -0.056  -0.013  -0.033  -0.017  -0.014  -0.012
    10.45    51.08    1977  -0.009  -0.019  -0.023   0.004   0.050   0.009   0.020   0.007  -0.001  -0.009  -0.021  -0.012
    10.45    51.08    1978  -0.015  -0.006  -0.021  -0.007   0.030   0.010   0.027  -0.005  -0.001  -0.005  -0.019  -0.011
    10.45    51.08    1979  -0.003  -0.003  -0.014  -0.007   0.040   0.009   0.032   0.013  -0.006  -0.016  -0.013  -0.021
    10.45    51.08    1980  -0.006  -0.016  -0.018  -0.010   0.055   0.035   0.026  -0.013  -0.009  -0.013  -0.021  -0.012
    10.45    51.08    1981  -0.009  -0.008  -0.008   0.013   0.059   0.036   0.001   0.015   0.008  -0.004  -0.021  -0.007
    10.45    51.08    1982  -0.006  -0.009  -0.020  -0.010   0.036   0.000  -0.012  -0.044  -0.060  -0.025  -0.017  -0.017
    10.45    51.08    1983  -0.026  -0.009  -0.019   0.017   0.060   0.060  -0.002  -0.007  -0.006  -0.020  -0.019  -0.011
    10.45    51.08    1984  -0.023  -0.010  -0.012  -0.008   0.036   0.069   0.046   0.022   0.007   0.002  -0.015  -0.013
