      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.010   0.009   0.011   0.030   0.071   0.092   0.099   0.090   0.070   0.036   0.021   0.011
    10.45    51.08    1952   0.008   0.007   0.011   0.047   0.082   0.094   0.099   0.086   0.052   0.033   0.012   0.007
    10.45    51.08    1953   0.006   0.008   0.019   0.056   0.082   0.086   0.099   0.092   0.062   0.044   0.016   0.012
    10.45    51.08    1954   0.005   0.004   0.014   0.024   0.078   0.089   0.080   0.084   0.065   0.044   0.020   0.012
    10.45    51.08    1955   0.005   0.005   0.009   0.025   0.074   0.086   0.087   0.080   0.064   0.038   0.016   0.010
    10.45    51.08    1956   0.008   0.001   0.011   0.020   0.076   0.076   0.089   0.079   0.063   0.039   0.013   0.011
    10.45    51.08    1957   0.008   0.012   0.023   0.043   0.068   0.095   0.092   0.081   0.056   0.038   0.014   0.008
    10.45    51.08    1958   0.008   0.011   0.007   0.020   0.076   0.084   0.096   0.092   0.070   0.042   0.016   0.011
    10.45    51.08    1959   0.007   0.005   0.018   0.045   0.076   0.086   0.087   0.078   0.055   0.033   0.010   0.008
    10.45    51.08    1960   0.008   0.006   0.012   0.025   0.067   0.091   0.085   0.077   0.056   0.035   0.019   0.007
    10.45    51.08    1961   0.006   0.011   0.018   0.045   0.063   0.087   0.082   0.078   0.071   0.044   0.011   0.008
    10.45    51.08    1962   0.010   0.006   0.007   0.026   0.058   0.085   0.081   0.078   0.058   0.034   0.012   0.005
    10.45    51.08    1963   0.002   0.002   0.010   0.027   0.072   0.085   0.091   0.080   0.063   0.034   0.022   0.004
    10.45    51.08    1964   0.004   0.006   0.007   0.029   0.082   0.102   0.095   0.079   0.061   0.030   0.014   0.008
    10.45    51.08    1965   0.008   0.004   0.009   0.022   0.063   0.086   0.084   0.085   0.060   0.037   0.011   0.010
    10.45    51.08    1966   0.005   0.011   0.012   0.035   0.083   0.091   0.082   0.081   0.059   0.044   0.010   0.009
    10.45    51.08    1967   0.009   0.010   0.017   0.024   0.075   0.082   0.104   0.084   0.060   0.049   0.016   0.008
    10.45    51.08    1968   0.005   0.006   0.012   0.031   0.057   0.073   0.076   0.066   0.048   0.033   0.012   0.004
    10.45    51.08    1969   0.006   0.004   0.005   0.016   0.059   0.071   0.082   0.068   0.052   0.034   0.018   0.003
    10.45    51.08    1970   0.004   0.005   0.007   0.017   0.061   0.092   0.089   0.080   0.064   0.033   0.021   0.008
    10.45    51.08    1971   0.006   0.007   0.008   0.028   0.072   0.077   0.093   0.084   0.055   0.038   0.016   0.010
    10.45    51.08    1972   0.004   0.007   0.014   0.027   0.065   0.087   0.087   0.078   0.051   0.030   0.016   0.007
    10.45    51.08    1973   0.006   0.007   0.011   0.015   0.067   0.087   0.087   0.081   0.063   0.033   0.014   0.007
    10.45    51.08    1974   0.010   0.009   0.016   0.039   0.067   0.081   0.084   0.082   0.064   0.024   0.012   0.012
    10.45    51.08    1975   0.012   0.007   0.011   0.023   0.071   0.081   0.098   0.093   0.068   0.032   0.013   0.008
    10.45    51.08    1976   0.009   0.006   0.008   0.026   0.078   0.095   0.092   0.076   0.050   0.040   0.016   0.007
    10.45    51.08    1977   0.006   0.008   0.015   0.020   0.061   0.061   0.072   0.059   0.045   0.033   0.015   0.007
    10.45    51.08    1978   0.006   0.004   0.012   0.020   0.050   0.067   0.069   0.065   0.044   0.030   0.011   0.007
    10.45    51.08    1979   0.003   0.003   0.009   0.019   0.061   0.087   0.078   0.078   0.059   0.035   0.012   0.011
    10.45    51.08    1980   0.004   0.008   0.009   0.019   0.059   0.082   0.074   0.080   0.061   0.034   0.011   0.007
    10.45    51.08    1981   0.004   0.005   0.019   0.037   0.068   0.079   0.077   0.075   0.058   0.033   0.012   0.004
    10.45    51.08    1982   0.005   0.005   0.011   0.022   0.063   0.083   0.087   0.078   0.060   0.037   0.021   0.008
    10.45    51.08    1983   0.010   0.004   0.012   0.032   0.065   0.086   0.096   0.083   0.060   0.037   0.013   0.007
    10.45    51.08    1984   0.007   0.005   0.007   0.020   0.050   0.077   0.081   0.081   0.052   0.040   0.016   0.007
    10.45    51.08    1985   0.003   0.004   0.009   0.029   0.071   0.076   0.094   0.083   0.059   0.035   0.009   0.011
    10.45    51.08    1986   0.006   0.002   0.010   0.017   0.079   0.086   0.092   0.084   0.054   0.043   0.021   0.009
    10.45    51.08    1987   0.003   0.005   0.006   0.031   0.064   0.075   0.094   0.079   0.066   0.038   0.016   0.009
    10.45    51.08    1988   0.011   0.008   0.009   0.027   0.084   0.080   0.098   0.089   0.058   0.037   0.015   0.010
    10.45    51.08    1989   0.007   0.007   0.015   0.025   0.074   0.075   0.067   0.065   0.049   0.036   0.012   0.008
    10.45    51.08    1990   0.007   0.011   0.022   0.031   0.078   0.068   0.076   0.069   0.046   0.033   0.010   0.006
    10.45    51.08    1991   0.008   0.004   0.018   0.037   0.056   0.079   0.081   0.087   0.062   0.037   0.012   0.006
    10.45    51.08    1992   0.007   0.007   0.012   0.028   0.080   0.082   0.093   0.083   0.060   0.026   0.011   0.007
    10.45    51.08    1993   0.009   0.004   0.013   0.045   0.082   0.084   0.085   0.083   0.052   0.032   0.007   0.008
    10.45    51.08    1994   0.009   0.005   0.017   0.033   0.080   0.089   0.106   0.088   0.060   0.030   0.019   0.011
    10.45    51.08    1995   0.007   0.010   0.011   0.031   0.073   0.076   0.102   0.097   0.055   0.045   0.012   0.005
    10.45    51.08    1996   0.003   0.004   0.007   0.030   0.060   0.090   0.088   0.086   0.047   0.036   0.018   0.005
    10.45    51.08    1997   0.004   0.011   0.018   0.028   0.078   0.090   0.089   0.098   0.071   0.034   0.013   0.009
    10.45    51.08    1998   0.011   0.013   0.018   0.047   0.090   0.095   0.088   0.085   0.060   0.032   0.009   0.008
    10.45    51.08    1999   0.011   0.007   0.015   0.040   0.090   0.094   0.103   0.093   0.081   0.038   0.015   0.010
    10.45    51.08    2000   0.008   0.011   0.017   0.046   0.099   0.096   0.082   0.096   0.067   0.046   0.019   0.012
    10.45    51.08    2001   0.009   0.010   0.013   0.031   0.095   0.086   0.109   0.097   0.057   0.054   0.016   0.008
    10.45    51.08    2002   0.009   0.015   0.022   0.041   0.084   0.099   0.095   0.096   0.068   0.033   0.015   0.008
    10.45    51.08    2003   0.008   0.004   0.017   0.037   0.090   0.116   0.103   0.100   0.073   0.031   0.018   0.010
    10.45    51.08    2004   0.008   0.011   0.019   0.051   0.078   0.093   0.099   0.098   0.066   0.047   0.013   0.008
    10.45    51.08    2005   0.011   0.006   0.015   0.046   0.085   0.095   0.102   0.087   0.080   0.052   0.020   0.009
    10.45    51.08    2006   0.005   0.006   0.010   0.035   0.091   0.103   0.121   0.085   0.086   0.054   0.026   0.014
    10.45    51.08    2007   0.016   0.012   0.019   0.057   0.096   0.107   0.104   0.097   0.066   0.040   0.015   0.010
    10.45    51.08    2008   0.015   0.012   0.018   0.036   0.097   0.107   0.108   0.096   0.061   0.044   0.017   0.009
    10.45    51.08    2009   0.006   0.007   0.015   0.059   0.092   0.088   0.108   0.108   0.074   0.038   0.024   0.010
    10.45    51.08    2010   0.004   0.007   0.019   0.048   0.068   0.106   0.118   0.090   0.065   0.041   0.020   0.004
    10.45    51.08    2011   0.011   0.009   0.019   0.069   0.095   0.102   0.099   0.097   0.081   0.048   0.015   0.014
    10.45    51.08    2012   0.012   0.006   0.026   0.041   0.099   0.093   0.107   0.108   0.071   0.046   0.019   0.012
