      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951     2.679     9.246    11.701     2.431     0.241    61.412     0.000     2.812     0.774     0.216    27.593     5.596
    10.45    51.08    1952    12.249    19.992    43.412    20.288     4.992     0.291     0.000     0.000    65.152    26.295    51.324    19.265
    10.45    51.08    1953    26.046    49.496     0.621     0.000     0.000     4.512     0.233     0.307     0.000     0.000     0.000     2.058
    10.45    51.08    1954    17.149     5.144     5.120    13.752     0.589     0.000     3.844     4.741     6.327     8.526     6.125    22.911
    10.45    51.08    1955    25.677    19.260    30.802    10.064     0.493     0.359     6.362    14.824     1.928     3.180     6.441    24.965
    10.45    51.08    1956    13.794     0.000    42.928    25.237     0.746    21.998    87.442     8.877     1.547     8.421    16.791    12.057
    10.45    51.08    1957    23.891    28.180    14.946     4.321     0.518     0.000     1.531     1.042     6.958     5.170    17.544    12.940
    10.45    51.08    1958    25.198    12.427    64.826    15.021     7.300    26.213    21.751     1.391     1.587     9.401    12.232    20.085
    10.45    51.08    1959    11.403     3.611     3.670     2.801     0.688     1.032     0.000     0.000     0.000     0.000     0.910     2.209
    10.45    51.08    1960    18.366     5.182    10.077     5.280    18.355     0.201     0.000     3.004     6.661    56.878    15.021    26.912
    10.45    51.08    1961    32.233    24.370     8.714    44.384    45.086    46.337     0.000     0.000     0.000     0.000     0.317    13.409
    10.45    51.08    1962    12.705    14.320    13.841     8.158     6.908     0.005     0.000     0.000     0.000     0.000     0.026     2.292
    10.45    51.08    1963     0.335     0.396    25.646     5.782     2.009     2.479     2.726     5.874     1.531     7.792    15.421     1.932
    10.45    51.08    1964     4.059    13.646     6.546    13.621    33.992     0.000     0.000     0.000     0.000     0.000     0.568     0.677
    10.45    51.08    1965     4.819     3.958    25.516    10.223     4.449    11.390     0.552     0.970     0.984     0.622     8.259    42.596
    10.45    51.08    1966    10.216    26.403     9.235    14.989     0.305     1.745    26.362    21.626     1.882    35.548    23.329    30.746
    10.45    51.08    1967    15.385    12.742    24.901     8.455     0.978     8.852     0.000     0.000     6.353     5.370     7.053    12.097
    10.45    51.08    1968    22.153    15.159    16.143     5.520     7.328     4.031     2.094     3.247     8.237    18.483     9.223     3.547
    10.45    51.08    1969    11.811     6.499    11.307    52.759    40.986    26.015     1.214     6.172     8.352     2.062     5.715     0.090
    10.45    51.08    1970     5.843    51.380    18.014    22.862    15.645     1.526     0.000    12.209     0.248    10.938    14.162     8.830
    10.45    51.08    1971    10.749    11.836     6.841     3.790     0.339     3.682     0.118     0.000     0.000     0.000     6.942     1.860
    10.45    51.08    1972     0.000     1.591     4.573     7.658     4.595     6.497    24.437    41.389     0.658     2.189    10.131     1.135
    10.45    51.08    1973     7.010     9.173    11.414     8.087     3.840     0.000     0.000     0.000     0.000     9.270     2.460    12.219
    10.45    51.08    1974     5.537     9.784     8.259     0.000     2.264     4.026     6.019     0.358     0.500    28.817     8.514    35.389
    10.45    51.08    1975     4.718     9.253    12.291    19.969     1.279     1.510     0.049     0.000     0.000     0.545     2.155     1.402
    10.45    51.08    1976    21.187     4.202     3.290     1.221     0.076     4.401     0.000     0.000     0.000     0.000     0.000     0.651
    10.45    51.08    1977     4.123     6.261    13.548     5.134     0.572     6.581     1.374    55.565     5.664     5.069    49.408    21.296
    10.45    51.08    1978     7.176     7.162    18.291     4.592     8.726     2.228     4.145     5.357    10.025    10.733     0.931    12.851
    10.45    51.08    1979     1.243     2.119    87.924    17.576     3.471     0.078     1.091     0.610     0.164     0.287     6.680    18.453
    10.45    51.08    1980    10.025    11.772     7.943    12.926     0.798     0.771     3.727     0.000     0.000     0.714     4.108     9.312
    10.45    51.08    1981     6.912    13.276    19.774     3.383    10.867     2.891     0.396    27.249     3.471    19.105    25.123    25.988
    10.45    51.08    1982    32.491     1.234    10.476     3.879     1.923     0.000     0.000     0.000     0.000     0.000     0.739     2.208
