      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.833   0.855   0.819   0.527   0.312   0.754   0.550   0.661   0.522   0.448   0.800   0.904
    10.45    51.08    1952   0.910   0.926   0.909   0.736   0.698   0.442   0.148   0.140   0.737   0.930   0.924   0.938
    10.45    51.08    1953   0.919   0.944   0.713   0.379   0.248   0.424   0.588   0.391   0.194   0.264   0.515   0.532
    10.45    51.08    1954   0.770   0.873   0.742   0.661   0.378   0.257   0.574   0.625   0.524   0.708   0.723   0.807
    10.45    51.08    1955   0.941   0.928   0.918   0.723   0.429   0.381   0.587   0.807   0.634   0.583   0.814   0.868
    10.45    51.08    1956   0.907   0.864   0.826   0.720   0.545   0.724   0.829   0.673   0.530   0.596   0.788   0.801
    10.45    51.08    1957   0.893   0.835   0.726   0.535   0.397   0.385   0.528   0.577   0.533   0.842   0.888   0.894
    10.45    51.08    1958   0.924   0.838   0.901   0.746   0.616   0.692   0.639   0.511   0.426   0.696   0.910   0.889
    10.45    51.08    1959   0.909   0.803   0.621   0.522   0.420   0.422   0.118   0.371   0.192   0.150   0.790   0.822
    10.45    51.08    1960   0.884   0.886   0.764   0.527   0.635   0.494   0.264   0.436   0.567   0.831   0.904   0.918
    10.45    51.08    1961   0.939   0.874   0.637   0.771   0.840   0.748   0.250   0.331   0.242   0.166   0.429   0.803
    10.45    51.08    1962   0.895   0.894   0.910   0.683   0.543   0.266   0.364   0.242   0.332   0.225   0.241   0.516
    10.45    51.08    1963   0.629   0.635   0.833   0.710   0.460   0.417   0.478   0.619   0.442   0.623   0.753   0.873
    10.45    51.08    1964   0.862   0.857   0.739   0.690   0.678   0.410   0.275   0.313   0.256   0.369   0.542   0.649
    10.45    51.08    1965   0.804   0.862   0.885   0.633   0.610   0.622   0.534   0.510   0.494   0.380   0.573   0.897
    10.45    51.08    1966   0.902   0.930   0.746   0.685   0.463   0.435   0.827   0.656   0.675   0.572   0.914   0.915
    10.45    51.08    1967   0.918   0.808   0.733   0.612   0.390   0.654   0.463   0.418   0.683   0.691   0.725   0.798
    10.45    51.08    1968   0.918   0.881   0.837   0.544   0.610   0.437   0.306   0.337   0.518   0.804   0.817   0.779
    10.45    51.08    1969   0.791   0.805   0.899   0.826   0.770   0.765   0.444   0.360   0.748   0.583   0.682   0.754
    10.45    51.08    1970   0.780   0.940   0.897   0.809   0.673   0.354   0.278   0.677   0.570   0.679   0.912   0.895
    10.45    51.08    1971   0.869   0.790   0.693   0.538   0.419   0.476   0.181   0.115   0.160   0.330   0.631   0.877
    10.45    51.08    1972   0.808   0.804   0.775   0.612   0.612   0.670   0.611   0.855   0.620   0.494   0.736   0.858
    10.45    51.08    1973   0.817   0.875   0.813   0.612   0.494   0.262   0.213   0.206   0.396   0.700   0.908   0.911
    10.45    51.08    1974   0.876   0.828   0.803   0.459   0.508   0.562   0.714   0.502   0.447   0.651   0.883   0.920
    10.45    51.08    1975   0.891   0.822   0.762   0.729   0.599   0.498   0.481   0.211   0.384   0.469   0.596   0.655
    10.45    51.08    1976   0.886   0.856   0.678   0.502   0.299   0.509   0.110   0.141   0.120   0.423   0.551   0.685
    10.45    51.08    1977   0.694   0.746   0.792   0.681   0.467   0.502   0.694   0.824   0.752   0.743   0.908   0.916
