      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -2.30   -0.00    2.15    0.25  -11.13
    10.45    51.08    1952  -11.23   -2.14   -0.00    4.03    0.59   -8.75
    10.45    51.08    1953  -11.23   -2.27   -0.00    3.29    0.25   -9.95
    10.45    51.08    1954  -11.23   -2.50   -0.00    2.76    0.37  -10.59
    10.45    51.08    1955  -11.23   -2.47   -0.00    1.97    0.42  -11.31
    10.45    51.08    1956  -11.23   -2.65   -0.00    1.31    0.50  -12.07
    10.45    51.08    1957  -11.23   -2.60   -0.00    2.34    0.53  -10.96
    10.45    51.08    1958  -11.23   -2.42   -0.00    1.74    0.55  -11.36
    10.45    51.08    1959  -11.23   -2.42   -0.00    4.84    0.12   -8.69
    10.45    51.08    1960  -14.10   -2.71   -0.00    2.70    0.42  -13.70
    10.45    51.08    1961  -14.10   -2.73   -0.00    3.08    0.46  -13.28
    10.45    51.08    1962  -14.10   -2.77   -0.00    3.80    0.26  -12.81
    10.45    51.08    1963  -14.10   -2.28   -0.00    2.38    0.30  -13.70
    10.45    51.08    1964  -14.10   -2.00   -0.00    2.86    0.22  -13.02
    10.45    51.08    1965  -14.10   -2.62   -0.00    1.72    0.41  -14.59
    10.45    51.08    1966  -14.10   -2.54   -0.00    1.58    0.51  -14.56
    10.45    51.08    1967  -14.10   -2.47   -0.00    2.06    0.49  -14.01
    10.45    51.08    1968  -14.10   -2.16   -0.00    2.54    0.45  -13.27
    10.45    51.08    1969  -14.10   -2.26   -0.00    2.43    0.47  -13.46
    10.45    51.08    1970  -16.97   -2.39   -0.00    3.40    0.55  -15.41
    10.45    51.08    1971  -16.97   -2.40   -0.00    4.96    0.19  -14.22
    10.45    51.08    1972  -16.97   -2.72   -0.00    1.28    0.19  -18.22
    10.45    51.08    1973  -16.97   -2.19   -0.00    4.25    0.28  -14.63
    10.45    51.08    1974  -16.97   -2.69   -0.00    1.38    0.39  -17.89
    10.45    51.08    1975  -16.97   -2.23   -0.00    3.20    0.27  -15.73
    10.45    51.08    1976  -16.97   -2.24   -0.00    4.62    0.14  -14.45
    10.45    51.08    1977  -16.97   -2.01   -0.00    1.87    0.43  -16.69
    10.45    51.08    1978  -16.97   -2.66   -0.00    2.90    0.40  -16.33
    10.45    51.08    1979  -16.97   -2.34   -0.00    4.01    0.42  -14.88
    10.45    51.08    1980  -17.99   -2.45   -0.00    4.26    0.30  -15.88
    10.45    51.08    1981  -17.99   -2.39   -0.00    2.05    0.43  -17.90
    10.45    51.08    1982  -17.99   -2.00   -0.00    5.17    0.20  -14.63
    10.45    51.08    1983  -17.99   -1.97   -0.00    4.16    0.19  -15.61
    10.45    51.08    1984  -17.99   -2.55   -0.00    1.39    0.37  -18.79
    10.45    51.08    1985  -17.99   -2.31   -0.00    5.55    0.20  -14.55
    10.45    51.08    1986  -17.99   -2.18   -0.00    3.60    0.29  -16.29
    10.45    51.08    1987  -17.99   -2.60   -0.00    1.37    0.41  -18.82
    10.45    51.08    1988  -17.99   -2.27   -0.00   95.09    0.56   75.39
    10.45    51.08    1989  -17.99   -1.92   -0.00    3.42    0.27  -16.23
    10.45    51.08    1990  -19.66   -2.50   -0.00    3.46    0.38  -18.31
    10.45    51.08    1991  -19.66   -2.48   -0.00    4.27    0.14  -17.72
    10.45    51.08    1992  -19.66   -1.82   -0.00    3.47    0.34  -17.67
    10.45    51.08    1993  -19.66   -2.10   -0.00    2.35    0.42  -18.98
    10.45    51.08    1994  -19.66   -2.09   -0.00    2.16    0.50  -19.10
    10.45    51.08    1995  -19.66   -2.33   -0.00    1.56    0.44  -19.99
    10.45    51.08    1996  -19.66   -2.72   -0.00    1.30    0.42  -20.66
    10.45    51.08    1997  -19.66   -2.62   -0.00    3.42    0.50  -18.36
    10.45    51.08    1998  -19.66   -2.77   -0.00    2.97    0.41  -19.04
    10.45    51.08    1999  -19.66   -2.44   -0.00    2.85    0.32  -18.92
    10.45    51.08    2000  -21.34   -2.45   -0.00    3.41    0.38  -20.00
    10.45    51.08    2001  -21.34   -2.49   -0.00    2.75    0.38  -20.70
    10.45    51.08    2002  -21.34   -2.73   -0.00    1.39    0.65  -22.03
    10.45    51.08    2003  -21.34   -2.07   -0.00    3.80    0.26  -19.35
    10.45    51.08    2004  -21.34   -2.58   -0.00    3.16    0.19  -20.58
    10.45    51.08    2005  -21.34   -2.51   -0.00    3.07    0.23  -20.55
    10.45    51.08    2006  -21.34   -2.30   -0.00    2.52    0.22  -20.90
    10.45    51.08    2007  -21.34   -2.31   -0.00    1.84    0.34  -21.47
    10.45    51.08    2008  -21.34   -2.58   -0.00    3.24    0.34  -20.35
    10.45    51.08    2009  -21.34   -2.24   -0.00    2.38    0.35  -20.85
    10.45    51.08    2010  -20.03   -2.64   -0.00    2.00    0.38  -20.28
    10.45    51.08    2011  -20.03   -2.45   -0.00    3.09    0.30  -19.09
    10.45    51.08    2012  -20.03   -2.50   -0.00    2.68    0.23  -19.62
