      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    0.278    0.357    0.090    0.041    0.413    0.972    2.151
    10.45    51.08    1952    0.674    0.865    0.217    0.100    0.999    1.172    4.027
    10.45    51.08    1953    0.501    0.643    0.161    0.074    0.743    1.170    3.293
    10.45    51.08    1954    0.408    0.524    0.131    0.061    0.605    1.034    2.763
    10.45    51.08    1955    0.242    0.310    0.078    0.036    0.358    0.947    1.971
    10.45    51.08    1956    0.102    0.131    0.033    0.015    0.151    0.881    1.313
    10.45    51.08    1957    0.288    0.370    0.093    0.043    0.428    1.118    2.339
    10.45    51.08    1958    0.163    0.209    0.052    0.024    0.241    1.055    1.744
    10.45    51.08    1959    0.871    1.118    0.280    0.129    1.291    1.151    4.839
    10.45    51.08    1960    0.417    0.536    0.134    0.062    0.619    0.931    2.700
    10.45    51.08    1961    0.478    0.614    0.154    0.071    0.709    1.058    3.084
    10.45    51.08    1962    0.665    0.854    0.214    0.099    0.986    0.979    3.796
    10.45    51.08    1963    0.336    0.431    0.108    0.050    0.498    0.958    2.381
    10.45    51.08    1964    0.418    0.536    0.135    0.062    0.620    1.093    2.863
    10.45    51.08    1965    0.208    0.267    0.067    0.031    0.309    0.839    1.722
    10.45    51.08    1966    0.157    0.202    0.051    0.023    0.233    0.911    1.577
    10.45    51.08    1967    0.238    0.305    0.077    0.035    0.353    1.056    2.063
    10.45    51.08    1968    0.390    0.501    0.126    0.058    0.579    0.886    2.539
    10.45    51.08    1969    0.365    0.469    0.118    0.054    0.542    0.883    2.431
    10.45    51.08    1970    0.574    0.737    0.185    0.085    0.851    0.971    3.402
    10.45    51.08    1971    0.912    1.172    0.294    0.135    1.353    1.089    4.955
    10.45    51.08    1972    0.123    0.158    0.040    0.018    0.183    0.759    1.280
    10.45    51.08    1973    0.722    0.927    0.233    0.107    1.071    1.186    4.246
    10.45    51.08    1974    0.118    0.152    0.038    0.018    0.175    0.875    1.376
    10.45    51.08    1975    0.471    0.605    0.152    0.070    0.698    1.203    3.199
    10.45    51.08    1976    0.819    1.051    0.264    0.121    1.214    1.148    4.618
    10.45    51.08    1977    0.292    0.375    0.094    0.043    0.433    0.632    1.869
    10.45    51.08    1978    0.467    0.599    0.150    0.069    0.692    0.927    2.904
    10.45    51.08    1979    0.680    0.873    0.219    0.101    1.009    1.125    4.008
    10.45    51.08    1980    0.769    0.988    0.248    0.114    1.141    1.005    4.265
    10.45    51.08    1981    0.272    0.349    0.088    0.040    0.403    0.895    2.047
    10.45    51.08    1982    0.914    1.173    0.294    0.136    1.355    1.294    5.166
    10.45    51.08    1983    0.734    0.943    0.236    0.109    1.089    1.049    4.160
    10.45    51.08    1984    0.126    0.162    0.041    0.019    0.188    0.852    1.388
    10.45    51.08    1985    1.037    1.331    0.334    0.154    1.538    1.155    5.549
    10.45    51.08    1986    0.594    0.763    0.191    0.088    0.881    1.079    3.596
    10.45    51.08    1987    0.120    0.154    0.039    0.018    0.178    0.858    1.366
    10.45    51.08    1988   22.137   28.422    7.129    3.283   32.831    1.291   95.093
    10.45    51.08    1989    0.554    0.711    0.178    0.082    0.821    1.069    3.416
    10.45    51.08    1990    0.562    0.721    0.181    0.083    0.833    1.081    3.462
    10.45    51.08    1991    0.720    0.924    0.232    0.107    1.067    1.220    4.270
    10.45    51.08    1992    0.549    0.705    0.177    0.081    0.814    1.140    3.466
    10.45    51.08    1993    0.325    0.418    0.105    0.048    0.483    0.976    2.355
    10.45    51.08    1994    0.223    0.287    0.072    0.033    0.331    1.210    2.157
    10.45    51.08    1995    0.123    0.158    0.040    0.018    0.183    1.036    1.559
    10.45    51.08    1996    0.098    0.126    0.032    0.015    0.145    0.881    1.295
    10.45    51.08    1997    0.509    0.653    0.164    0.075    0.755    1.259    3.415
    10.45    51.08    1998    0.419    0.538    0.135    0.062    0.622    1.193    2.970
    10.45    51.08    1999    0.392    0.504    0.126    0.058    0.582    1.190    2.853
    10.45    51.08    2000    0.499    0.641    0.161    0.074    0.741    1.293    3.409
    10.45    51.08    2001    0.373    0.479    0.120    0.055    0.554    1.169    2.751
    10.45    51.08    2002    0.088    0.113    0.028    0.013    0.131    1.015    1.389
    10.45    51.08    2003    0.564    0.724    0.182    0.084    0.836    1.412    3.802
    10.45    51.08    2004    0.477    0.613    0.154    0.071    0.708    1.139    3.160
    10.45    51.08    2005    0.434    0.557    0.140    0.064    0.643    1.232    3.068
    10.45    51.08    2006    0.309    0.396    0.099    0.046    0.458    1.215    2.522
    10.45    51.08    2007    0.188    0.241    0.061    0.028    0.279    1.047    1.843
    10.45    51.08    2008    0.455    0.585    0.147    0.068    0.675    1.311    3.241
    10.45    51.08    2009    0.295    0.378    0.095    0.044    0.437    1.136    2.385
    10.45    51.08    2010    0.235    0.301    0.076    0.035    0.348    1.002    1.996
    10.45    51.08    2011    0.431    0.553    0.139    0.064    0.639    1.260    3.086
    10.45    51.08    2012    0.353    0.453    0.114    0.052    0.524    1.186    2.682
