      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0687   0.0442   1.1149    1.2278
    10.45    51.08    1952   0.0698   0.0431   1.1140    1.2269
    10.45    51.08    1953   0.0706   0.0415   1.1139    1.2259
    10.45    51.08    1954   0.0693   0.0432   1.1139    1.2264
    10.45    51.08    1955   0.0699   0.0431   1.1144    1.2274
    10.45    51.08    1956   0.0689   0.0446   1.1154    1.2289
    10.45    51.08    1957   0.0699   0.0430   1.1151    1.2281
    10.45    51.08    1958   0.0709   0.0424   1.1149    1.2281
    10.45    51.08    1959   0.0600   0.0508   1.1153    1.2261
    10.45    51.08    1960   0.0623   0.0499   1.1156    1.2278
    10.45    51.08    1961   0.0628   0.0482   1.1161    1.2271
    10.45    51.08    1962   0.0636   0.0474   1.1162    1.2272
    10.45    51.08    1963   0.0648   0.0465   1.1162    1.2275
    10.45    51.08    1964   0.0656   0.0451   1.1157    1.2264
    10.45    51.08    1965   0.0665   0.0450   1.1162    1.2277
    10.45    51.08    1966   0.0649   0.0467   1.1169    1.2284
    10.45    51.08    1967   0.0665   0.0453   1.1164    1.2282
    10.45    51.08    1968   0.0497   0.0603   1.1187    1.2287
    10.45    51.08    1969   0.0520   0.0589   1.1190    1.2299
    10.45    51.08    1970   0.0547   0.0575   1.1189    1.2310
    10.45    51.08    1971   0.0559   0.0551   1.1198    1.2308
    10.45    51.08    1972   0.0563   0.0553   1.1220    1.2336
    10.45    51.08    1973   0.0569   0.0533   1.1217    1.2319
    10.45    51.08    1974   0.0577   0.0527   1.1228    1.2332
    10.45    51.08    1975   0.0590   0.0508   1.1221    1.2319
    10.45    51.08    1976   0.0601   0.0491   1.1217    1.2309
    10.45    51.08    1977   0.0485   0.0593   1.1262    1.2340
    10.45    51.08    1978   0.0505   0.0575   1.1265    1.2345
    10.45    51.08    1979   0.0531   0.0555   1.1255    1.2341
    10.45    51.08    1980   0.0541   0.0541   1.1265    1.2347
    10.45    51.08    1981   0.0489   0.0586   1.1285    1.2360
    10.45    51.08    1982   0.0503   0.0550   1.1278    1.2332
    10.45    51.08    1983   0.0521   0.0529   1.1281    1.2331
    10.45    51.08    1984   0.0494   0.0565   1.1294    1.2353
    10.45    51.08    1985   0.0504   0.0540   1.1294    1.2338
    10.45    51.08    1986   0.0525   0.0526   1.1291    1.2342
    10.45    51.08    1987   0.0541   0.0528   1.1300    1.2370
    10.45    51.08    1988   0.0464   0.0503   1.1297    1.2263
    10.45    51.08    1989   0.0445   0.0486   1.1321    1.2251
    10.45    51.08    1990   0.0461   0.0469   1.1314    1.2244
    10.45    51.08    1991   0.0492   0.0453   1.1297    1.2241
    10.45    51.08    1992   0.0492   0.0442   1.1298    1.2232
    10.45    51.08    1993   0.0495   0.0440   1.1301    1.2237
    10.45    51.08    1994   0.0509   0.0427   1.1289    1.2224
    10.45    51.08    1995   0.0527   0.0422   1.1284    1.2232
    10.45    51.08    1996   0.0546   0.0425   1.1284    1.2256
    10.45    51.08    1997   0.0555   0.0410   1.1276    1.2240
    10.45    51.08    1998   0.0572   0.0399   1.1266    1.2237
    10.45    51.08    1999   0.0587   0.0387   1.1260    1.2234
    10.45    51.08    2000   0.0602   0.0375   1.1247    1.2224
    10.45    51.08    2001   0.0614   0.0371   1.1240    1.2224
    10.45    51.08    2002   0.0625   0.0373   1.1242    1.2240
    10.45    51.08    2003   0.0633   0.0355   1.1224    1.2212
    10.45    51.08    2004   0.0638   0.0350   1.1220    1.2208
    10.45    51.08    2005   0.0650   0.0343   1.1208    1.2201
    10.45    51.08    2006   0.0657   0.0338   1.1198    1.2193
    10.45    51.08    2007   0.0666   0.0340   1.1196    1.2203
    10.45    51.08    2008   0.0684   0.0327   1.1177    1.2188
    10.45    51.08    2009   0.0694   0.0324   1.1170    1.2187
    10.45    51.08    2010   0.0705   0.0327   1.1169    1.2200
    10.45    51.08    2011   0.0715   0.0313   1.1156    1.2183
    10.45    51.08    2012   0.0732   0.0304   1.1143    1.2179
