      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    2.30    0.00   13.53 144.44  49.06  95.37 108.90
    10.45    51.08    1952   11.23    2.14    0.00   13.37 153.68  37.76 115.93 129.30
    10.45    51.08    1953   11.23    2.27    0.00   13.50 171.48  55.64 115.84 129.33
    10.45    51.08    1954   11.23    2.50    0.00   13.73 144.37  42.45 101.92 115.65
    10.45    51.08    1955   11.23    2.47    0.00   13.70 130.45  36.75  93.70 107.40
    10.45    51.08    1956   11.23    2.65    0.00   13.88 125.09  38.18  86.91 100.79
    10.45    51.08    1957   11.23    2.60    0.00   13.83 156.87  45.86 111.01 124.85
    10.45    51.08    1958   11.23    2.42    0.00   13.65 146.79  42.26 104.53 118.18
    10.45    51.08    1959   11.23    2.42    0.00   13.65 174.62  61.09 113.52 127.17
    10.45    51.08    1960   14.10    2.71    0.00   16.81 138.51  46.58  91.93 108.74
    10.45    51.08    1961   14.10    2.73    0.00   16.82 160.11  55.50 104.61 121.44
    10.45    51.08    1962   14.10    2.77    0.00   16.87 140.08  43.22  96.87 113.74
    10.45    51.08    1963   14.10    2.28    0.00   16.38 136.59  41.44  95.15 111.52
    10.45    51.08    1964   14.10    2.00    0.00   16.10 153.21  44.55 108.67 124.77
    10.45    51.08    1965   14.10    2.62    0.00   16.72 122.46  39.36  83.11  99.83
    10.45    51.08    1966   14.10    2.54    0.00   16.64 133.31  43.31  90.01 106.65
    10.45    51.08    1967   14.10    2.47    0.00   16.57 151.80  47.01 104.78 121.35
    10.45    51.08    1968   14.10    2.16    0.00   16.26 143.72  63.96  79.76  96.01
    10.45    51.08    1969   14.10    2.26    0.00   16.36 132.52  45.04  87.48 103.84
    10.45    51.08    1970   16.97    2.39    0.00   19.36 137.26  40.70  96.56 115.92
    10.45    51.08    1971   16.97    2.40    0.00   19.37 164.09  57.29 106.80 126.17
    10.45    51.08    1972   16.97    2.72    0.00   19.69 119.33  45.40  73.93  93.62
    10.45    51.08    1973   16.97    2.19    0.00   19.16 166.37  49.96 116.42 135.58
    10.45    51.08    1974   16.97    2.69    0.00   19.66 136.46  50.74  85.72 105.38
    10.45    51.08    1975   16.97    2.23    0.00   19.20 170.52  50.86 119.66 138.86
    10.45    51.08    1976   16.97    2.24    0.00   19.21 167.03  53.73 113.31 132.51
    10.45    51.08    1977   16.97    2.01    0.00   18.98 121.23  71.13  50.10  69.08
    10.45    51.08    1978   16.97    2.66    0.00   19.63 141.44  50.25  91.19 110.83
    10.45    51.08    1979   16.97    2.34    0.00   19.31 158.96  47.18 111.78 131.08
    10.45    51.08    1980   17.99    2.45    0.00   20.44 150.99  53.03  97.96 118.40
    10.45    51.08    1981   17.99    2.39    0.00   20.38 140.70  52.37  88.34 108.72
    10.45    51.08    1982   17.99    2.00    0.00   20.00 195.83  68.64 127.19 147.19
    10.45    51.08    1983   17.99    1.97    0.00   19.96 164.25  61.58 102.67 122.63
    10.45    51.08    1984   17.99    2.55    0.00   20.54 124.13  40.41  83.72 104.26
    10.45    51.08    1985   17.99    2.31    0.00   20.31 168.18  53.63 114.55 134.86
    10.45    51.08    1986   17.99    2.18    0.00   20.18 151.01  44.38 106.62 126.80
    10.45    51.08    1987   17.99    2.60    0.00   20.60 120.89  36.25  84.64 105.24
    10.45    51.08    1988   17.99    2.27    0.00   20.26 184.89  57.74 127.16 147.42
    10.45    51.08    1989   17.99    1.92    0.00   19.92 185.08  85.35  99.73 119.65
    10.45    51.08    1990   19.66    2.50    0.00   22.15 168.21  61.86 106.35 128.50
    10.45    51.08    1991   19.66    2.48    0.00   22.13 176.15  55.33 120.82 142.96
    10.45    51.08    1992   19.66    1.82    0.00   21.47 172.92  62.43 110.50 131.97
    10.45    51.08    1993   19.66    2.10    0.00   21.75 142.25  45.94  96.31 118.06
    10.45    51.08    1994   19.66    2.09    0.00   21.75 169.59  49.99 119.60 141.35
    10.45    51.08    1995   19.66    2.33    0.00   21.99 147.42  45.65 101.77 123.76
    10.45    51.08    1996   19.66    2.72    0.00   22.38 118.62  31.29  87.34 109.72
    10.45    51.08    1997   19.66    2.62    0.00   22.28 170.50  45.47 125.03 147.30
    10.45    51.08    1998   19.66    2.77    0.00   22.42 163.45  45.32 118.13 140.56
    10.45    51.08    1999   19.66    2.44    0.00   22.09 170.65  53.20 117.45 139.54
    10.45    51.08    2000   21.34    2.45    0.00   23.79 177.63  49.97 127.66 151.46
    10.45    51.08    2001   21.34    2.49    0.00   23.83 161.53  46.20 115.33 139.16
    10.45    51.08    2002   21.34    2.73    0.00   24.07 142.42  42.10 100.32 124.40
    10.45    51.08    2003   21.34    2.07    0.00   23.41 192.34  52.27 140.07 163.49
    10.45    51.08    2004   21.34    2.58    0.00   23.93 161.62  48.88 112.73 136.66
    10.45    51.08    2005   21.34    2.51    0.00   23.85 169.73  47.60 122.13 145.99
    10.45    51.08    2006   21.34    2.30    0.00   23.64 169.30  48.83 120.47 144.11
    10.45    51.08    2007   21.34    2.31    0.00   23.65 149.75  46.85 102.90 126.55
    10.45    51.08    2008   21.34    2.58    0.00   23.92 177.66  47.74 129.92 153.84
    10.45    51.08    2009   21.34    2.24    0.00   23.58 155.92  43.48 112.44 136.02
    10.45    51.08    2010   20.03    2.64    0.00   22.66 134.40  34.90  99.50 122.16
    10.45    51.08    2011   20.03    2.45    0.00   22.48 173.25  48.09 125.16 147.64
    10.45    51.08    2012   20.03    2.50    0.00   22.53 165.83  48.32 117.51 140.04
