      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    68.3    51.9     4.4   124.7
    10.45    51.08    1952   141.0   106.7    15.5   263.3
    10.45    51.08    1953    31.5    49.6     2.2    83.3
    10.45    51.08    1954    16.2    77.3     0.7    94.2
    10.45    51.08    1955    52.7    83.2     8.5   144.4
    10.45    51.08    1956   118.0   109.2    12.6   239.8
    10.45    51.08    1957    10.3   106.2     0.5   117.0
    10.45    51.08    1958    97.1   111.7     8.6   217.4
    10.45    51.08    1959     0.0    26.3     0.0    26.3
    10.45    51.08    1960    72.7    90.6     2.6   165.9
    10.45    51.08    1961    83.7   122.3     8.8   214.8
    10.45    51.08    1962     3.0    52.7     2.5    58.3
    10.45    51.08    1963     6.3    61.8     3.9    71.9
    10.45    51.08    1964    27.2    45.1     0.8    73.1
    10.45    51.08    1965    27.0    83.9     3.5   114.3
    10.45    51.08    1966    91.6   103.9     6.9   202.4
    10.45    51.08    1967     0.4   101.5     0.3   102.2
    10.45    51.08    1968    24.0    89.4     1.7   115.2
    10.45    51.08    1969    63.0   100.9     9.1   173.0
    10.45    51.08    1970    39.8   118.1     3.7   161.7
    10.45    51.08    1971     6.6    39.5     0.1    46.2
    10.45    51.08    1972    51.9    47.1     5.9   104.9
    10.45    51.08    1973     8.2    53.6     1.6    63.5
    10.45    51.08    1974    25.3    82.6     1.6   109.5
    10.45    51.08    1975     0.0    53.2     0.0    53.2
    10.45    51.08    1976     6.2    27.6     1.2    35.0
    10.45    51.08    1977    83.0    85.7     5.9   174.6
    10.45    51.08    1978     4.4    87.1     0.7    92.2
    10.45    51.08    1979    54.8    81.2     3.7   139.7
    10.45    51.08    1980     1.8    60.1     0.2    62.1
    10.45    51.08    1981    64.0    88.7     5.7   158.4
    10.45    51.08    1982    11.8    40.1     1.0    53.0
    10.45    51.08    1983    50.4    39.2     4.0    93.6
    10.45    51.08    1984    45.3    78.6    11.0   134.9
    10.45    51.08    1985     2.8    40.0     0.6    43.4
    10.45    51.08    1986    32.1    56.8     4.6    93.5
    10.45    51.08    1987   103.8    86.7     9.1   199.6
    10.45    51.08    1988    25.6   106.7     4.9   137.2
    10.45    51.08    1989    13.8    52.8     1.1    67.7
    10.45    51.08    1990    11.2    81.3     1.4    93.9
    10.45    51.08    1991     8.5    29.1     0.7    38.3
    10.45    51.08    1992    60.3    63.2     3.7   127.2
    10.45    51.08    1993    44.5    84.6     3.9   133.0
    10.45    51.08    1994    54.9   102.6     2.6   160.1
    10.45    51.08    1995    35.1    91.7     4.8   131.6
    10.45    51.08    1996    38.4    92.8     2.0   133.3
    10.45    51.08    1997    25.9   101.0     5.0   131.9
    10.45    51.08    1998    38.1    82.2     3.1   123.4
    10.45    51.08    1999    11.7    66.8     2.1    80.6
    10.45    51.08    2000    10.3    73.5     2.1    85.9
    10.45    51.08    2001    22.2    74.1     4.8   101.1
    10.45    51.08    2002   126.6   136.9     6.1   269.6
    10.45    51.08    2003     6.6    53.6     1.3    61.5
    10.45    51.08    2004    58.9    40.7     4.3   103.9
    10.45    51.08    2005     3.7    47.3     1.2    52.2
    10.45    51.08    2006    12.3    45.7     1.7    59.7
    10.45    51.08    2007   143.4    71.2     4.1   218.6
    10.45    51.08    2008    11.4    65.9     1.1    78.3
    10.45    51.08    2009    40.8    72.4     2.2   115.4
    10.45    51.08    2010   123.7    83.2     9.5   216.3
    10.45    51.08    2011    63.6    61.1     1.0   125.7
    10.45    51.08    2012    14.4    51.5     1.6    67.4
