      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.552   0.055   0.731   0.069  -0.001   0.30259
    10.45    51.08    1952  -0.513   0.053   0.704   0.100   0.000   0.34366
    10.45    51.08    1953  -0.707   0.071   0.802   0.073   0.000   0.23875
    10.45    51.08    1954  -0.670   0.067   0.587   0.058   0.000   0.04152
    10.45    51.08    1955  -0.645   0.064   0.549   0.023   0.000  -0.00810
    10.45    51.08    1956  -0.677   0.068   0.521   0.011   0.000  -0.07698
    10.45    51.08    1957  -0.716   0.072   0.681   0.046   0.000   0.08269
    10.45    51.08    1958  -0.687   0.069   0.647   0.026   0.000   0.05587
    10.45    51.08    1959  -0.526   0.053   0.750   0.096   0.000   0.37264
    10.45    51.08    1960  -0.662   0.066   0.633   0.077   0.000   0.11489
    10.45    51.08    1961  -0.691   0.069   0.679   0.080   0.000   0.13666
    10.45    51.08    1962  -0.494   0.049   0.587   0.132   0.000   0.27426
    10.45    51.08    1963  -0.619   0.062   0.603   0.062   0.000   0.10786
    10.45    51.08    1964  -0.530   0.053   0.639   0.073   0.000   0.23562
    10.45    51.08    1965  -0.665   0.066   0.526   0.059   0.000  -0.01310
    10.45    51.08    1966  -0.722   0.072   0.542   0.027   0.000  -0.08131
    10.45    51.08    1967  -0.690   0.069   0.609   0.049   0.000   0.03738
    10.45    51.08    1968  -0.637   0.064   0.581   0.062   0.000   0.07010
    10.45    51.08    1969  -0.640   0.064   0.517   0.041   0.000  -0.01870
    10.45    51.08    1970  -0.630   0.063   0.519   0.045   0.000  -0.00346
    10.45    51.08    1971  -0.465   0.046   0.605   0.059   0.000   0.24594
    10.45    51.08    1972  -0.653   0.065   0.444   0.007   0.000  -0.13690
    10.45    51.08    1973  -0.455   0.046   0.575   0.057   0.000   0.22225
    10.45    51.08    1974  -0.677   0.068   0.503   0.013   0.000  -0.09374
    10.45    51.08    1975  -0.593   0.059   0.578   0.050   0.000   0.09429
    10.45    51.08    1976  -0.343   0.034   0.562   0.055   0.000   0.30902
    10.45    51.08    1977  -0.622   0.062   0.408   0.023   0.000  -0.12830
    10.45    51.08    1978  -0.622   0.062   0.491   0.039   0.000  -0.02985
    10.45    51.08    1979  -0.588   0.059   0.489   0.039   0.000  -0.00149
    10.45    51.08    1980  -0.591   0.059   0.473   0.048   0.000  -0.01177
    10.45    51.08    1981  -0.652   0.065   0.426   0.006   0.000  -0.15490
    10.45    51.08    1982  -0.376   0.038   0.574   0.050   0.000   0.28491
    10.45    51.08    1983  -0.576   0.058   0.516   0.048   0.000   0.04490
    10.45    51.08    1984  -0.548   0.055   0.355   0.005   0.000  -0.13210
    10.45    51.08    1985  -0.614   0.061   0.501   0.049   0.000  -0.00232
    10.45    51.08    1986  -0.624   0.062   0.436   0.028   0.000  -0.09723
    10.45    51.08    1987  -0.622   0.062   0.349   0.005   0.000  -0.20567
    10.45    51.08    1988  -0.574   0.057   0.526   0.048   0.000   0.05726
    10.45    51.08    1989  -0.505   0.050   0.514   0.042   0.000   0.10188
    10.45    51.08    1990  -0.640   0.064   0.485   0.040   0.000  -0.05038
    10.45    51.08    1991  -0.462   0.046   0.468   0.045   0.000   0.09773
    10.45    51.08    1992  -0.510   0.051   0.469   0.036   0.000   0.04527
    10.45    51.08    1993  -0.645   0.064   0.368   0.018   0.000  -0.19406
    10.45    51.08    1994  -0.648   0.065   0.425   0.004   0.000  -0.15328
    10.45    51.08    1995   0.000  -0.000   0.676   0.010   0.000   0.68691
    10.45    51.08    1996   0.000  -0.000   0.397   0.010  -0.419  -0.01248
    10.45    51.08    1997  -0.543   0.054   0.590   0.080  -0.002   0.17989
    10.45    51.08    1998  -0.458   0.046   0.668   0.075  -0.002   0.32927
    10.45    51.08    1999  -0.643   0.064   0.733   0.041  -0.000   0.19513
    10.45    51.08    2000  -0.716   0.072   0.663   0.063   0.000   0.08302
    10.45    51.08    2001  -0.757   0.076   0.578   0.036   0.000  -0.06692
    10.45    51.08    2002  -0.725   0.072   0.502   0.008   0.000  -0.14286
    10.45    51.08    2003  -0.686   0.069   0.714   0.062   0.000   0.15811
    10.45    51.08    2004  -0.688   0.069   0.625   0.060   0.000   0.06594
    10.45    51.08    2005  -0.710   0.071   0.675   0.057   0.000   0.09295
    10.45    51.08    2006  -0.687   0.069   0.692   0.052   0.000   0.12583
    10.45    51.08    2007  -0.813   0.081   0.587   0.029   0.000  -0.11554
    10.45    51.08    2008  -0.602   0.060   0.650   0.052   0.000   0.16114
    10.45    51.08    2009  -0.631   0.063   0.625   0.045   0.000   0.10237
    10.45    51.08    2010  -0.709   0.071   0.509   0.029   0.000  -0.09960
    10.45    51.08    2011  -0.678   0.068   0.669   0.056   0.000   0.11450
    10.45    51.08    2012  -0.571   0.057   0.626   0.047   0.000   0.15856
