      Lon      Lat    Year  FireRT
    10.45    51.08    1951   186.7
    10.45    51.08    1952   123.1
    10.45    51.08    1953   160.4
    10.45    51.08    1954   196.3
    10.45    51.08    1955   468.1
    10.45    51.08    1956  1000.0
    10.45    51.08    1957   225.6
    10.45    51.08    1958   380.1
    10.45    51.08    1959   100.4
    10.45    51.08    1960   120.7
    10.45    51.08    1961   112.8
    10.45    51.08    1962    66.4
    10.45    51.08    1963   136.5
    10.45    51.08    1964   111.6
    10.45    51.08    1965   136.1
    10.45    51.08    1966   293.1
    10.45    51.08    1967   154.0
    10.45    51.08    1968   119.4
    10.45    51.08    1969   175.7
    10.45    51.08    1970   159.2
    10.45    51.08    1971   116.2
    10.45    51.08    1972  1000.0
    10.45    51.08    1973   117.6
    10.45    51.08    1974   506.0
    10.45    51.08    1975   127.1
    10.45    51.08    1976   112.5
    10.45    51.08    1977   266.2
    10.45    51.08    1978   156.2
    10.45    51.08    1979   152.4
    10.45    51.08    1980   120.2
    10.45    51.08    1981  1000.0
    10.45    51.08    1982   110.6
    10.45    51.08    1983   114.1
    10.45    51.08    1984  1000.0
    10.45    51.08    1985   105.6
    10.45    51.08    1986   183.5
    10.45    51.08    1987  1000.0
    10.45    51.08    1988   106.8
    10.45    51.08    1989   117.1
    10.45    51.08    1990   118.6
    10.45    51.08    1991   103.3
    10.45    51.08    1992   124.9
    10.45    51.08    1993   237.2
    10.45    51.08    1994   997.9
    10.45    51.08    1995  1000.0
    10.45    51.08    1996  1000.0
    10.45    51.08    1997   119.9
    10.45    51.08    1998   122.9
    10.45    51.08    1999   213.3
    10.45    51.08    2000   131.2
    10.45    51.08    2001   219.0
    10.45    51.08    2002  1000.0
    10.45    51.08    2003   119.1
    10.45    51.08    2004   118.2
    10.45    51.08    2005   117.9
    10.45    51.08    2006   124.4
    10.45    51.08    2007   218.7
    10.45    51.08    2008   116.4
    10.45    51.08    2009   129.9
    10.45    51.08    2010   195.2
    10.45    51.08    2011    99.8
    10.45    51.08    2012   114.6
