      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.158   0.572   5.246  39.026  52.955  71.875  81.409  62.180  40.051  15.456   2.616   0.301
    10.45    51.08    1952   0.060   0.018   2.780  40.833  64.288  81.034  51.873  47.761  23.521  11.285   0.910   0.005
    10.45    51.08    1953   0.014   0.478   9.130  40.614  59.205  48.908  62.122  54.703  35.022  14.774   0.983   0.066
    10.45    51.08    1954   0.015   0.030   3.187  20.622  66.087  69.728  47.755  53.572  33.904  15.609   3.533   0.029
    10.45    51.08    1955   0.014   0.029   2.566  26.148  64.273  70.177  59.505  52.487  37.828  16.538   2.909   0.026
    10.45    51.08    1956   0.063   0.003   2.069  18.642  78.977  55.744  68.913  60.581  43.667  16.286   1.606   0.028
    10.45    51.08    1957   0.093   0.896  17.014  45.059  67.267  93.567  81.099  68.510  34.670  17.527   0.104   0.011
    10.45    51.08    1958   0.011   1.516   2.525  21.554  73.759  81.461  95.346  83.400  51.870  20.159   1.902   0.016
    10.45    51.08    1959   0.015   0.305  13.412  52.178  84.471  96.033  69.216  67.956   2.918   3.703   0.135   0.011
    10.45    51.08    1960   0.009   0.066   5.122  29.656  71.836 111.105  78.465  62.223  38.880  15.506   3.442   0.006
    10.45    51.08    1961   0.003   0.664  13.367  34.629  55.272  96.442  82.319  74.057  53.439  21.815   0.012   0.005
    10.45    51.08    1962   0.006   0.091   1.115  26.681  57.857  89.474  81.692  40.038  37.208   3.538   3.215   0.001
    10.45    51.08    1963   0.000   0.001   1.635  25.990  80.227  80.923  69.623  61.544  49.247  17.329   3.926   0.001
    10.45    51.08    1964   0.000   0.003   0.236  25.445  90.847 113.760  72.069  43.778  26.949  10.595   0.754   0.011
    10.45    51.08    1965   0.069   0.000   1.357  22.213  66.498  86.566  80.036  81.821  44.445  20.499   1.577   0.001
    10.45    51.08    1966   0.006   2.783   6.918  33.950  91.546  96.793  73.100  73.324  44.766  21.478   0.360   0.000
    10.45    51.08    1967   0.003   1.116  11.744  27.427  88.488  82.419 120.166  70.198  39.739  23.674   3.522   0.000
    10.45    51.08    1968   0.000   0.016   6.716  45.218  69.175  94.666  90.393  52.393  39.337  16.998   2.419   0.000
    10.45    51.08    1969   0.000   0.000   0.000  14.264  76.052  93.196 107.118  60.193  50.947  22.675   5.464   0.000
    10.45    51.08    1970   0.000   0.000   0.387  11.196  62.190 105.010  95.410  67.182  55.340  13.379   4.118   0.128
    10.45    51.08    1971   0.000   0.003   1.105  29.460  79.203  73.292 100.659  42.859  22.927  15.481   3.953   0.000
    10.45    51.08    1972   0.001   0.000   6.415  27.503  64.737  91.700  81.734  65.644  39.135  18.832   3.916   0.000
    10.45    51.08    1973   0.000   0.000   2.475  11.729  75.202  91.377  68.095  23.160  40.837  17.695   3.016   0.000
    10.45    51.08    1974   0.009   0.684  11.366  45.433  63.938  77.632  77.308  74.757  50.918   9.739   0.000   0.006
    10.45    51.08    1975   0.000   0.005   1.665  23.431  72.480  75.505 102.400  71.879  49.546  14.782   2.898   0.000
    10.45    51.08    1976   0.000   0.001   0.835  28.609  84.743  90.862  25.063  29.609  13.386  18.748   3.453   0.000
    10.45    51.08    1977   0.000   0.082   9.575  26.378  76.335  60.289  79.997  50.584  37.701  18.479   2.520   0.000
    10.45    51.08    1978   0.000   0.101   5.557  27.910  57.845  78.154  77.872  66.160  32.793  18.815   2.261   0.001
    10.45    51.08    1979   0.004   0.000   0.372  13.537  64.996  85.798  68.424  70.592  45.139  20.901   1.806   0.005
    10.45    51.08    1980   0.010   0.003   0.988  14.724  69.827  81.024  64.310  75.155  45.390  18.361   0.411   0.035
    10.45    51.08    1981   0.073   0.002  13.058  40.182  69.372  76.431  72.348  65.341  44.379  17.154   0.218   0.000
    10.45    51.08    1982   0.000   0.000   0.845  26.783  73.718  77.310  77.680  51.562   8.677  11.835   6.608   0.000
    10.45    51.08    1983   0.000   0.021   4.833  30.943  54.446  87.656  92.409  70.580  31.060  17.161   1.262   0.000
    10.45    51.08    1984   0.000   0.000   0.211  17.094  41.925  69.511  75.042  66.694  32.050  16.843   4.452   0.000
    10.45    51.08    1985   0.000   0.001   0.390  30.199  70.606  68.348  94.239  70.479  45.178   8.251   1.649   0.004
    10.45    51.08    1986   0.008   0.000   1.197  11.342  71.193  84.941  84.718  69.093  35.956  21.806   5.771   0.000
    10.45    51.08    1987   0.000   0.000   0.457  30.873  56.651  57.126  84.067  59.419  39.389  19.327   2.507   0.000
    10.45    51.08    1988   0.000   0.000   0.657  25.983  80.254  62.206  87.093  81.446  34.760  10.037   2.811   0.000
    10.45    51.08    1989   0.001   0.077  11.151  27.291  94.841  87.594  46.947  34.128  24.917  20.819   1.526   0.000
    10.45    51.08    1990   0.000   2.694  21.340  36.734  91.363  66.270  89.842  36.072  31.316  19.154   0.000   0.000
    10.45    51.08    1991   0.000   0.001  10.366  38.629  53.137  74.526  44.552  71.148  27.657  12.420   1.449   0.000
    10.45    51.08    1992   0.000   0.092   4.709  27.744  85.807  67.595  80.401  51.263  42.188  11.558   0.693   0.000
    10.45    51.08    1993   0.002   0.103   8.520  46.668  71.972  76.647  75.364  70.773  32.323  14.716   0.396   0.000
    10.45    51.08    1994   0.000   0.037   8.688  32.675  70.874  87.927 106.540  71.332  39.489  16.744   3.713   0.000
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1997   0.005   1.181  12.003  31.551  58.541  49.534  43.160  65.916  40.189   9.048   1.002   0.123
    10.45    51.08    1998   0.388   2.618  11.814  34.183  75.210  74.622  61.955  37.693  25.819   7.384   0.655   0.138
    10.45    51.08    1999   0.253   0.587   6.790  27.827  62.187  61.502  68.041  55.316  43.515  10.967   1.661   0.107
    10.45    51.08    2000   0.048   0.984   6.669  33.477  69.697  66.058  42.586  61.793  28.944  14.596   1.586   0.124
    10.45    51.08    2001   0.020   0.447   3.555  21.076  73.359  54.846  78.659  62.552  22.515  18.594   1.588   0.009
    10.45    51.08    2002   0.195   3.154  12.294  31.493  58.796  77.497  64.971  60.680  38.629   8.836   0.048   0.008
    10.45    51.08    2003   0.015   0.019   7.007  37.408  71.942 108.623  74.927  47.612  46.173  11.401   1.083   0.010
    10.45    51.08    2004   0.008   0.830  13.038  48.345  61.610  82.348  82.114  58.391  14.839  22.178   0.029   0.006
    10.45    51.08    2005   0.013   0.007   7.809  45.306  82.783  74.712  60.629  65.612  45.513  26.040   3.662   0.005
    10.45    51.08    2006   0.002   0.009   2.065  33.473  88.091 108.248  77.368  54.240  51.212  21.422   3.824   0.011
    10.45    51.08    2007   0.009   0.203   8.133  69.776  79.681  97.757  84.865  78.504  40.881  18.791   1.142   0.003
    10.45    51.08    2008   0.102   2.807  10.820  32.529  99.012  96.018  87.749  38.862  20.776  17.973   0.750   0.001
    10.45    51.08    2009   0.001   0.002   1.431  56.169  81.649  73.634  95.550  54.649  35.277  12.180   1.000   0.001
    10.45    51.08    2010   0.000   0.002   8.617  53.054  50.813 102.483  99.227  59.400  41.334  20.636   2.107   0.000
    10.45    51.08    2011   0.002   0.315  14.419  68.269  80.174  88.098  79.979  57.417  36.712  12.691   0.480   0.000
    10.45    51.08    2012   0.000   0.012  19.002  36.208  81.177  73.456  85.475  58.157  21.104  19.019   1.606   0.000
