      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   6.664  12.864  19.385  10.154   0.370   6.923   3.157   3.323   1.341   0.388   1.445   4.386
    10.45    51.08    1952   4.186   3.207  24.985  17.795   2.565   1.008   0.037   0.126   1.566   1.286   4.328   3.777
    10.45    51.08    1953   0.141   5.003  21.316   6.438   2.329   9.060  16.888   6.755   1.025   0.782   2.771   2.138
    10.45    51.08    1954   4.099   9.459  19.413  20.807   6.133   0.939   7.453   9.172   4.833   4.094   2.566   4.963
    10.45    51.08    1955   0.688   5.706   9.214  23.213   2.785   1.034   3.056   5.105   2.285   0.959   2.446   5.481
    10.45    51.08    1956   6.102   0.000  20.738  23.166   6.138   0.000   0.000   0.000   0.000   0.000   2.002   3.972
    10.45    51.08    1957   6.479  11.529  16.134   5.037   0.000   0.000   0.000   0.000   0.000   0.423   9.120   4.661
    10.45    51.08    1958   7.185  10.023   9.889  20.209   2.709   0.000   0.000   0.000   0.000   0.000   2.843   5.454
    10.45    51.08    1959   7.404   9.338  11.746   3.681   0.000   0.000   0.000   0.000   0.000   0.033   6.148   4.049
    10.45    51.08    1960   4.574  10.924  15.848  10.259   2.386   0.000   0.000   0.000   0.000   0.000   3.062   2.264
    10.45    51.08    1961   1.363  14.795  12.385   6.224   0.000   0.000   0.000   0.000   0.000   0.003   1.095   3.606
    10.45    51.08    1962   7.287  11.584   9.022  21.682   1.162   0.000   0.000   0.000   0.000   0.000   0.005   0.781
    10.45    51.08    1963   0.000   0.000  19.185  21.352   1.794   0.000   0.000   0.000   0.000   0.000   1.815   3.943
    10.45    51.08    1964   3.116  11.367  14.095  20.031   1.842   0.000   0.000   0.000   0.000   0.000   1.353   1.854
    10.45    51.08    1965   4.492   0.000  13.953  18.612   8.751   0.000   0.000   0.000   0.000   0.000   0.144   4.640
    10.45    51.08    1966   4.341   9.190  15.183  13.211   0.139   0.000   0.000   0.000   0.000   0.000   6.722   5.657
    10.45    51.08    1967   6.541  10.805  18.105  13.409   2.743   0.000   0.000   0.000   0.000   0.000   1.758   3.998
    10.45    51.08    1968   4.543  11.697  24.450   7.313   0.000   0.000   0.000   0.000   0.000   0.000   3.936   2.861
    10.45    51.08    1969   4.998   3.017   0.000  28.047   7.200   0.000   0.000   0.000   0.000   0.000   0.234   1.381
    10.45    51.08    1970   0.000   2.549  14.046  31.829   7.175   0.000   0.000   0.000   0.000   0.000   0.000   4.849
    10.45    51.08    1971   3.494   9.322  14.114  11.878   2.776   0.000   0.000   0.000   0.000   0.000   1.874   5.428
    10.45    51.08    1972   3.680   7.822  25.254  12.449   1.270   0.000   0.000   0.000   0.000   0.000   2.162   5.301
    10.45    51.08    1973   5.320   9.820  22.574  16.764   6.052   0.000   0.000   0.000   0.000   0.000   3.686   5.598
    10.45    51.08    1974   7.056   9.911  18.536   5.708   0.083   0.000   0.000   0.000   0.000   0.000   9.107   6.755
    10.45    51.08    1975   8.082  11.156  20.628  25.350   2.614   0.000   0.000   0.000   0.000   0.000   0.943   1.704
    10.45    51.08    1976   6.191  10.128  14.848  11.055   1.316   0.000   0.000   0.000   0.000   0.000   0.879   2.604
    10.45    51.08    1977   3.588   9.332  18.284  14.394   1.287   0.000   0.000   0.000   0.000   0.000   6.137   5.743
    10.45    51.08    1978   6.117   5.484  17.634  10.991   2.093   0.000   0.000   0.000   0.000   0.000   3.233   4.013
    10.45    51.08    1979   0.000   0.000  17.953  28.663  10.532   0.000   0.000   0.000   0.000   0.000   3.202   5.686
    10.45    51.08    1980   5.183  11.242  11.995  18.200  11.021   0.000   0.000   0.000   0.000   0.000   2.445   3.328
    10.45    51.08    1981   2.229   8.676  21.642   5.140   0.376   0.000   0.000   0.000   0.000   0.000  10.058   1.953
    10.45    51.08    1982   5.971  11.363  17.188  10.870   4.740   0.000   0.000   0.000   0.000   0.000   0.117   2.058
    10.45    51.08    1983   3.751   5.707  13.362  28.646   1.139   0.000   0.000   0.000   0.000   0.000   0.048   0.527
    10.45    51.08    1984   2.414   8.598  17.320  32.141   8.246   0.000   0.000   0.000   0.000   0.000   3.016   5.827
    10.45    51.08    1985   2.474  10.296  15.276  15.009   1.779   0.000   0.000   0.000   0.000   0.000   0.029   2.228
    10.45    51.08    1986   6.143   3.711  21.789  29.557   5.467   0.000   0.000   0.000   0.000   0.000   0.934   4.506
    10.45    51.08    1987   1.809   4.311   7.278  21.592   1.726   0.000   0.000   0.000   0.000   0.000   1.822   5.621
    10.45    51.08    1988   7.867   8.281  11.071  26.418   1.439   0.000   0.000   0.000   0.000   0.000   0.246   4.371
    10.45    51.08    1989   8.225   9.384  21.832   7.627   1.520   0.000   0.000   0.000   0.000   0.000   6.063   6.026
    10.45    51.08    1990   7.504  13.513  15.563   5.137   0.019   0.000   0.000   0.000   0.000   0.067   2.217   3.483
    10.45    51.08    1991   5.314   7.043  13.587   4.649   0.754   0.000   0.000   0.000   0.000   0.000   0.323   1.229
    10.45    51.08    1992   3.960   7.489  18.592  22.730   1.744   0.000   0.000   0.000   0.000   0.000   4.990   6.041
    10.45    51.08    1993   7.224   3.577  18.227   9.228   0.000   0.000   0.000   0.000   0.000   0.000   5.641   6.048
    10.45    51.08    1994   7.843   9.811  23.650  19.094   0.276   0.000   0.000   0.000   0.000   0.000   5.367   6.607
    10.45    51.08    1995   7.469  14.592  18.759  28.413  42.174  55.130  63.999  37.385  32.198  20.166   5.217   2.833
