      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.074   0.107   0.315   0.453   1.372   6.864   1.643   2.978   1.657   0.784   1.249   0.125
    10.45    51.08    1952   0.155   0.120   0.612   1.369   3.757   1.998   0.925   2.136   5.887   3.159   2.062   0.095
    10.45    51.08    1953   0.152   0.157   0.081   0.784   2.978   5.934   3.179   2.513   1.214   1.582   0.037   0.115
    10.45    51.08    1954   0.192   0.189   0.219   1.519   1.907   3.536   8.669   5.717   3.422   3.338   0.972   0.179
    10.45    51.08    1955   0.146   0.282   0.336   1.238   3.285   5.219   9.066   4.888   4.009   2.088   0.300   0.202
    10.45    51.08    1956   0.171   0.183   0.266   2.127   3.050  11.924  15.103   7.156   2.037   4.436   1.677   0.137
    10.45    51.08    1957   0.182   0.477   1.263   1.483   5.623   6.415   8.947   4.368   6.522   1.720   0.141   0.110
    10.45    51.08    1958   0.154   0.821   1.397   1.348   7.604   7.038   7.140   7.813   5.162   3.831   1.977   0.139
    10.45    51.08    1959   0.134   0.048   0.601   3.326   4.784   4.814   1.488   5.939   0.052   2.262   0.157   0.086
    10.45    51.08    1960   0.144   0.076   0.243   1.533   5.740   2.517   4.124   6.420   4.792   5.798   1.932   0.089
    10.45    51.08    1961   0.071   0.122   0.748   7.588  10.045   7.500   4.009   3.963   1.986   1.231   0.066   0.087
    10.45    51.08    1962   0.068   0.093   0.148   0.785   4.310   1.343   6.094   2.733   2.817   0.667   0.355   0.053
    10.45    51.08    1963   0.039   0.028   0.152   0.861   2.255   8.051   2.746   9.435   3.108   2.303   3.130   0.012
    10.45    51.08    1964   0.017   0.035   0.058   1.693   5.319   3.486   3.781   4.664   2.161   2.017   0.162   0.037
    10.45    51.08    1965   0.087   0.020   0.040   1.314   1.816   7.635   4.793   3.343   3.350   0.615   1.401   0.035
    10.45    51.08    1966   0.021   0.151   0.497   2.217   4.076   7.146   7.882   6.703   1.441   3.862   0.493   0.027
    10.45    51.08    1967   0.012   0.058   0.644   0.710   4.142   7.465   3.521   5.277   5.240   2.613   0.607   0.013
    10.45    51.08    1968   0.008   0.021   0.049   3.664   3.019   5.229   3.234   4.773   4.941   3.432   0.887   0.005
    10.45    51.08    1969   0.003   0.006   0.006   1.059   5.859   8.685   0.803   6.874   3.402   1.307   1.541   0.003
    10.45    51.08    1970   0.001   0.001   0.008   0.479   4.838   3.947   3.216   9.943   1.504   4.747   2.462   0.163
    10.45    51.08    1971   0.000   0.003   0.046   1.468   2.978   5.725   0.978   3.033   2.146   2.233   1.392   0.000
    10.45    51.08    1972   0.002   0.000   0.127   0.858   4.456   5.666   8.582   7.192   1.759   1.553   0.940   0.000
    10.45    51.08    1973   0.000   0.000   0.000   0.314   2.312   3.223   4.105   2.258   4.145   3.659   0.950   0.000
    10.45    51.08    1974   0.003   0.163   0.319   0.705   3.833   6.008   4.446   3.781   1.792   4.364   0.000   0.012
    10.45    51.08    1975   0.000   0.002   0.168   0.473   3.097   5.654   2.019   3.113   2.372   2.432   0.264   0.000
    10.45    51.08    1976   0.000   0.000   0.011   0.478   2.420   4.277   1.937   2.354   2.748   1.593   1.274   0.000
    10.45    51.08    1977   0.000   0.007   0.739   0.622   1.724   6.058   4.117   7.456   2.000   2.154   1.903   0.000
    10.45    51.08    1978   0.000   0.000   0.106   0.320   3.377   1.459   3.301   3.846   3.877   1.700   0.000   0.008
    10.45    51.08    1979   0.018   0.000   0.054   0.468   1.834   4.203   3.762   1.390   3.079   0.448   1.939   0.007
    10.45    51.08    1980   0.020   0.000   0.018   0.804   1.357   3.761   3.342   1.088   2.922   1.863   0.337   0.033
    10.45    51.08    1981   0.140   0.002   0.490   1.836   4.910   3.212   1.877   5.419   2.411   2.479   0.000   0.000
    10.45    51.08    1982   0.000   0.000   0.008   0.382   1.399   2.493   3.405   0.985   0.623   2.815   0.709   0.000
    10.45    51.08    1983   0.000   0.003   0.224   2.398   5.369   1.338   1.513   3.051   2.753   0.227   0.105   0.000
    10.45    51.08    1984   0.000   0.000   0.000   0.148   6.066   2.691   3.580   4.162   3.236   3.290   0.142   0.000
    10.45    51.08    1985   0.001   0.000   0.015   0.400   2.059   3.705   2.584   2.643   1.162   0.189   0.537   0.010
    10.45    51.08    1986   0.014   0.000   0.028   0.442   4.573   2.620   2.550   3.311   3.108   1.496   0.314   0.000
    10.45    51.08    1987   0.000   0.000   0.006   0.159   3.520   7.742   4.071   3.865   5.013   1.163   1.633   0.000
    10.45    51.08    1988   0.000   0.000   0.042   0.302   1.254   4.206   3.587   1.048   1.432   0.864   1.139   0.000
    10.45    51.08    1989   0.000   0.002   0.199   1.654   1.719   3.058   2.582   1.321   2.338   1.564   1.705   0.000
    10.45    51.08    1990   0.000   0.234   0.608   2.052   0.701   5.142   1.161   2.137   2.740   0.485   0.000   0.000
    10.45    51.08    1991   0.000   0.000   0.283   0.517   1.719   3.533   1.104   4.637   0.979   0.835   0.203   0.000
    10.45    51.08    1992   0.000   0.002   0.555   0.288   1.182   4.096   4.448   1.653   1.933   2.542   0.179   0.000
    10.45    51.08    1993   0.007   0.022   0.104   0.375   4.486   3.263   5.363   2.133   2.589   2.262   0.092   0.000
    10.45    51.08    1994   0.000   0.001   0.378   1.833   4.896   2.358   4.274   4.744   2.329   1.417   0.469   0.000
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1997   0.021   0.183   0.750   0.714   1.285   0.699   3.720   1.198   0.328   1.446   0.125   0.123
    10.45    51.08    1998   0.111   0.147   0.779   1.887   1.800   2.472   3.148   1.144   3.399   3.598   1.294   0.035
    10.45    51.08    1999   0.093   0.160   0.417   0.787   2.579   3.131   3.288   2.145   1.050   0.606   0.645   0.115
    10.45    51.08    2000   0.135   0.378   1.142   1.323   1.615   2.415   3.622   3.610   3.804   1.849   0.402   0.079
    10.45    51.08    2001   0.110   0.185   1.761   1.728   2.790   6.489   6.335   1.465   4.542   2.257   1.351   0.146
    10.45    51.08    2002   0.107   1.271   2.319   2.492   7.077   6.879   7.804   6.898   3.797   3.457   0.277   0.171
    10.45    51.08    2003   0.135   0.097   0.224   0.692   5.591   8.237   3.982   2.086   4.698   3.089   0.254   0.093
    10.45    51.08    2004   0.105   0.141   0.546   3.129   9.959   4.527   7.406   3.106   3.534   1.020   0.153   0.051
    10.45    51.08    2005   0.084   0.164   0.379   2.310   4.706   4.375   7.941   5.047   6.651   1.846   1.140   0.101
    10.45    51.08    2006   0.052   0.107   0.312   2.767   4.978   6.821   5.238  10.126   1.002   4.428   2.090   0.043
    10.45    51.08    2007   0.100   0.117   0.648   0.449   9.772   8.073  10.879   8.231   5.669   0.702   1.489   0.057
    10.45    51.08    2008   0.084   0.169   1.536   3.691   1.699   5.833   5.988   3.073   4.172   5.343   0.081   0.038
    10.45    51.08    2009   0.009   0.055   0.132   3.823   6.536   5.715   7.130   1.367   4.960   4.733   2.440   0.051
