      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.399   0.175   0.447   1.617   3.115   3.237   3.237   3.237   3.237   3.237   2.817   1.020
    10.45    51.08    1952   0.226   0.219   0.385   2.078   3.504   3.504   2.909   3.207   3.504   3.504   1.681   0.219
    10.45    51.08    1953   0.254   0.265   0.505   2.065   2.973   2.973   2.973   2.973   2.973   2.973   0.587   0.254
    10.45    51.08    1954   0.296   0.296   0.404   1.217   3.296   3.970   3.970   3.970   3.970   3.970   3.195   0.296
    10.45    51.08    1955   0.309   0.309   0.424   1.444   4.223   4.532   4.532   4.532   4.532   4.532   2.984   0.309
    10.45    51.08    1956   0.297   0.293   0.350   1.249   4.024   4.877   4.877   4.877   4.877   4.877   3.196   0.294
    10.45    51.08    1957   0.331   0.404   1.370   3.539   5.180   5.197   5.197   5.197   5.197   5.042   0.318   0.280
    10.45    51.08    1958   0.253   0.591   1.105   1.604   4.734   5.442   5.442   5.442   5.442   5.442   3.003   0.253
    10.45    51.08    1959   0.216   0.240   1.180   3.816   5.562   5.562   5.562   5.562   5.562   5.506   0.377   0.216
    10.45    51.08    1960   0.152   0.155   0.536   1.837   4.435   5.216   5.216   5.216   5.216   5.216   3.342   0.152
    10.45    51.08    1961   0.129   0.157   1.195   3.772   5.316   5.316   5.316   5.316   5.316   5.130   0.129   0.129
    10.45    51.08    1962   0.103   0.127   0.200   1.222   4.613   5.431   5.431   5.431   5.431   5.431   2.767   0.103
    10.45    51.08    1963   0.066   0.066   0.156   1.319   4.383   5.017   5.017   5.017   5.017   5.017   3.697   0.066
    10.45    51.08    1964   0.055   0.055   0.069   1.140   4.601   5.063   5.063   5.063   5.063   5.063   1.224   0.111
    10.45    51.08    1965   0.148   0.040   0.089   1.166   3.558   4.821   4.821   4.821   4.821   4.821   2.271   0.040
    10.45    51.08    1966   0.053   0.337   1.008   2.251   4.824   4.909   4.909   4.909   4.909   4.909   0.929   0.034
    10.45    51.08    1967   0.024   0.225   0.805   1.608   4.265   5.152   5.152   5.152   5.152   5.152   2.908   0.024
