      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.014  -0.013  -0.008   0.019  -0.001   0.040  -0.015  -0.037  -0.067  -0.035  -0.030  -0.018
    10.45    51.08    1952  -0.014  -0.002  -0.012   0.003   0.039   0.013  -0.091  -0.086  -0.014  -0.007  -0.016  -0.004
    10.45    51.08    1953  -0.005  -0.005  -0.010   0.019   0.012  -0.001   0.010  -0.012  -0.022  -0.033  -0.028  -0.020
    10.45    51.08    1954  -0.005  -0.001  -0.011   0.005   0.063   0.015   0.030   0.025  -0.006   0.002  -0.018  -0.017
    10.45    51.08    1955  -0.005  -0.008  -0.002   0.005   0.056   0.045   0.006   0.023   0.005  -0.005  -0.012  -0.012
    10.45    51.08    1956  -0.018  -0.001  -0.004   0.001   0.066   0.043   0.054   0.047   0.014  -0.015  -0.015  -0.017
    10.45    51.08    1957  -0.008  -0.024  -0.009   0.033   0.058   0.022  -0.037   0.025   0.006   0.004  -0.024  -0.011
    10.45    51.08    1958  -0.016  -0.020  -0.005   0.008   0.046   0.056   0.038   0.002  -0.021  -0.016  -0.018  -0.016
    10.45    51.08    1959  -0.017  -0.006  -0.019   0.023   0.056   0.043  -0.070  -0.029  -0.113  -0.061  -0.020  -0.011
    10.45    51.08    1960  -0.016  -0.008  -0.018  -0.006   0.063   0.053   0.023  -0.009  -0.017  -0.006  -0.017  -0.013
    10.45    51.08    1961  -0.008  -0.019  -0.027   0.023   0.068   0.079  -0.001   0.014  -0.034  -0.036  -0.033  -0.013
    10.45    51.08    1962  -0.018  -0.014  -0.004  -0.007   0.047   0.042   0.039  -0.067  -0.019  -0.065  -0.020  -0.007
    10.45    51.08    1963  -0.001  -0.001  -0.014  -0.001   0.057   0.026  -0.031   0.007   0.005  -0.007  -0.017  -0.006
    10.45    51.08    1964  -0.003  -0.008  -0.008  -0.001   0.082   0.034  -0.035  -0.051  -0.046  -0.030  -0.025  -0.015
    10.45    51.08    1965  -0.014  -0.004  -0.010  -0.011   0.059   0.070   0.033   0.042   0.017  -0.013  -0.015  -0.014
    10.45    51.08    1966  -0.007  -0.013  -0.017   0.021   0.069   0.033   0.067   0.044   0.026  -0.017  -0.014  -0.013
    10.45    51.08    1967  -0.014  -0.020  -0.017   0.006   0.065   0.066   0.034  -0.010   0.008  -0.012  -0.016  -0.010
    10.45    51.08    1968  -0.008  -0.015  -0.009   0.011   0.070   0.048   0.024  -0.026  -0.010  -0.006  -0.018  -0.006
    10.45    51.08    1969  -0.010  -0.008  -0.005  -0.010   0.068   0.088   0.022  -0.034   0.036   0.000  -0.019  -0.004
    10.45    51.08    1970  -0.004  -0.005  -0.010  -0.014   0.056   0.048   0.029   0.023   0.025  -0.009  -0.014  -0.014
    10.45    51.08    1971  -0.008  -0.020  -0.013  -0.004   0.032   0.044   0.035  -0.106  -0.041  -0.026  -0.015  -0.018
    10.45    51.08    1972  -0.008  -0.012  -0.022   0.001   0.070   0.094   0.025   0.049   0.029   0.010  -0.014  -0.013
    10.45    51.08    1973  -0.009  -0.016  -0.020  -0.016   0.058   0.039  -0.022  -0.100  -0.020   0.004  -0.010  -0.008
    10.45    51.08    1974  -0.024  -0.021  -0.006   0.028   0.077   0.081   0.068   0.011   0.008  -0.005  -0.021  -0.021
    10.45    51.08    1975  -0.032  -0.017  -0.023   0.007   0.069   0.063   0.028  -0.027  -0.007  -0.018  -0.014  -0.014
    10.45    51.08    1976  -0.021  -0.006  -0.014  -0.004   0.070   0.055  -0.151  -0.056  -0.051  -0.017  -0.013  -0.012
    10.45    51.08    1977  -0.009  -0.020  -0.017   0.021   0.093   0.039   0.062   0.037   0.027   0.009  -0.017  -0.011
    10.45    51.08    1978  -0.016  -0.007  -0.021   0.005   0.059   0.039   0.055   0.014   0.016   0.012  -0.016  -0.011
    10.45    51.08    1979  -0.003  -0.003  -0.017  -0.008   0.050   0.021   0.048   0.030   0.012  -0.002  -0.009  -0.020
    10.45    51.08    1980  -0.006  -0.017  -0.019  -0.007   0.069   0.056   0.045   0.015   0.011   0.004  -0.021  -0.011
    10.45    51.08    1981  -0.009  -0.008  -0.005   0.033   0.085   0.062   0.023   0.036   0.028   0.010  -0.021  -0.007
