      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   1.126   2.427   8.960  48.981  64.655  88.612  93.653  73.857  47.621  19.184   5.015   1.253
    10.45    51.08    1952   0.738   1.208   6.483  48.814  72.981  88.946 100.415  74.328  31.818  15.836   3.680   0.511
    10.45    51.08    1953   2.581   6.059  30.680  67.901  99.453  87.972 104.546  91.530  58.602  27.405   5.755   3.019
    10.45    51.08    1954   1.793   3.109  15.384  38.149  89.971  98.393  74.225  77.831  49.553  25.556   7.322   2.014
    10.45    51.08    1955   1.016   1.792   6.930  35.418  75.588  84.010  76.582  64.225  46.817  21.208   4.209   1.157
    10.45    51.08    1956   0.570   0.231   6.902  23.884  82.965  67.669  84.016  67.737  45.704  20.722   3.366   0.587
    10.45    51.08    1957   0.613   2.305  19.549  46.542  72.890 113.799  90.168  72.878  41.192  19.598   1.415   0.315
    10.45    51.08    1958   0.370   2.955   3.922  23.755  82.464  88.499 102.487  91.213  57.032  23.990   4.100   0.464
    10.45    51.08    1959   0.471   1.158  15.377  55.520  89.255 109.214 120.801  79.623  69.747  30.445   1.052   0.336
    10.45    51.08    1960   0.395   0.507   5.923  34.315  79.088 114.148  94.205  75.557  44.797  21.304   5.635   0.246
    10.45    51.08    1961   0.157   2.127  14.927  42.217  65.318 104.215  88.623  78.120  61.730  25.129   0.447   0.236
    10.45    51.08    1962   0.285   0.346   1.348  31.230  62.167 106.656  88.278  87.429  56.939  23.310   3.599   0.097
    10.45    51.08    1963   0.053   0.059   2.367  30.338  82.482  94.477 109.112  79.877  52.356  19.631   7.116   0.049
    10.45    51.08    1964   0.042   0.238   0.596  32.883  96.167 129.363 116.016  83.320  56.738  18.514   1.041   0.124
    10.45    51.08    1965   0.223   0.054   1.913  25.835  70.679  94.202  84.829  85.164  47.795  22.088   2.988   0.078
    10.45    51.08    1966   0.066   3.003   7.415  36.530  95.621 107.119  80.982  80.027  46.206  25.340   1.093   0.059
    10.45    51.08    1967   0.065   1.217  12.387  29.244  94.075  89.884 123.960  79.361  44.979  26.287   4.233   0.037
    10.45    51.08    1968   0.025   0.083  10.464  51.779  72.194  99.895 106.699  77.815  44.277  20.430   3.425   0.012
    10.45    51.08    1969   0.021   0.030   0.040  19.450  82.076 101.882 116.957  86.712  54.349  23.982   7.006   0.005
    10.45    51.08    1970   0.003   0.010   0.430  12.496  68.088 119.239 102.193  77.125  56.844  18.126   6.580   0.307
    10.45    51.08    1971   0.000   0.011   1.206  35.481  82.181  79.017 130.309 102.092  54.918  27.824   5.344   0.000
    10.45    51.08    1972   0.005   0.000   8.065  28.463  69.459  97.366  90.317  72.837  40.895  20.385   4.856   0.000
    10.45    51.08    1973   0.000   0.000   3.330  13.672  78.368  95.585  96.474  96.254  52.735  21.355   3.966   0.000
    10.45    51.08    1974   0.028   0.870  11.686  46.138  67.770  83.639  81.754  78.538  52.710  14.103   0.000   0.028
    10.45    51.08    1975   0.000   0.015   2.305  26.756  75.778  81.159 104.420 103.122  51.917  17.214   3.162   0.000
    10.45    51.08    1976   0.001   0.002   1.117  30.907  88.819 108.553 119.734  86.642  38.732  20.341   4.727   0.000
    10.45    51.08    1977   0.000   0.122  10.318  27.000  78.059  66.348  84.114  58.040  39.701  20.634   4.502   0.000
    10.45    51.08    1978   0.000   0.135   5.987  28.848  61.222  79.614  81.173  70.006  36.670  20.515   2.261   0.011
    10.45    51.08    1979   0.029   0.000   0.430  17.502  72.426  90.001  72.186  71.982  48.218  21.349   3.745   0.021
    10.45    51.08    1980   0.041   0.010   1.074  20.431  75.027  84.785  67.652  81.135  48.312  20.224   0.748   0.124
    10.45    51.08    1981   0.224   0.008  13.597  42.018  74.282  79.644  74.224  70.760  46.790  19.633   0.322   0.000
    10.45    51.08    1982   0.000   0.000   1.198  31.935  77.047  95.504  99.222  84.809  59.365  19.246   7.328   0.000
    10.45    51.08    1983   0.000   0.040   5.128  33.702  59.815  88.995 108.380  78.508  47.274  20.533   3.816   0.000
    10.45    51.08    1984   0.000   0.000   0.214  25.501  48.234  72.202  78.622  70.856  35.287  20.132   4.594   0.000
    10.45    51.08    1985   0.003   0.004   0.425  32.120  72.666  72.053  99.126  73.122  46.340  20.678   2.495   0.024
    10.45    51.08    1986   0.032   0.000   1.389  13.044  76.494  87.562  87.268  75.080  39.064  23.302   6.143   0.000
    10.45    51.08    1987   0.000   0.000   0.511  34.922  60.171  64.869  88.154  63.283  44.402  20.490   4.139   0.000
    10.45    51.08    1988   0.000   0.001   0.718  29.889  81.512  72.895  90.680  82.516  41.860  18.790   3.951   0.000
