      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.002   0.002   0.005   0.032   0.053   0.069   0.072   0.062   0.048   0.025   0.014   0.005
    10.45    51.08    1952   0.002   0.002   0.005   0.037   0.064   0.072   0.056   0.056   0.039   0.024   0.008   0.002
    10.45    51.08    1953   0.002   0.003   0.012   0.043   0.062   0.062   0.071   0.065   0.049   0.030   0.007   0.003
    10.45    51.08    1954   0.003   0.002   0.009   0.020   0.070   0.079   0.069   0.070   0.052   0.034   0.014   0.006
    10.45    51.08    1955   0.003   0.003   0.006   0.023   0.071   0.080   0.079   0.071   0.058   0.033   0.012   0.006
    10.45    51.08    1956   0.005   0.001   0.009   0.020   0.078   0.076   0.087   0.078   0.061   0.036   0.011   0.007
    10.45    51.08    1957   0.005   0.009   0.023   0.045   0.071   0.096   0.093   0.082   0.056   0.037   0.010   0.005
    10.45    51.08    1958   0.005   0.009   0.006   0.022   0.081   0.089   0.101   0.095   0.072   0.043   0.014   0.008
    10.45    51.08    1959   0.006   0.005   0.019   0.053   0.087   0.097   0.090   0.086   0.042   0.029   0.009   0.007
    10.45    51.08    1960   0.006   0.005   0.010   0.029   0.078   0.104   0.091   0.083   0.062   0.038   0.019   0.006
    10.45    51.08    1961   0.004   0.009   0.018   0.048   0.068   0.095   0.089   0.084   0.073   0.046   0.008   0.006
    10.45    51.08    1962   0.007   0.005   0.005   0.028   0.064   0.089   0.089   0.070   0.058   0.030   0.012   0.004
    10.45    51.08    1963   0.001   0.001   0.008   0.028   0.078   0.090   0.087   0.083   0.066   0.035   0.020   0.003
    10.45    51.08    1964   0.003   0.004   0.005   0.029   0.088   0.105   0.089   0.073   0.055   0.029   0.011   0.006
    10.45    51.08    1965   0.006   0.003   0.007   0.022   0.067   0.090   0.088   0.088   0.062   0.037   0.010   0.007
    10.45    51.08    1966   0.004   0.009   0.011   0.037   0.089   0.096   0.086   0.084   0.061   0.044   0.008   0.006
    10.45    51.08    1967   0.006   0.008   0.015   0.026   0.084   0.088   0.111   0.086   0.063   0.050   0.015   0.006
    10.45    51.08    1968   0.005   0.005   0.013   0.043   0.076   0.096   0.098   0.077   0.063   0.042   0.014   0.004
    10.45    51.08    1969   0.006   0.004   0.005   0.020   0.080   0.096   0.106   0.087   0.069   0.044   0.023   0.003
    10.45    51.08    1970   0.004   0.004   0.006   0.017   0.068   0.102   0.099   0.088   0.071   0.036   0.022   0.007
    10.45    51.08    1971   0.005   0.006   0.007   0.030   0.080   0.085   0.104   0.080   0.052   0.039   0.016   0.010
    10.45    51.08    1972   0.003   0.006   0.013   0.028   0.072   0.096   0.094   0.085   0.056   0.033   0.017   0.006
    10.45    51.08    1973   0.005   0.006   0.010   0.014   0.074   0.093   0.088   0.066   0.066   0.035   0.014   0.006
    10.45    51.08    1974   0.008   0.008   0.016   0.044   0.072   0.086   0.089   0.087   0.068   0.026   0.010   0.010
    10.45    51.08    1975   0.010   0.006   0.010   0.024   0.076   0.086   0.103   0.091   0.071   0.034   0.013   0.007
    10.45    51.08    1976   0.008   0.005   0.007   0.027   0.084   0.096   0.074   0.066   0.046   0.041   0.016   0.006
    10.45    51.08    1977   0.006   0.007   0.017   0.027   0.081   0.078   0.091   0.074   0.058   0.041   0.017   0.007
    10.45    51.08    1978   0.006   0.004   0.012   0.026   0.065   0.086   0.087   0.081   0.055   0.038   0.013   0.006
    10.45    51.08    1979   0.003   0.003   0.009   0.019   0.065   0.094   0.084   0.084   0.065   0.039   0.012   0.010
    10.45    51.08    1980   0.004   0.007   0.009   0.019   0.064   0.091   0.080   0.090   0.067   0.038   0.011   0.007
    10.45    51.08    1981   0.005   0.005   0.021   0.045   0.079   0.089   0.087   0.085   0.066   0.038   0.012   0.004
    10.45    51.08    1982   0.005   0.005   0.011   0.026   0.073   0.092   0.096   0.082   0.057   0.042   0.025   0.008
    10.45    51.08    1983   0.010   0.004   0.012   0.035   0.072   0.094   0.103   0.088   0.060   0.040   0.013   0.007
    10.45    51.08    1984   0.007   0.005   0.007   0.021   0.056   0.083   0.088   0.086   0.056   0.044   0.018   0.007
    10.45    51.08    1985   0.003   0.004   0.008   0.032   0.077   0.083   0.100   0.087   0.066   0.033   0.010   0.011
    10.45    51.08    1986   0.006   0.002   0.009   0.017   0.083   0.092   0.097   0.088   0.058   0.045   0.023   0.008
    10.45    51.08    1987   0.003   0.005   0.006   0.032   0.070   0.078   0.097   0.081   0.067   0.041   0.017   0.008
    10.45    51.08    1988   0.010   0.007   0.009   0.027   0.088   0.081   0.100   0.096   0.061   0.036   0.015   0.009
    10.45    51.08    1989   0.009   0.008   0.018   0.036   0.099   0.098   0.079   0.076   0.059   0.048   0.015   0.010
    10.45    51.08    1990   0.009   0.013   0.030   0.046   0.100   0.086   0.101   0.080   0.059   0.043   0.012   0.007
    10.45    51.08    1991   0.009   0.005   0.020   0.043   0.067   0.091   0.086   0.095   0.063   0.039   0.013   0.007
    10.45    51.08    1992   0.008   0.008   0.013   0.031   0.092   0.090   0.100   0.086   0.067   0.032   0.013   0.008
    10.45    51.08    1993   0.010   0.004   0.014   0.051   0.090   0.092   0.094   0.090   0.058   0.036   0.007   0.009
    10.45    51.08    1994   0.010   0.006   0.018   0.039   0.089   0.099   0.118   0.097   0.066   0.037   0.021   0.012
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1997   0.000   0.002   0.014   0.032   0.060   0.054   0.051   0.067   0.050   0.023   0.004   0.001
    10.45    51.08    1998   0.003   0.005   0.015   0.038   0.073   0.074   0.069   0.053   0.045   0.027   0.009   0.001
    10.45    51.08    1999   0.003   0.002   0.007   0.030   0.065   0.067   0.070   0.062   0.052   0.024   0.008   0.002
    10.45    51.08    2000   0.003   0.005   0.010   0.035   0.078   0.074   0.061   0.074   0.048   0.032   0.010  -0.002
    10.45    51.08    2001   0.004   0.005   0.008   0.025   0.084   0.074   0.092   0.080   0.046   0.041   0.010   0.004
    10.45    51.08    2002   0.006   0.011   0.018   0.037   0.078   0.093   0.086   0.085   0.061   0.026   0.009   0.005
    10.45    51.08    2003   0.005   0.003   0.014   0.040   0.088   0.115   0.096   0.085   0.070   0.028   0.012   0.006
    10.45    51.08    2004   0.005   0.008   0.017   0.053   0.079   0.096   0.099   0.089   0.053   0.045   0.009   0.005
    10.45    51.08    2005   0.008   0.004   0.013   0.049   0.087   0.094   0.093   0.089   0.077   0.052   0.018   0.006
    10.45    51.08    2006   0.003   0.004   0.008   0.037   0.096   0.108   0.111   0.087   0.079   0.053   0.023   0.010
    10.45    51.08    2007   0.011   0.009   0.017   0.066   0.097   0.111   0.106   0.099   0.067   0.040   0.012   0.007
    10.45    51.08    2008   0.011   0.010   0.017   0.038   0.102   0.109   0.107   0.084   0.057   0.044   0.013   0.007
    10.45    51.08    2009   0.004   0.005   0.010   0.063   0.096   0.091   0.110   0.091   0.070   0.037   0.018   0.007
    10.45    51.08    2010   0.003   0.005   0.016   0.051   0.069   0.106   0.118   0.090   0.066   0.040   0.016   0.003
    10.45    51.08    2011   0.007   0.006   0.017   0.072   0.093   0.104   0.099   0.090   0.070   0.042   0.011   0.010
    10.45    51.08    2012   0.008   0.004   0.024   0.041   0.094   0.095   0.107   0.095   0.062   0.044   0.014   0.008
