      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.013   0.013   0.015   0.051   0.098   0.087   0.133   0.116   0.113   0.052   0.026   0.014
    10.45    51.08    1952   0.013   0.002   0.016   0.061   0.080   0.119   0.164   0.147   0.057   0.026   0.015   0.003
    10.45    51.08    1953   0.004   0.005   0.028   0.075   0.112   0.115   0.115   0.124   0.103   0.072   0.029   0.019
    10.45    51.08    1954   0.003   0.000   0.018   0.031   0.083   0.127   0.088   0.084   0.077   0.039   0.022   0.013
    10.45    51.08    1955   0.003   0.006   0.004   0.031   0.083   0.101   0.108   0.074   0.073   0.043   0.014   0.009
    10.45    51.08    1956   0.014   0.000   0.008   0.029   0.083   0.083   0.078   0.077   0.073   0.049   0.014   0.013
    10.45    51.08    1957   0.005   0.021   0.036   0.049   0.076   0.129   0.150   0.093   0.065   0.031   0.019   0.006
    10.45    51.08    1958   0.012   0.017   0.005   0.023   0.087   0.088   0.110   0.123   0.104   0.052   0.016   0.010
    10.45    51.08    1959   0.013   0.003   0.035   0.066   0.100   0.113   0.149   0.118   0.081   0.051   0.015   0.006
    10.45    51.08    1960   0.011   0.004   0.020   0.047   0.070   0.117   0.109   0.107   0.085   0.036   0.018   0.008
    10.45    51.08    1961   0.004   0.015   0.041   0.049   0.051   0.081   0.127   0.102   0.105   0.070   0.027   0.007
    10.45    51.08    1962   0.011   0.009   0.001   0.039   0.067   0.102   0.099   0.110   0.076   0.049   0.019   0.003
    10.45    51.08    1963   0.000   0.000   0.010   0.039   0.085   0.117   0.120   0.093   0.077   0.039   0.021   0.004
    10.45    51.08    1964   0.000   0.004   0.004   0.038   0.077   0.132   0.124   0.108   0.081   0.043   0.018   0.010
    10.45    51.08    1965   0.009   0.001   0.006   0.039   0.062   0.081   0.098   0.094   0.068   0.047   0.014   0.007
    10.45    51.08    1966   0.004   0.011   0.021   0.037   0.095   0.119   0.063   0.074   0.052   0.051   0.008   0.007
    10.45    51.08    1967   0.008   0.015   0.026   0.031   0.084   0.077   0.126   0.111   0.061   0.050   0.017   0.004
    10.45    51.08    1968   0.003   0.010   0.011   0.051   0.065   0.104   0.115   0.094   0.077   0.036   0.014   0.002
    10.45    51.08    1969   0.004   0.005   0.001   0.023   0.063   0.069   0.116   0.121   0.050   0.041   0.023   0.001
    10.45    51.08    1970   0.000   0.000   0.005   0.022   0.059   0.111   0.117   0.084   0.064   0.034   0.016   0.008
    10.45    51.08    1971   0.002   0.014   0.008   0.042   0.092   0.090   0.106   0.119   0.063   0.044   0.017   0.008
    10.45    51.08    1972   0.004   0.006   0.021   0.038   0.054   0.071   0.095   0.061   0.045   0.026   0.017   0.007
    10.45    51.08    1973   0.004   0.010   0.015   0.025   0.073   0.106   0.122   0.098   0.079   0.031   0.010   0.002
    10.45    51.08    1974   0.015   0.016   0.017   0.049   0.054   0.069   0.067   0.094   0.076   0.024   0.011   0.011
    10.45    51.08    1975   0.022   0.011   0.017   0.022   0.063   0.076   0.113   0.113   0.079   0.042   0.014   0.007
    10.45    51.08    1976   0.013   0.002   0.008   0.037   0.076   0.085   0.131   0.081   0.061   0.049   0.015   0.006
    10.45    51.08    1977   0.003   0.013   0.026   0.020   0.062   0.072   0.070   0.051   0.041   0.028   0.018   0.005
    10.45    51.08    1978   0.011   0.003   0.020   0.033   0.054   0.100   0.081   0.095   0.052   0.027   0.012   0.004
    10.45    51.08    1979   0.000   0.000   0.009   0.023   0.054   0.114   0.077   0.085   0.067   0.041   0.010   0.010
    10.45    51.08    1980   0.002   0.010   0.012   0.024   0.048   0.093   0.070   0.095   0.067   0.035   0.011   0.005
    10.45    51.08    1981   0.004   0.003   0.017   0.040   0.045   0.067   0.093   0.067   0.051   0.024   0.011   0.003
    10.45    51.08    1982   0.001   0.005   0.014   0.033   0.065   0.108   0.105   0.098   0.073   0.043   0.020   0.009
    10.45    51.08    1983   0.018   0.006   0.017   0.024   0.048   0.072   0.112   0.091   0.065   0.043   0.015   0.005
    10.45    51.08    1984   0.018   0.005   0.006   0.021   0.038   0.051   0.065   0.065   0.041   0.026   0.012   0.006
    10.45    51.08    1985   0.001   0.002   0.009   0.038   0.071   0.080   0.088   0.086   0.061   0.044   0.012   0.009
    10.45    51.08    1986   0.004   0.001   0.007   0.016   0.066   0.058   0.102   0.092   0.037   0.031   0.012   0.007
    10.45    51.08    1987   0.002   0.001   0.001   0.032   0.048   0.041   0.080   0.050   0.053   0.026   0.012   0.004
    10.45    51.08    1988   0.016   0.011   0.009   0.029   0.079   0.082   0.080   0.092   0.060   0.043   0.017   0.007
    10.45    51.08    1989   0.014   0.010   0.022   0.033   0.061   0.078   0.090   0.082   0.062   0.041   0.015   0.005
    10.45    51.08    1990   0.009   0.019   0.027   0.026   0.070   0.054   0.072   0.091   0.056   0.040   0.017   0.004
    10.45    51.08    1991   0.013   0.001   0.027   0.033   0.040   0.067   0.098   0.070   0.062   0.040   0.015   0.004
    10.45    51.08    1992   0.011   0.008   0.017   0.024   0.068   0.085   0.072   0.089   0.050   0.028   0.010   0.006
    10.45    51.08    1993   0.008   0.001   0.012   0.037   0.081   0.053   0.050   0.060   0.035   0.023   0.005   0.004
    10.45    51.08    1994   0.011   0.005   0.016   0.024   0.060   0.057   0.091   0.088   0.034   0.018   0.014   0.008
    10.45    51.08    1995   0.007   0.022   0.023   0.041   0.076   0.079   0.135   0.147   0.064   0.058   0.022   0.002
    10.45    51.08    1996   0.000   0.000   0.005   0.028   0.042   0.072   0.064   0.081   0.045   0.035   0.021   0.005
    10.45    51.08    1997   0.000   0.009   0.020   0.020   0.069   0.090   0.085   0.127   0.099   0.049   0.014   0.008
    10.45    51.08    1998   0.021   0.013   0.026   0.045   0.095   0.120   0.115   0.131   0.059   0.028   0.012   0.004
    10.45    51.08    1999   0.021   0.006   0.023   0.049   0.099   0.101   0.106   0.123   0.117   0.059   0.019   0.009
    10.45    51.08    2000   0.008   0.013   0.019   0.042   0.116   0.111   0.093   0.114   0.066   0.041   0.024   0.016
    10.45    51.08    2001   0.009   0.014   0.014   0.025   0.074   0.079   0.090   0.130   0.066   0.054   0.018   0.005
    10.45    51.08    2002   0.003   0.026   0.019   0.028   0.061   0.082   0.089   0.082   0.068   0.025   0.014   0.005
    10.45    51.08    2003   0.006   0.004   0.019   0.044   0.109   0.121   0.127   0.142   0.079   0.036   0.017   0.009
    10.45    51.08    2004   0.011   0.015   0.017   0.045   0.052   0.096   0.100   0.127   0.081   0.050   0.024   0.006
    10.45    51.08    2005   0.018   0.001   0.011   0.051   0.079   0.111   0.123   0.096   0.091   0.052   0.032   0.008
    10.45    51.08    2006   0.003   0.004   0.003   0.042   0.100   0.100   0.144   0.104   0.082   0.062   0.030   0.019
    10.45    51.08    2007   0.029   0.017   0.030   0.061   0.099   0.106   0.089   0.065   0.048   0.026   0.011   0.006
    10.45    51.08    2008   0.017   0.018   0.024   0.027   0.094   0.119   0.115   0.110   0.068   0.039   0.015   0.005
    10.45    51.08    2009   0.001   0.007   0.020   0.067   0.076   0.085   0.119   0.114   0.077   0.036   0.016   0.007
    10.45    51.08    2010   0.000   0.001   0.019   0.054   0.056   0.101   0.133   0.061   0.046   0.024   0.015   0.000
    10.45    51.08    2011   0.009   0.007   0.020   0.075   0.095   0.110   0.095   0.100   0.078   0.049   0.019   0.012
    10.45    51.08    2012   0.018   0.001   0.036   0.047   0.099   0.091   0.091   0.104   0.071   0.042   0.019   0.006
