      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951     4.803    23.669    21.623     2.153     0.000    51.286     0.000     0.253     0.823     0.000    36.420     9.328
    10.45    51.08    1952    21.234    31.103    52.555    23.733     3.767     0.521     0.000     0.000    66.513    26.846    69.871    28.706
    10.45    51.08    1953    31.031    49.220     0.310     0.000     0.000     1.648     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1954     9.966     0.000     0.000    12.670     0.000     0.000     0.000     0.000     0.000     0.000     0.000    28.829
    10.45    51.08    1955    30.794    29.079    38.065    13.988     0.000     0.000     0.000    14.209     0.000     0.000     0.000    17.261
    10.45    51.08    1956    19.654     0.000    50.907    28.644     0.000    10.170    93.765     5.659     0.000     5.236    19.945    12.217
    10.45    51.08    1957    24.867    27.818    12.431     2.772     0.000     0.000     0.000     0.000     0.000     0.000    12.209     0.000
    10.45    51.08    1958     7.191     0.000    68.242    14.263     0.000    21.686    15.551     0.000     0.000     0.000     0.000     5.701
    10.45    51.08    1959     0.000     3.650     2.099     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1960     3.551     0.000     0.000     0.000     4.530     0.000     0.000     0.000     0.000    21.976     0.000    16.347
    10.45    51.08    1961    11.798     9.870     2.059    41.379    43.396    48.442     0.000     0.000     0.000     0.000     0.000     2.904
    10.45    51.08    1962     0.000     3.973     1.451     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1963     0.000     0.000     1.006     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1964     0.000     0.000     0.000     0.000    23.697     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1965     0.000     0.000     6.265     0.000     0.000     0.274     0.000     0.000     0.000     0.000     0.000     8.065
    10.45    51.08    1966     0.287    15.936     0.000     0.000     0.000     0.000    11.805    11.285     0.000    22.912    12.198    10.832
