      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.958   1.000   1.000   0.993   0.951   0.958   0.969   0.978   0.981   0.972   0.999   1.000
    10.45    51.08    1952   1.000   1.000   0.997   0.973   0.979   0.947   0.793   0.621   0.672   0.919   1.000   0.999
    10.45    51.08    1953   1.000   0.999   0.995   0.961   0.854   0.753   0.730   0.687   0.592   0.544   0.563   0.590
    10.45    51.08    1954   0.709   0.800   0.903   0.988   0.925   0.754   0.670   0.700   0.720   0.825   0.910   0.987
    10.45    51.08    1955   1.000   0.997   0.996   0.992   0.920   0.788   0.677   0.729   0.724   0.724   0.780   0.912
    10.45    51.08    1956   1.000   1.000   0.999   0.995   0.928   0.843   0.962   0.980   0.975   0.984   1.000   1.000
    10.45    51.08    1957   1.000   1.000   0.997   0.971   0.861   0.641   0.402   0.303   0.262   0.323   0.405   0.495
    10.45    51.08    1958   0.749   0.887   0.993   0.995   0.963   0.866   0.819   0.638   0.501   0.492   0.631   0.752
    10.45    51.08    1959   0.930   0.997   0.996   0.952   0.824   0.598   0.228   0.002   0.000   0.001   0.097   0.176
    10.45    51.08    1960   0.327   0.487   0.615   0.646   0.595   0.436   0.130   0.001   0.002   0.075   0.288   0.449
    10.45    51.08    1961   0.674   0.895   0.983   0.993   0.984   0.954   0.672   0.464   0.237   0.029   0.011   0.106
    10.45    51.08    1962   0.245   0.410   0.499   0.667   0.649   0.465   0.175   0.004   0.001   0.000   0.000   0.020
    10.45    51.08    1963   0.042   0.047   0.184   0.355   0.295   0.077   0.004   0.022   0.003   0.026   0.089   0.173
    10.45    51.08    1964   0.208   0.345   0.420   0.562   0.570   0.336   0.036   0.000   0.000   0.002   0.018   0.055
    10.45    51.08    1965   0.135   0.222   0.326   0.469   0.515   0.412   0.281   0.131   0.014   0.001   0.008   0.191
    10.45    51.08    1966   0.368   0.517   0.611   0.740   0.689   0.433   0.336   0.289   0.291   0.252   0.430   0.617
    10.45    51.08    1967   0.825   0.948   0.998   0.989   0.873   0.701   0.502   0.200   0.112   0.113   0.153   0.270
    10.45    51.08    1968   0.390   0.530   0.687   0.725   0.670   0.502   0.178   0.002   0.002   0.052   0.106   0.176
    10.45    51.08    1969   0.266   0.392   0.482   0.733   0.900   0.833   0.624   0.235   0.146   0.097   0.127   0.167
    10.45    51.08    1970   0.185   0.376   0.586   0.786   0.917   0.813   0.491   0.308   0.248   0.241   0.424   0.555
    10.45    51.08    1971   0.614   0.754   0.856   0.887   0.779   0.613   0.332   0.008   0.000   0.003   0.026   0.125
    10.45    51.08    1972   0.163   0.201   0.249   0.335   0.308   0.223   0.124   0.112   0.106   0.074   0.128   0.216
    10.45    51.08    1973   0.245   0.370   0.517   0.592   0.589   0.369   0.055   0.000   0.003   0.040   0.141   0.285
    10.45    51.08    1974   0.413   0.514   0.637   0.606   0.529   0.410   0.370   0.208   0.080   0.065   0.264   0.498
    10.45    51.08    1975   0.672   0.753   0.836   0.972   0.904   0.719   0.537   0.197   0.012   0.005   0.018   0.069
    10.45    51.08    1976   0.230   0.391   0.454   0.477   0.345   0.136   0.000   0.000   0.000   0.005   0.029   0.097
    10.45    51.08    1977   0.175   0.314   0.434   0.540   0.489   0.302   0.195   0.244   0.326   0.353   0.533   0.708
    10.45    51.08    1978   0.847   0.905   0.991   0.982   0.927   0.763   0.578   0.381   0.279   0.315   0.327   0.406
    10.45    51.08    1979   0.512   0.541   0.789   0.996   0.956   0.759   0.581   0.441   0.279   0.200   0.231   0.357
    10.45    51.08    1980   0.494   0.682   0.751   0.873   0.853   0.638   0.509   0.282   0.045   0.005   0.037   0.128
    10.45    51.08    1981   0.280   0.384   0.525   0.552   0.526   0.465   0.344   0.221   0.173   0.243   0.392   0.605
    10.45    51.08    1982   0.765   0.858   0.920   0.961   0.878   0.596   0.319   0.058   0.000   0.025   0.041   0.104
    10.45    51.08    1983   0.190   0.287   0.346   0.541   0.606   0.578   0.311   0.031   0.001   0.000   0.000   0.010
    10.45    51.08    1984   0.069   0.228   0.318   0.458   0.525   0.642   0.529   0.454   0.425   0.580   0.662   0.753
    10.45    51.08    1985   0.801   0.910   0.969   0.982   0.901   0.688   0.498   0.261   0.098   0.002   0.001   0.039
    10.45    51.08    1986   0.175   0.255   0.369   0.587   0.621   0.632   0.411   0.173   0.078   0.044   0.094   0.144
    10.45    51.08    1987   0.345   0.471   0.609   0.782   0.707   0.774   0.749   0.781   0.780   0.816   0.926   0.999
    10.45    51.08    1988   1.000   1.000   0.999   0.985   0.849   0.579   0.406   0.213   0.016   0.000   0.004   0.139
