      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.920   0.886   0.815   0.454   0.144   0.717   0.495   0.580   0.431   0.371   0.776   0.923
    10.45    51.08    1952   0.911   0.927   0.910   0.716   0.678   0.365   0.015   0.109   0.744   0.937   0.930   0.938
    10.45    51.08    1953   0.919   0.944   0.712   0.377   0.210   0.406   0.620   0.412   0.192   0.262   0.534   0.550
    10.45    51.08    1954   0.779   0.877   0.748   0.655   0.353   0.159   0.535   0.676   0.607   0.765   0.771   0.835
    10.45    51.08    1955   0.941   0.929   0.919   0.717   0.390   0.300   0.556   0.838   0.659   0.603   0.847   0.885
    10.45    51.08    1956   0.909   0.868   0.830   0.718   0.513   0.717   0.875   0.723   0.557   0.603   0.809   0.821
    10.45    51.08    1957   0.900   0.840   0.723   0.508   0.303   0.243   0.392   0.507   0.475   0.845   0.899   0.899
    10.45    51.08    1958   0.926   0.842   0.899   0.745   0.577   0.691   0.627   0.403   0.284   0.599   0.889   0.885
    10.45    51.08    1959   0.911   0.809   0.617   0.465   0.277   0.195   0.005   0.221   0.002   0.073   0.746   0.797
    10.45    51.08    1960   0.873   0.889   0.765   0.489   0.576   0.387   0.041   0.150   0.230   0.698   0.921   0.927
    10.45    51.08    1961   0.939   0.876   0.630   0.768   0.862   0.749   0.085   0.110   0.048   0.017   0.305   0.769
    10.45    51.08    1962   0.897   0.896   0.911   0.671   0.491   0.118   0.206   0.021   0.116   0.006   0.043   0.377
    10.45    51.08    1963   0.521   0.531   0.803   0.701   0.387   0.256   0.300   0.487   0.268   0.480   0.676   0.833
    10.45    51.08    1964   0.833   0.840   0.734   0.680   0.661   0.311   0.075   0.058   0.021   0.146   0.379   0.541
    10.45    51.08    1965   0.735   0.816   0.862   0.619   0.581   0.571   0.481   0.384   0.300   0.078   0.292   0.829
    10.45    51.08    1966   0.903   0.930   0.748   0.679   0.379   0.224   0.812   0.647   0.700   0.555   0.917   0.916
    10.45    51.08    1967   0.918   0.809   0.731   0.595   0.272   0.508   0.296   0.183   0.522   0.610   0.679   0.775
    10.45    51.08    1968   0.911   0.882   0.837   0.496   0.545   0.263   0.090   0.059   0.173   0.684   0.769   0.746
    10.45    51.08    1969   0.768   0.793   0.894   0.822   0.753   0.739   0.313   0.226   0.684   0.511   0.615   0.702
    10.45    51.08    1970   0.733   0.933   0.897   0.811   0.669   0.282   0.154   0.590   0.556   0.642   0.914   0.912
    10.45    51.08    1971   0.883   0.798   0.698   0.530   0.358   0.371   0.085   0.048   0.030   0.199   0.545   0.869
    10.45    51.08    1972   0.802   0.800   0.773   0.602   0.589   0.648   0.582   0.871   0.629   0.480   0.723   0.850
    10.45    51.08    1973   0.811   0.871   0.811   0.608   0.451   0.097   0.057   0.020   0.239   0.569   0.906   0.912
    10.45    51.08    1974   0.876   0.828   0.805   0.417   0.442   0.473   0.675   0.393   0.315   0.557   0.886   0.920
    10.45    51.08    1975   0.891   0.822   0.763   0.727   0.566   0.394   0.348   0.121   0.226   0.197   0.376   0.520
    10.45    51.08    1976   0.842   0.855   0.676   0.480   0.188   0.383   0.022   0.033   0.025   0.320   0.464   0.630
    10.45    51.08    1977   0.656   0.728   0.788   0.685   0.406   0.364   0.700   0.857   0.828   0.817   0.918   0.916
    10.45    51.08    1978   0.863   0.808   0.722   0.514   0.504   0.190   0.219   0.261   0.412   0.790   0.737   0.800
    10.45    51.08    1979   0.864   0.889   0.912   0.796   0.537   0.273   0.420   0.300   0.179   0.210   0.630   0.873
    10.45    51.08    1980   0.877   0.820   0.662   0.626   0.440   0.208   0.380   0.057   0.134   0.315   0.535   0.791
    10.45    51.08    1981   0.894   0.899   0.833   0.567   0.803   0.737   0.347   0.627   0.538   0.919   0.902   0.943
    10.45    51.08    1982   0.919   0.866   0.668   0.452   0.379   0.088   0.098   0.045   0.001   0.406   0.498   0.561
    10.45    51.08    1983   0.605   0.656   0.645   0.849   0.715   0.571   0.109   0.283   0.150   0.072   0.031   0.273
    10.45    51.08    1984   0.498   0.806   0.731   0.780   0.725   0.757   0.565   0.679   0.791   0.903   0.903   0.910
    10.45    51.08    1985   0.916   0.878   0.750   0.570   0.265   0.254   0.203   0.155   0.143   0.001   0.077   0.497
