      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0171   0.0941   1.2265    1.3377
    10.45    51.08    1952   0.0189   0.0903   1.2301    1.3394
    10.45    51.08    1953   0.0193   0.0856   1.2341    1.3390
    10.45    51.08    1954   0.0219   0.0829   1.2347    1.3395
    10.45    51.08    1955   0.0266   0.0812   1.2363    1.3441
    10.45    51.08    1956   0.0298   0.0805   1.2392    1.3495
    10.45    51.08    1957   0.0327   0.0774   1.2410    1.3512
    10.45    51.08    1958   0.0353   0.0758   1.2430    1.3541
    10.45    51.08    1959   0.0372   0.0725   1.2446    1.3542
    10.45    51.08    1960   0.0382   0.0711   1.2472    1.3564
    10.45    51.08    1961   0.0382   0.0688   1.2498    1.3569
    10.45    51.08    1962   0.0396   0.0672   1.2502    1.3571
    10.45    51.08    1963   0.0394   0.0659   1.2519    1.3573
    10.45    51.08    1964   0.0397   0.0636   1.2526    1.3559
    10.45    51.08    1965   0.0397   0.0632   1.2539    1.3568
    10.45    51.08    1966   0.0400   0.0624   1.2552    1.3577
    10.45    51.08    1967   0.0422   0.0600   1.2547    1.3569
    10.45    51.08    1968   0.0437   0.0586   1.2544    1.3567
    10.45    51.08    1969   0.0452   0.0580   1.2552    1.3584
    10.45    51.08    1970   0.0453   0.0578   1.2557    1.3589
    10.45    51.08    1971   0.0465   0.0553   1.2554    1.3573
    10.45    51.08    1972   0.0456   0.0567   1.2576    1.3600
    10.45    51.08    1973   0.0462   0.0542   1.2567    1.3571
    10.45    51.08    1974   0.0462   0.0535   1.2574    1.3571
    10.45    51.08    1975   0.0474   0.0511   1.2561    1.3546
    10.45    51.08    1976   0.0475   0.0499   1.2554    1.3528
    10.45    51.08    1977   0.0469   0.0507   1.2571    1.3547
    10.45    51.08    1978   0.0458   0.0500   1.2571    1.3528
    10.45    51.08    1979   0.0478   0.0482   1.2553    1.3513
    10.45    51.08    1980   0.0488   0.0470   1.2543    1.3501
    10.45    51.08    1981   0.0499   0.0471   1.2545    1.3515
    10.45    51.08    1982   0.0514   0.0445   1.2524    1.3483
    10.45    51.08    1983   0.0502   0.0439   1.2528    1.3469
    10.45    51.08    1984   0.0515   0.0446   1.2535    1.3496
    10.45    51.08    1985   0.0518   0.0426   1.2518    1.3462
    10.45    51.08    1986   0.0523   0.0427   1.2505    1.3456
    10.45    51.08    1987   0.0529   0.0442   1.2513    1.3484
    10.45    51.08    1988   0.0537   0.0420   1.2499    1.3457
    10.45    51.08    1989   0.0556   0.0400   1.2482    1.3437
    10.45    51.08    1990   0.0564   0.0387   1.2477    1.3427
    10.45    51.08    1991   0.0583   0.0372   1.2461    1.3416
    10.45    51.08    1992   0.0588   0.0362   1.2449    1.3399
    10.45    51.08    1993   0.0592   0.0365   1.2448    1.3405
    10.45    51.08    1994   0.0611   0.0355   1.2429    1.3395
    10.45    51.08    1995   0.0000   0.0836   1.2599    1.3436
    10.45    51.08    1996   0.0075   0.0792   1.2584    1.3451
    10.45    51.08    1997   0.0144   0.0739   1.2563    1.3447
    10.45    51.08    1998   0.0203   0.0703   1.2594    1.3500
    10.45    51.08    1999   0.0167   0.0673   1.2643    1.3483
    10.45    51.08    2000   0.0206   0.0632   1.2634    1.3471
    10.45    51.08    2001   0.0231   0.0609   1.2627    1.3467
    10.45    51.08    2002   0.0287   0.0598   1.2634    1.3519
    10.45    51.08    2003   0.0328   0.0563   1.2630    1.3522
    10.45    51.08    2004   0.0357   0.0548   1.2638    1.3543
    10.45    51.08    2005   0.0383   0.0526   1.2642    1.3551
    10.45    51.08    2006   0.0400   0.0507   1.2646    1.3553
    10.45    51.08    2007   0.0414   0.0503   1.2657    1.3574
    10.45    51.08    2008   0.0439   0.0484   1.2649    1.3573
    10.45    51.08    2009   0.0443   0.0476   1.2655    1.3573
    10.45    51.08    2010   0.0446   0.0481   1.2667    1.3594
    10.45    51.08    2011   0.0455   0.0454   1.2654    1.3564
    10.45    51.08    2012   0.0469   0.0439   1.2649    1.3557
