      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    60.0    86.7     3.7   150.4
    10.45    51.08    1952   151.8   160.5    12.5   324.9
    10.45    51.08    1953    28.6    51.3     2.3    82.2
    10.45    51.08    1954    18.5    32.1     0.9    51.5
    10.45    51.08    1955    58.1    77.6     7.7   143.4
    10.45    51.08    1956   127.3   113.5     5.4   246.2
    10.45    51.08    1957    12.8    66.8     0.5    80.1
    10.45    51.08    1958    93.6    34.0     5.0   132.6
    10.45    51.08    1959     0.0     5.7     0.0     5.7
    10.45    51.08    1960    45.8     0.0     0.6    46.4
    10.45    51.08    1961    89.2    66.6     4.0   159.8
    10.45    51.08    1962     3.3     0.0     2.1     5.4
    10.45    51.08    1963     0.8     0.0     0.2     1.0
    10.45    51.08    1964    23.7     0.0     0.0    23.7
    10.45    51.08    1965    13.9     0.0     0.7    14.6
    10.45    51.08    1966    82.6     0.0     2.7    85.3
    10.45    51.08    1967     0.2    31.0     0.2    31.4
    10.45    51.08    1968    15.2     0.0     1.2    16.4
    10.45    51.08    1969    47.7     0.0     3.8    51.5
    10.45    51.08    1970    32.7     0.0     2.0    34.7
    10.45    51.08    1971     0.0     0.0     0.0     0.0
    10.45    51.08    1972    51.6     0.0     0.3    51.8
    10.45    51.08    1973     2.9     0.0     0.6     3.5
    10.45    51.08    1974    19.6     0.0     1.3    20.8
    10.45    51.08    1975     0.0     6.8     0.0     6.8
    10.45    51.08    1976     0.3     0.0     0.1     0.5
    10.45    51.08    1977    88.3     0.0     1.7    90.0
    10.45    51.08    1978     0.0    14.3     0.0    14.3
    10.45    51.08    1979    51.4    16.4     3.2    71.1
    10.45    51.08    1980     0.0     0.0     0.0     0.0
    10.45    51.08    1981    63.7     0.0     3.1    66.8
    10.45    51.08    1982    11.8     0.0     1.1    12.8
    10.45    51.08    1983    51.4     0.0     2.2    53.7
    10.45    51.08    1984    56.9     0.0     6.6    63.5
    10.45    51.08    1985     2.6     8.9     0.6    12.2
    10.45    51.08    1986    35.5     0.0     2.7    38.2
    10.45    51.08    1987   121.0    25.4     7.6   154.1
    10.45    51.08    1988    22.1    87.9     4.2   114.3
    10.45    51.08    1989     6.8     0.0     0.4     7.1
    10.45    51.08    1990     2.7     0.0     0.5     3.2
    10.45    51.08    1991     1.6     0.0     0.0     1.6
    10.45    51.08    1992    53.7     0.0     1.2    54.9
    10.45    51.08    1993    51.7     0.0     2.2    53.9
    10.45    51.08    1994    56.8    46.4     2.5   105.6
    10.45    51.08    1995    47.2   177.8    10.7   235.6
    10.45    51.08    1996    98.4   226.8    14.6   339.8
    10.45    51.08    1997    23.6   111.9     5.8   141.3
    10.45    51.08    1998    49.3   120.2     1.2   170.7
    10.45    51.08    1999     7.2    69.9     2.3    79.4
    10.45    51.08    2000    10.9    96.1     2.3   109.2
    10.45    51.08    2001    22.7    46.7     5.1    74.5
    10.45    51.08    2002   130.9   158.1     4.8   293.8
    10.45    51.08    2003     6.9    38.3     0.7    45.9
    10.45    51.08    2004    55.7     0.0     0.9    56.6
    10.45    51.08    2005     2.3     0.0     0.7     3.0
    10.45    51.08    2006     3.4     0.0     0.1     3.5
    10.45    51.08    2007   106.3     0.0     0.2   106.5
    10.45    51.08    2008     8.6     2.2     0.6    11.4
    10.45    51.08    2009    36.2     0.0     1.4    37.6
    10.45    51.08    2010   112.4     0.0     3.6   116.0
    10.45    51.08    2011    63.5    20.9     1.0    85.5
    10.45    51.08    2012     3.9     0.0     0.1     4.0
