      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.401   0.040   0.324   0.005   0.000  -0.03240
    10.45    51.08    1952  -0.414   0.041   0.338   0.023   0.000  -0.01202
    10.45    51.08    1953  -0.435   0.044   0.374   0.004   0.000  -0.01367
    10.45    51.08    1954  -0.370   0.037   0.306   0.004   0.000  -0.02332
    10.45    51.08    1955  -0.358   0.036   0.284   0.004   0.000  -0.03359
    10.45    51.08    1956  -0.381   0.038   0.275   0.004   0.000  -0.06411
    10.45    51.08    1957  -0.402   0.040   0.317   0.004   0.000  -0.04163
    10.45    51.08    1958   0.000  -0.000   0.649   0.015   0.000   0.66345
    10.45    51.08    1959   0.000  -0.000   0.655   0.014  -0.551   0.11828
    10.45    51.08    1960   0.000  -0.000   0.739   0.014   0.000   0.75278
    10.45    51.08    1961   0.000  -0.000   0.568   0.013  -0.468   0.11317
    10.45    51.08    1962  -0.444   0.044   0.562   0.120  -0.005   0.27691
    10.45    51.08    1963  -0.505   0.051   0.665   0.071   0.000   0.28087
    10.45    51.08    1964  -0.588   0.059   0.740   0.099   0.000   0.31029
    10.45    51.08    1965  -0.625   0.064   0.560   0.011   0.000   0.00982
    10.45    51.08    1966  -0.730   0.073   0.567   0.011   0.000  -0.07943
    10.45    51.08    1967  -0.731   0.073   0.629   0.024   0.000  -0.00535
    10.45    51.08    1968  -0.710   0.071   0.626   0.074   0.000   0.06015
    10.45    51.08    1969  -0.673   0.067   0.578   0.054   0.000   0.02717
    10.45    51.08    1970  -0.659   0.066   0.586   0.060   0.000   0.05262
    10.45    51.08    1971  -0.548   0.055   0.704   0.080   0.000   0.29044
    10.45    51.08    1972  -0.674   0.067   0.520   0.009   0.000  -0.07813
    10.45    51.08    1973  -0.479   0.048   0.670   0.075   0.000   0.31460
    10.45    51.08    1974  -0.697   0.070   0.596   0.028   0.000  -0.00326
    10.45    51.08    1975  -0.621   0.062   0.684   0.068   0.000   0.19375
    10.45    51.08    1976  -0.371   0.037   0.657   0.073   0.000   0.39658
    10.45    51.08    1977  -0.642   0.064   0.475   0.031   0.000  -0.07183
    10.45    51.08    1978  -0.646   0.065   0.562   0.059   0.000   0.03915
    10.45    51.08    1979  -0.612   0.061   0.567   0.059   0.000   0.07437
    10.45    51.08    1980  -0.546   0.055   0.549   0.062   0.000   0.11916
    10.45    51.08    1981  -0.672   0.067   0.496   0.015   0.000  -0.09388
    10.45    51.08    1982  -0.362   0.036   0.661   0.065   0.000   0.40089
    10.45    51.08    1983  -0.570   0.057   0.586   0.063   0.000   0.13536
    10.45    51.08    1984  -0.571   0.057   0.416   0.007   0.000  -0.09133
    10.45    51.08    1985  -0.598   0.060   0.565   0.079   0.000   0.10588
    10.45    51.08    1986  -0.650   0.065   0.499   0.044   0.000  -0.04213
    10.45    51.08    1987  -0.654   0.065   0.397   0.006   0.000  -0.18543
    10.45    51.08    1988  -0.537   0.054   0.579   0.063   0.000   0.15832
    10.45    51.08    1989  -0.499   0.050   0.578   0.051   0.000   0.18008
    10.45    51.08    1990  -0.632   0.063   0.546   0.048   0.000   0.02528
    10.45    51.08    1991  -0.446   0.045   0.525   0.057   0.000   0.17991
    10.45    51.08    1992  -0.527   0.053   0.539   0.045   0.000   0.10930
    10.45    51.08    1993  -0.682   0.068   0.419   0.023   0.000  -0.17126
    10.45    51.08    1994  -0.684   0.068   0.498   0.008   0.000  -0.10887
    10.45    51.08    1995  -0.665   0.066   0.437   0.005   0.000  -0.15616
    10.45    51.08    1996  -0.620   0.062   0.360   0.005   0.000  -0.19278
    10.45    51.08    1997  -0.660   0.066   0.502   0.041   0.000  -0.05017
    10.45    51.08    1998  -0.613   0.061   0.491   0.031   0.000  -0.02891
    10.45    51.08    1999  -0.697   0.070   0.505   0.028   0.000  -0.09489
    10.45    51.08    2000  -0.617   0.062   0.518   0.038   0.000   0.00101
    10.45    51.08    2001  -0.633   0.063   0.461   0.026   0.000  -0.08254
    10.45    51.08    2002  -0.628   0.063   0.402   0.004   0.000  -0.15921
    10.45    51.08    2003  -0.520   0.052   0.542   0.036   0.000   0.10997
    10.45    51.08    2004  -0.599   0.060   0.455   0.036   0.000  -0.04907
    10.45    51.08    2005  -0.651   0.065   0.494   0.035   0.000  -0.05795
    10.45    51.08    2006  -0.650   0.065   0.484   0.026   0.000  -0.07485
    10.45    51.08    2007  -0.706   0.071   0.395   0.012   0.000  -0.22837
    10.45    51.08    2008  -0.578   0.058   0.468   0.032   0.000  -0.01960
    10.45    51.08    2009  -0.641   0.064   0.447   0.018   0.000  -0.11122
    10.45    51.08    2010  -0.651   0.065   0.375   0.016   0.000  -0.19522
    10.45    51.08    2011  -0.683   0.068   0.468   0.031   0.000  -0.11586
    10.45    51.08    2012  -0.651   0.065   0.450   0.032   0.000  -0.10334
