      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951  11.841   5.193  12.034    29.067
    10.45    51.08    1952  11.889   5.168  12.023    29.079
    10.45    51.08    1953  12.080   5.011  12.002    29.093
    10.45    51.08    1954  12.212   4.909  11.995    29.116
    10.45    51.08    1955  12.335   4.821  11.995    29.150
    10.45    51.08    1956  12.481   4.737  11.996    29.214
    10.45    51.08    1957   0.000  17.269  11.987    29.256
    10.45    51.08    1958   0.000  16.467  12.125    28.592
    10.45    51.08    1959   0.000  16.280  12.194    28.474
    10.45    51.08    1960   0.000  15.366  12.355    27.721
    10.45    51.08    1961   0.467  14.747  12.394    27.608
    10.45    51.08    1962   0.574  14.333  12.424    27.331
    10.45    51.08    1963   0.740  13.785  12.525    27.050
    10.45    51.08    1964   1.011  13.116  12.613    26.740
    10.45    51.08    1965   1.316  12.738  12.677    26.730
    10.45    51.08    1966   1.713  12.364  12.733    26.810
    10.45    51.08    1967   2.062  11.973  12.781    26.815
    10.45    51.08    1968   2.354  11.566  12.835    26.755
    10.45    51.08    1969   2.583  11.251  12.894    26.728
    10.45    51.08    1970   2.737  10.983  12.955    26.675
    10.45    51.08    1971   2.765  10.613  13.007    26.385
    10.45    51.08    1972   2.930  10.466  13.067    26.463
    10.45    51.08    1973   2.940  10.093  13.115    26.148
    10.45    51.08    1974   3.078   9.918  13.155    26.151
    10.45    51.08    1975   3.170   9.605  13.183    25.958
    10.45    51.08    1976   3.110   9.246  13.204    25.561
    10.45    51.08    1977   3.338   9.054  13.240    25.633
    10.45    51.08    1978   3.576   8.753  13.264    25.594
    10.45    51.08    1979   3.690   8.556  13.274    25.519
    10.45    51.08    1980   3.784   8.327  13.289    25.400
    10.45    51.08    1981   3.924   8.262  13.308    25.494
    10.45    51.08    1982   3.870   7.923  13.300    25.093
    10.45    51.08    1983   3.967   7.697  13.294    24.958
    10.45    51.08    1984   4.122   7.611  13.316    25.049
    10.45    51.08    1985   4.205   7.427  13.311    24.943
    10.45    51.08    1986   4.422   7.254  13.309    24.985
    10.45    51.08    1987   4.648   7.197  13.326    25.171
    10.45    51.08    1988   4.694   7.009  13.309    25.013
    10.45    51.08    1989   4.782   6.763  13.287    24.832
    10.45    51.08    1990   5.016   6.524  13.267    24.807
    10.45    51.08    1991   4.859   6.522  13.247    24.627
    10.45    51.08    1992   4.964   6.326  13.228    24.518
    10.45    51.08    1993   5.032   6.431  13.226    24.689
    10.45    51.08    1994   5.314   6.272  13.212    24.798
    10.45    51.08    1995   5.603   6.148  13.203    24.954
    10.45    51.08    1996   5.848   6.086  13.212    25.147
    10.45    51.08    1997   6.107   5.891  13.199    25.197
    10.45    51.08    1998   6.312   5.734  13.179    25.226
    10.45    51.08    1999   6.641   5.524  13.156    25.321
    10.45    51.08    2000   6.864   5.333  13.124    25.320
    10.45    51.08    2001   7.037   5.260  13.105    25.403
    10.45    51.08    2002   7.224   5.234  13.104    25.562
    10.45    51.08    2003   7.354   5.032  13.066    25.452
    10.45    51.08    2004   7.459   5.000  13.042    25.501
    10.45    51.08    2005   7.762   4.789  13.008    25.559
    10.45    51.08    2006   7.983   4.682  12.968    25.634
    10.45    51.08    2007   8.336   4.573  12.953    25.862
    10.45    51.08    2008   7.838   5.126  12.918    25.882
    10.45    51.08    2009   8.098   4.986  12.909    25.993
    10.45    51.08    2010   8.317   4.966  12.905    26.188
    10.45    51.08    2011   8.644   4.781  12.879    26.304
    10.45    51.08    2012   8.959   4.598  12.850    26.407
