      Lon      Lat    Year  FireRT
    10.45    51.08    1951  1000.0
    10.45    51.08    1952   193.7
    10.45    51.08    1953  1000.0
    10.45    51.08    1954  1000.0
    10.45    51.08    1955  1000.0
    10.45    51.08    1956  1000.0
    10.45    51.08    1957  1000.0
    10.45    51.08    1958  1000.0
    10.45    51.08    1959  1000.0
    10.45    51.08    1960  1000.0
    10.45    51.08    1961  1000.0
    10.45    51.08    1962   106.1
    10.45    51.08    1963   172.4
    10.45    51.08    1964   117.8
    10.45    51.08    1965  1000.0
    10.45    51.08    1966  1000.0
    10.45    51.08    1967   435.9
    10.45    51.08    1968   139.2
    10.45    51.08    1969   183.0
    10.45    51.08    1970   159.7
    10.45    51.08    1971   116.2
    10.45    51.08    1972  1000.0
    10.45    51.08    1973   117.4
    10.45    51.08    1974   305.7
    10.45    51.08    1975   122.7
    10.45    51.08    1976   111.6
    10.45    51.08    1977   259.4
    10.45    51.08    1978   129.9
    10.45    51.08    1979   126.7
    10.45    51.08    1980   118.1
    10.45    51.08    1981   490.3
    10.45    51.08    1982   106.7
    10.45    51.08    1983   107.0
    10.45    51.08    1984  1000.0
    10.45    51.08    1985    80.9
    10.45    51.08    1986   143.2
    10.45    51.08    1987  1000.0
    10.45    51.08    1988    95.6
    10.45    51.08    1989   115.2
    10.45    51.08    1990   118.1
    10.45    51.08    1991    97.1
    10.45    51.08    1992   122.0
    10.45    51.08    1993   231.3
    10.45    51.08    1994   642.3
    10.45    51.08    1995  1000.0
    10.45    51.08    1996  1000.0
    10.45    51.08    1997   124.0
    10.45    51.08    1998   158.6
    10.45    51.08    1999   173.6
    10.45    51.08    2000   120.1
    10.45    51.08    2001   171.2
    10.45    51.08    2002  1000.0
    10.45    51.08    2003   119.0
    10.45    51.08    2004   118.3
    10.45    51.08    2005   119.9
    10.45    51.08    2006   154.1
    10.45    51.08    2007   318.3
    10.45    51.08    2008   118.1
    10.45    51.08    2009   235.2
    10.45    51.08    2010   262.4
    10.45    51.08    2011   134.3
    10.45    51.08    2012   123.0
