      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   1.041  13.079  29.680  36.820  42.729  33.423  22.796   9.885   1.706   0.000
    10.45    51.08    1952   0.000   0.000   0.229  17.201  32.774  40.717  46.043  35.584  13.307   6.377   0.597   0.000
    10.45    51.08    1953   0.000   0.045   4.287  25.968  37.995  31.937  40.113  35.423  22.860   9.992   0.615   0.000
    10.45    51.08    1954   0.000   0.000   0.918   9.555  35.796  39.386  27.713  30.418  19.490   9.398   2.085   0.000
    10.45    51.08    1955   0.000   0.000   0.854  11.074  31.760  35.365  31.276  27.178  19.643   8.812   1.533   0.000
    10.45    51.08    1956   0.000   0.000   0.456   7.487  35.353  27.909  34.168  29.213  20.755   8.450   0.910   0.000
    10.45    51.08    1957   0.000   0.006   6.600  19.533  29.742  44.667  35.742  30.663  16.559   8.553   0.125   0.000
    10.45    51.08    1958   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1959   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1960   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1961   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1962   0.236   0.411   1.797  27.174  45.494  52.553  61.350  47.417  28.937  13.654   1.697   0.001
    10.45    51.08    1963   0.001   0.002   2.743  24.947  64.311  62.058  77.932  56.465  37.373  12.038   3.212   0.138
    10.45    51.08    1964   0.003   0.032   0.624  23.496  70.910  83.874  75.081  57.257  37.986  12.249   0.795   0.248
    10.45    51.08    1965   0.206   0.050   1.843  19.358  49.900  64.869  59.912  60.793  33.541  15.917   1.231   0.066
    10.45    51.08    1966   0.048   2.868   6.492  24.954  64.890  71.024  52.872  52.656  32.301  15.659   0.298   0.018
    10.45    51.08    1967   0.045   2.056  11.840  23.201  69.949  65.735  96.082  59.470  32.028  19.200   2.750   0.016
    10.45    51.08    1968   0.014   0.143   6.653  39.280  59.633  82.049  84.522  62.600  34.233  14.653   2.137   0.005
    10.45    51.08    1969   0.022   0.027   0.039  14.290  69.213  85.048 102.498  53.618  47.185  20.943   4.772   0.002
    10.45    51.08    1970   0.006   0.022   1.018  12.882  59.530 101.807  92.219  64.078  53.677  12.397   3.623   0.119
    10.45    51.08    1971   0.018   0.126   2.144  29.689  77.449  70.891  97.949  58.735  22.541  14.732   3.690   0.016
    10.45    51.08    1972   0.011   0.029   7.238  27.754  64.170  91.368  81.939  64.488  38.653  17.697   3.588   0.012
    10.45    51.08    1973   0.004   0.015   2.942  13.098  75.880  90.684  66.391  22.484  40.269  17.050   2.702   0.004
    10.45    51.08    1974   0.097   1.017  12.272  44.920  63.820  77.662  77.881  75.534  51.429   8.860   0.017   0.038
