      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   5.977  12.664  22.289  20.532   9.636  49.179  25.708  31.762  14.504   5.361   6.655   6.210
    10.45    51.08    1952   4.381   3.348  27.372  34.213  33.282  18.909   6.914   3.180  20.108  15.362   7.786   3.940
    10.45    51.08    1953   0.148   5.320  23.466  11.475  10.309  24.003  31.113  15.626   4.684   3.417   4.661   3.008
    10.45    51.08    1954   4.459   9.927  20.496  26.174  15.470  11.868  30.139  28.586  14.386  11.955   4.936   4.953
    10.45    51.08    1955   0.731   6.070  10.409  30.456  15.717  17.379  31.450  35.868  15.654   6.875   5.264   5.589
    10.45    51.08    1956   6.469   0.000  21.981  29.627  25.100  35.186  47.838  26.660  11.850   7.717   5.012   4.017
    10.45    51.08    1957   6.902  12.426  20.994  16.139  15.254  22.726  28.940  25.007  12.101  13.797   9.238   4.882
    10.45    51.08    1958   7.597  11.388   9.009  30.805  50.219  55.081  58.178  49.061  23.508  19.463   8.878   5.701
    10.45    51.08    1959   7.467   9.450  13.735  18.094  26.048  34.899  17.563  26.780  13.650   5.141   7.074   4.943
    10.45    51.08    1960   5.024  11.294  17.971  21.084  47.437  37.911  27.407  39.835  33.513  23.314   9.964   2.003
    10.45    51.08    1961   1.398  14.922  14.572  24.194  32.205  39.452  19.443  23.018  15.066   5.390   3.649   4.597
    10.45    51.08    1962   6.755  11.302   8.848  18.523   2.119   0.360   0.907   0.079   0.387   0.036   0.042   1.059
    10.45    51.08    1963   0.000   0.000  18.649  17.359   1.726   0.816   1.634   1.979   0.711   0.791   1.069   3.800
    10.45    51.08    1964   3.558  12.177  14.562  18.439   6.892   2.444   0.416   0.376   0.031   0.102   1.538   1.727
    10.45    51.08    1965   4.514   0.000  13.357  18.616  13.189   9.875   5.330   4.379   2.263   0.764   0.587   4.952
    10.45    51.08    1966   4.143   9.107  15.864  18.042   6.241   5.450  17.492  10.391   7.061   2.455   7.025   5.386
    10.45    51.08    1967   6.191  10.387  17.937  14.654   5.097   4.159   2.711   1.090   2.222   1.578   2.476   4.166
    10.45    51.08    1968   4.316  11.049  23.533   8.800   0.076   0.000   0.000   0.000   0.000   0.000   4.973   3.480
    10.45    51.08    1969   5.572   3.199   0.000  27.000   8.492   0.000   0.000   0.000   0.000   0.000   0.234   1.382
    10.45    51.08    1970   0.000   2.393  13.169  30.041   7.124   0.000   0.000   0.000   0.000   0.000   0.000   4.602
    10.45    51.08    1971   3.328   8.951  13.588  11.232   2.705   0.000   0.000   0.000   0.000   0.000   1.786   5.198
    10.45    51.08    1972   3.572   7.598  24.215  11.677   1.144   0.000   0.000   0.000   0.000   0.000   2.046   5.048
    10.45    51.08    1973   5.126   9.499  21.740  15.993   5.425   0.000   0.000   0.000   0.000   0.000   3.509   5.343
