      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.091   0.425   2.009   8.480   2.533   4.735   2.224   0.529   0.928   0.000
    10.45    51.08    1952   0.000   0.000   0.148   1.365   4.255   2.296   1.127   2.110   5.293   3.509   1.701   0.000
    10.45    51.08    1953   0.000   0.000   0.033   0.729   2.626   5.759   3.105   2.584   1.223   1.250   0.000   0.000
    10.45    51.08    1954   0.000   0.000   0.026   0.705   1.334   2.725   6.488   4.297   2.604   2.205   0.688   0.000
    10.45    51.08    1955   0.000   0.000   0.016   0.540   2.113   3.502   5.240   3.323   2.569   1.112   0.143   0.000
    10.45    51.08    1956   0.000   0.000   0.000   0.971   1.811   6.967   8.344   4.372   1.244   2.499   0.861   0.000
    10.45    51.08    1957   0.000   0.003   0.534   0.769   2.799   3.609   5.056   2.552   3.368   0.890   0.000   0.000
    10.45    51.08    1958   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1959   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1960   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1961   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1962   0.129   0.124   0.160   0.491   1.740   0.314   2.197   0.776   1.191   0.243   0.143   0.052
    10.45    51.08    1963   0.091   0.065   0.282   0.617   1.127   3.606   1.290   4.083   1.440   1.038   1.679   0.038
    10.45    51.08    1964   0.054   0.184   0.227   1.263   3.219   1.891   1.984   2.438   1.198   1.132   0.194   0.095
    10.45    51.08    1965   0.222   0.263   0.262   1.371   1.570   5.634   3.691   2.543   2.528   0.492   1.049   0.205
    10.45    51.08    1966   0.199   0.322   0.755   2.641   3.820   6.692   7.010   5.765   1.382   3.230   0.536   0.247
    10.45    51.08    1967   0.195   0.292   1.271   1.023   4.336   7.901   3.840   5.561   5.398   2.673   0.676   0.212
    10.45    51.08    1968   0.209   0.358   0.440   4.198   3.568   6.148   3.823   5.511   5.585   3.724   0.996   0.132
    10.45    51.08    1969   0.146   0.315   0.348   1.884   7.418  10.213   1.010   8.385   3.849   1.472   1.831   0.095
    10.45    51.08    1970   0.093   0.336   0.259   1.145   6.453   5.029   4.184  12.333   1.944   5.664   2.844   0.312
    10.45    51.08    1971   0.080   0.193   0.211   2.037   3.752   7.244   1.247   3.859   2.697   2.616   1.540   0.105
    10.45    51.08    1972   0.046   0.015   0.296   1.317   5.788   7.196   9.967   9.203   2.280   1.848   1.193   0.014
    10.45    51.08    1973   0.074   0.154   0.073   0.570   3.052   4.085   5.214   2.806   4.987   4.012   1.111   0.075
    10.45    51.08    1974   0.059   0.297   0.507   0.901   4.788   7.499   5.550   4.710   2.237   5.127   0.054   0.151
    10.45    51.08    1975   0.031   0.062   0.301   0.735   3.771   6.769   2.429   3.744   2.826   2.822   0.355   0.026
    10.45    51.08    1976   0.107   0.021   0.051   0.612   2.895   5.095   2.314   2.811   3.274   1.901   1.469   0.030
    10.45    51.08    1977   0.039   0.066   0.938   0.779   2.082   7.256   4.953   8.669   2.406   2.592   2.060   0.037
    10.45    51.08    1978   0.018   0.025   0.163   0.422   4.260   1.832   4.143   4.828   4.867   1.962   0.006   0.052
    10.45    51.08    1979   0.058   0.031   0.145   0.628   2.307   5.259   4.706   1.739   3.853   0.561   2.299   0.043
    10.45    51.08    1980   0.055   0.022   0.038   1.027   1.669   4.605   4.092   1.332   3.578   2.126   0.365   0.086
    10.45    51.08    1981   0.220   0.013   0.611   1.947   5.802   3.815   2.229   6.094   2.696   2.809   0.023   0.023
    10.45    51.08    1982   0.010   0.001   0.017   0.458   1.653   2.926   3.996   1.156   0.732   3.138   0.841   0.008
    10.45    51.08    1983   0.009   0.012   0.277   2.864   6.316   1.574   1.779   3.517   3.237   0.267   0.128   0.005
    10.45    51.08    1984   0.006   0.007   0.000   0.182   6.912   3.096   4.119   4.796   3.723   3.785   0.167   0.003
    10.45    51.08    1985   0.004   0.001   0.021   0.471   2.414   4.342   3.028   3.098   1.362   0.221   0.631   0.028
    10.45    51.08    1986   0.032   0.001   0.035   0.520   5.343   3.061   2.979   3.867   3.571   1.644   0.358   0.002
    10.45    51.08    1987   0.001   0.001   0.009   0.194   4.258   9.249   4.923   4.673   5.976   1.389   1.946   0.000
    10.45    51.08    1988   0.000   0.001   0.059   0.381   1.573   5.120   4.499   1.314   1.796   1.084   1.386   0.000
    10.45    51.08    1989   0.001   0.004   0.240   1.956   2.029   3.609   3.047   1.559   2.760   1.847   1.814   0.000
    10.45    51.08    1990   0.000   0.293   0.718   2.402   0.818   5.872   1.355   2.495   3.200   0.561   0.000   0.000
    10.45    51.08    1991   0.000   0.000   0.330   0.599   1.988   4.083   1.276   5.307   1.131   0.966   0.240   0.000
    10.45    51.08    1992   0.000   0.004   0.610   0.315   1.292   4.475   4.837   1.806   2.131   2.761   0.196   0.000
    10.45    51.08    1993   0.018   0.028   0.116   0.417   4.950   3.615   6.007   2.363   2.867   2.503   0.113   0.000
    10.45    51.08    1994   0.000   0.002   0.413   1.970   5.327   2.565   4.651   5.161   2.534   1.492   0.511   0.000
    10.45    51.08    1995   0.000   0.045   0.136   1.276   4.821   5.038   7.032   2.370   5.316   0.742   0.673   0.000
    10.45    51.08    1996   0.000   0.000   0.008   0.693   4.968   4.163   5.293   6.979   1.940   2.937   2.034   0.000
    10.45    51.08    1997   0.000   0.087   0.949   0.953   2.913   1.889   9.431   2.837   0.774   3.175   0.230   0.000
    10.45    51.08    1998   0.000   0.111   0.649   2.481   2.887   3.814   5.123   1.960   5.386   4.378   0.000   0.000
    10.45    51.08    1999   0.003   0.023   0.327   0.942   4.006   4.867   5.437   3.440   1.657   0.930   0.865   0.000
    10.45    51.08    2000   0.000   0.095   0.775   1.375   1.807   2.678   4.090   4.234   4.405   2.157   0.382   0.000
    10.45    51.08    2001   0.000   0.011   1.084   1.262   2.556   5.668   5.653   1.250   4.048   2.108   1.237   0.000
    10.45    51.08    2002   0.004   0.758   1.621   1.735   5.301   5.449   6.181   5.104   3.017   2.628   0.000   0.000
    10.45    51.08    2003   0.000   0.000   0.037   0.408   3.719   5.689   2.651   1.402   3.379   2.206   0.124   0.000
