      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.134   0.885   2.750   3.081   3.081   3.081   3.081   3.081   2.054   0.000
    10.45    51.08    1952   0.000   0.000   0.047   1.479   3.071   3.071   3.071   3.071   3.071   3.071   1.228   0.000
    10.45    51.08    1953   0.000   0.005   0.263   2.028   3.067   3.067   3.067   3.067   3.067   3.067   0.409   0.000
    10.45    51.08    1954   0.000   0.000   0.066   0.744   2.506   3.083   3.083   3.083   3.083   3.083   2.466   0.000
    10.45    51.08    1955   0.000   0.000   0.075   0.802   2.820   3.048   3.048   3.048   3.048   3.048   1.931   0.000
    10.45    51.08    1956   0.000   0.000   0.030   0.618   2.444   3.007   3.007   3.007   3.007   3.007   1.905   0.000
    10.45    51.08    1957   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1958   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1959   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1960   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1961   0.057   0.112   0.674   1.366   1.485   1.485   1.485   1.485   1.485   1.476   0.930   0.308
    10.45    51.08    1962   0.480   0.266   0.278   1.333   3.292   2.840   3.380   3.031   2.930   3.380   1.742   0.104
    10.45    51.08    1963   0.155   0.155   0.266   1.517   3.234   3.227   3.232   3.301   3.370   3.370   3.086   0.641
    10.45    51.08    1964   0.223   0.223   0.242   1.147   3.113   3.072   3.159   3.240   3.238   3.280   1.076   0.691
    10.45    51.08    1965   0.344   0.278   0.306   0.912   2.257   2.967   2.967   2.967   2.967   2.967   1.533   0.278
    10.45    51.08    1966   0.337   0.539   1.009   1.883   3.692   3.752   3.752   3.752   3.752   3.752   0.942   0.322
    10.45    51.08    1967   0.334   0.503   0.976   1.633   3.809   4.536   4.536   4.536   4.536   4.536   2.689   0.334
    10.45    51.08    1968   0.337   0.345   0.535   2.653   5.081   5.104   5.104   5.104   5.104   5.104   2.022   0.337
    10.45    51.08    1969   0.312   0.312   0.312   1.115   4.515   5.477   5.477   5.477   5.477   5.477   5.133   0.312
    10.45    51.08    1970   0.272   0.272   0.305   0.879   4.164   5.663   5.663   5.663   5.663   5.663   5.663   0.550
    10.45    51.08    1971   0.235   0.243   0.365   1.657   4.774   5.658   5.658   5.658   5.658   5.658   4.032   0.235
    10.45    51.08    1972   0.203   0.190   0.483   2.036   4.671   5.330   5.330   5.330   5.330   5.330   3.274   0.190
    10.45    51.08    1973   0.162   0.162   0.261   0.888   3.894   5.431   5.431   5.431   5.431   5.431   2.972   0.162
    10.45    51.08    1974   0.156   0.421   0.913   3.043   4.789   5.065   5.065   5.065   5.065   5.065   0.133   0.163
    10.45    51.08    1975   0.115   0.127   0.414   1.109   4.312   5.141   5.141   5.141   5.141   5.141   2.293   0.115
    10.45    51.08    1976   0.089   0.089   0.138   1.561   4.308   5.052   5.052   5.052   5.052   5.052   3.398   0.089
    10.45    51.08    1977   0.068   0.095   0.962   1.959   4.158   4.543   4.543   4.543   4.543   4.543   1.530   0.068
    10.45    51.08    1978   0.056   0.064   0.462   1.578   3.938   4.786   4.786   4.786   4.786   4.786   2.264   0.061
    10.45    51.08    1979   0.111   0.047   0.076   0.823   3.152   4.962   4.962   4.962   4.962   4.962   2.177   0.108
    10.45    51.08    1980   0.168   0.048   0.109   0.954   2.976   4.919   4.919   4.919   4.919   4.919   1.179   0.253
    10.45    51.08    1981   0.316   0.044   0.831   3.416   4.658   4.791   4.791   4.791   4.791   4.791   0.121   0.030
    10.45    51.08    1982   0.026   0.026   0.072   1.157   3.455   4.867   4.867   4.867   4.867   4.867   4.582   0.026
    10.45    51.08    1983   0.020   0.072   0.456   1.614   4.198   4.383   4.383   4.383   4.383   4.383   1.968   0.020
    10.45    51.08    1984   0.014   0.014   0.026   0.581   3.110   4.368   4.368   4.368   4.368   4.368   2.917   0.014
    10.45    51.08    1985   0.025   0.016   0.049   1.580   3.702   4.427   4.427   4.427   4.427   4.427   1.630   0.043
    10.45    51.08    1986   0.084   0.007   0.057   0.543   3.779   4.365   4.365   4.365   4.365   4.365   3.871   0.007
    10.45    51.08    1987   0.000   0.000   0.021   1.119   4.072   4.502   4.502   4.502   4.502   4.502   3.302   0.000
    10.45    51.08    1988   0.000   0.001   0.059   1.072   4.170   4.683   4.683   4.683   4.683   4.683   3.278   0.000
    10.45    51.08    1989   0.003   0.022   0.510   2.259   4.242   4.472   4.472   4.472   4.472   4.472   1.319   0.000
    10.45    51.08    1990   0.000   0.267   1.702   3.236   4.326   4.333   4.333   4.333   4.333   2.967   0.000   0.000
    10.45    51.08    1991   0.000   0.001   0.794   2.655   4.073   4.443   4.443   4.443   4.443   4.443   0.867   0.000
    10.45    51.08    1992   0.000   0.021   0.377   1.114   3.559   4.046   4.046   4.046   4.046   4.046   0.405   0.000
    10.45    51.08    1993   0.014   0.143   0.653   2.067   4.018   4.018   4.018   4.018   4.018   4.018   0.696   0.000
    10.45    51.08    1994   0.000   0.008   0.574   1.753   4.015   4.081   4.081   4.081   4.081   4.081   1.314   0.000
    10.45    51.08    1995   0.000   0.070   0.470   1.633   4.081   4.282   4.282   4.282   4.282   4.282   1.805   0.000
    10.45    51.08    1996   0.000   0.000   0.019   0.930   3.984   4.438   4.438   4.438   4.438   4.438   3.403   0.000
    10.45    51.08    1997   0.000   0.075   0.966   1.799   4.039   4.488   4.488   4.488   4.488   4.488   1.346   0.000
    10.45    51.08    1998   0.000   0.286   1.341   3.238   4.551   4.551   4.551   4.551   4.551   3.682   0.000   0.000
    10.45    51.08    1999   0.004   0.075   0.514   2.225   4.401   4.519   4.519   4.519   4.519   4.519   1.296   0.000
    10.45    51.08    2000   0.000   0.106   0.685   2.156   4.644   4.644   4.644   4.644   4.644   4.644   1.180   0.000
    10.45    51.08    2001   0.000   0.077   0.623   1.922   4.330   4.607   4.607   4.607   4.607   4.607   1.732   0.000
    10.45    51.08    2002   0.009   0.890   1.841   3.039   4.519   4.547   4.547   4.547   4.547   2.885   0.000   0.000
    10.45    51.08    2003   0.000   0.000   0.241   1.622   4.420   4.502   4.502   4.502   4.502   4.502   0.600   0.000
    10.45    51.08    2004   0.000   0.345   1.067   2.649   4.320   4.320   4.320   4.320   4.320   4.022   0.000   0.000
    10.45    51.08    2005   0.000   0.000   0.297   2.149   4.186   4.216   4.216   4.216   4.216   4.216   1.288   0.000
    10.45    51.08    2006   0.000   0.000   0.065   1.416   4.008   4.266   4.266   4.266   4.266   4.266   2.560   0.000
    10.45    51.08    2007   0.000   0.006   0.287   2.223   4.281   4.283   4.283   4.283   4.283   4.283   1.228   0.000
    10.45    51.08    2008   0.019   0.300   1.031   1.913   4.159   4.385   4.385   4.385   4.385   4.385   0.837   0.000
    10.45    51.08    2009   0.000   0.000   0.062   2.086   3.946   3.946   3.946   3.946   3.946   3.946   1.315   0.000
    10.45    51.08    2010   0.000   0.000   0.318   2.028   3.944   4.004   4.004   4.004   4.004   4.004   1.197   0.000
    10.45    51.08    2011   0.001   0.088   0.541   2.824   4.025   4.025   4.025   4.025   4.025   4.003   0.132   0.000
    10.45    51.08    2012   0.000   0.001   0.560   2.060   4.100   4.114   4.114   4.114   4.114   4.114   0.981   0.000
