      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.023  -0.019  -0.019  -0.011   0.047   0.073   0.044   0.023   0.003  -0.000  -0.022  -0.020
    10.45    51.08    1952  -0.017  -0.010  -0.022  -0.001   0.072   0.064   0.009  -0.008   0.016  -0.000  -0.015  -0.010
    10.45    51.08    1953  -0.010  -0.013  -0.023   0.031   0.039   0.032   0.034   0.025   0.011  -0.011  -0.027  -0.024
    10.45    51.08    1954  -0.009  -0.005  -0.027  -0.012   0.058   0.035   0.041   0.028   0.001  -0.002  -0.020  -0.023
    10.45    51.08    1955  -0.009  -0.010  -0.012  -0.012   0.054   0.054   0.019   0.018   0.009  -0.004  -0.016  -0.018
    10.45    51.08    1956  -0.019  -0.001  -0.018  -0.015   0.056   0.046   0.044   0.043   0.018  -0.010  -0.017  -0.021
    10.45    51.08    1957  -0.013  -0.026  -0.021   0.020   0.059   0.053   0.003   0.037   0.014   0.001  -0.027  -0.013
    10.45    51.08    1958  -0.010  -0.015  -0.004  -0.022  -0.078  -0.090  -0.113  -0.116  -0.106  -0.058  -0.023  -0.015
    10.45    51.08    1959  -0.010  -0.003  -0.027  -0.045  -0.065  -0.080  -0.150  -0.110  -0.088  -0.055  -0.016  -0.008
    10.45    51.08    1960  -0.014  -0.006  -0.026  -0.057  -0.085  -0.141  -0.132  -0.113  -0.082  -0.043  -0.028  -0.013
    10.45    51.08    1961  -0.003  -0.011  -0.030  -0.036  -0.043  -0.066  -0.100  -0.080  -0.096  -0.072  -0.022  -0.008
    10.45    51.08    1962  -0.008  -0.006   0.001   0.018   0.037   0.009   0.004  -0.049  -0.044  -0.053  -0.023  -0.003
    10.45    51.08    1963  -0.000  -0.000  -0.005   0.005   0.026  -0.022  -0.026  -0.031  -0.041  -0.032  -0.027  -0.007
    10.45    51.08    1964  -0.001  -0.004  -0.003   0.003   0.049  -0.011  -0.028  -0.048  -0.040  -0.033  -0.023  -0.014
    10.45    51.08    1965  -0.011  -0.002  -0.002  -0.007   0.045   0.051   0.013   0.020   0.003  -0.021  -0.014  -0.010
    10.45    51.08    1966  -0.005  -0.008  -0.013   0.019   0.064   0.035   0.061   0.036   0.017  -0.021  -0.012  -0.010
    10.45    51.08    1967  -0.010  -0.015  -0.013   0.008   0.063   0.071   0.037  -0.009   0.009  -0.012  -0.017  -0.008
    10.45    51.08    1968  -0.006  -0.013  -0.001   0.010   0.065   0.050   0.020  -0.002  -0.011  -0.006  -0.016  -0.005
    10.45    51.08    1969  -0.008  -0.007  -0.004  -0.001   0.065   0.084   0.016  -0.050   0.031  -0.005  -0.023  -0.004
    10.45    51.08    1970  -0.003  -0.003  -0.007  -0.008   0.054   0.040   0.018   0.014   0.017  -0.016  -0.018  -0.014
    10.45    51.08    1971  -0.006  -0.020  -0.009  -0.003   0.021   0.032   0.023  -0.077  -0.046  -0.035  -0.019  -0.017
    10.45    51.08    1972  -0.008  -0.011  -0.017  -0.003   0.064   0.086   0.012   0.042   0.020   0.000  -0.018  -0.012
    10.45    51.08    1973  -0.008  -0.016  -0.017  -0.016   0.051   0.029  -0.040  -0.116  -0.033  -0.006  -0.013  -0.007
    10.45    51.08    1974  -0.024  -0.022  -0.005   0.017   0.068   0.071   0.059  -0.003  -0.004  -0.015  -0.021  -0.021
    10.45    51.08    1975  -0.033  -0.018  -0.022   0.008   0.060   0.050   0.013  -0.045  -0.017  -0.028  -0.018  -0.014
