      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.013  -0.012  -0.012   0.012   0.093   0.115   0.103   0.072   0.049   0.020  -0.011  -0.014
    10.45    51.08    1952  -0.010  -0.009  -0.014   0.030   0.112   0.118   0.092   0.062   0.039   0.012  -0.009  -0.009
    10.45    51.08    1953  -0.008  -0.010  -0.008   0.069   0.094   0.084   0.090   0.081   0.057   0.018  -0.015  -0.016
    10.45    51.08    1954  -0.007  -0.005  -0.016   0.006   0.103   0.102   0.083   0.071   0.040   0.018  -0.009  -0.017
    10.45    51.08    1955  -0.007  -0.007  -0.010   0.006   0.097   0.104   0.072   0.059   0.048   0.018  -0.008  -0.014
    10.45    51.08    1956  -0.011  -0.001  -0.014   0.001   0.098   0.089   0.088   0.086   0.055   0.014  -0.010  -0.015
    10.45    51.08    1957  -0.011  -0.015  -0.002   0.045   0.095   0.113   0.066   0.079   0.044   0.017  -0.017  -0.010
    10.45    51.08    1958   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1959   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1960   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1961   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1962  -0.000   0.000   0.002   0.047   0.090   0.096   0.097   0.067   0.042   0.007  -0.003  -0.000
    10.45    51.08    1963  -0.000  -0.000   0.005   0.046   0.115   0.103   0.109   0.076   0.049   0.009  -0.003  -0.002
    10.45    51.08    1964  -0.001   0.000   0.001   0.043   0.132   0.136   0.117   0.085   0.061   0.017  -0.002  -0.002
    10.45    51.08    1965  -0.002  -0.001   0.004   0.033   0.108   0.135   0.119   0.121   0.077   0.033   0.000  -0.002
    10.45    51.08    1966  -0.001   0.003   0.008   0.055   0.157   0.151   0.129   0.118   0.078   0.038  -0.002  -0.003
    10.45    51.08    1967  -0.003   0.000   0.013   0.038   0.149   0.144   0.165   0.112   0.072   0.041   0.002  -0.003
    10.45    51.08    1968  -0.003  -0.003   0.010   0.063   0.131   0.155   0.150   0.110   0.070   0.031  -0.001  -0.003
    10.45    51.08    1969  -0.004  -0.002  -0.003   0.024   0.134   0.160   0.145   0.088   0.087   0.041   0.004  -0.002
    10.45    51.08    1970  -0.003  -0.003  -0.002   0.016   0.119   0.163   0.150   0.110   0.090   0.022   0.000  -0.005
    10.45    51.08    1971  -0.004  -0.004  -0.001   0.046   0.128   0.136   0.146   0.061   0.028   0.017   0.001  -0.007
    10.45    51.08    1972  -0.003  -0.004   0.007   0.041   0.127   0.169   0.124   0.113   0.072   0.030   0.002  -0.005
    10.45    51.08    1973  -0.004  -0.004   0.000   0.014   0.135   0.152   0.102  -0.001   0.061   0.031  -0.001  -0.005
    10.45    51.08    1974  -0.006  -0.004   0.015   0.074   0.132   0.153   0.140   0.109   0.086   0.014  -0.007  -0.008
    10.45    51.08    1975  -0.008  -0.004  -0.002   0.033   0.135   0.141   0.147   0.088   0.076   0.021  -0.001  -0.005
    10.45    51.08    1976  -0.006  -0.004  -0.003   0.036   0.153   0.140  -0.013   0.029   0.013   0.030   0.000  -0.005
    10.45    51.08    1977  -0.005  -0.005   0.011   0.038   0.156   0.115   0.138   0.094   0.067   0.036   0.002  -0.005
    10.45    51.08    1978  -0.005  -0.003   0.002   0.039   0.116   0.144   0.143   0.113   0.070   0.037  -0.004  -0.006
    10.45    51.08    1979  -0.003  -0.003  -0.006   0.017   0.111   0.141   0.131   0.120   0.078   0.036  -0.001  -0.009
    10.45    51.08    1980  -0.003  -0.006  -0.005   0.018   0.128   0.154   0.121   0.068   0.064   0.023  -0.009  -0.006
    10.45    51.08    1981  -0.004  -0.004   0.015   0.069   0.131   0.134   0.121   0.108   0.082   0.032  -0.009  -0.004
    10.45    51.08    1982  -0.005  -0.004  -0.007   0.032   0.127   0.125   0.110  -0.004  -0.032   0.019   0.008  -0.007
    10.45    51.08    1983  -0.008  -0.003   0.000   0.053   0.124   0.155   0.119   0.072   0.050   0.019  -0.007  -0.006
    10.45    51.08    1984  -0.006  -0.004  -0.006   0.020   0.087   0.141   0.135   0.108   0.062   0.038   0.001  -0.006
    10.45    51.08    1985  -0.002  -0.003  -0.006   0.041   0.129   0.141   0.152   0.123   0.050  -0.016  -0.001  -0.009
    10.45    51.08    1986  -0.005  -0.001  -0.006   0.012   0.132   0.151   0.138   0.102   0.081   0.045   0.008  -0.007
    10.45    51.08    1987  -0.003  -0.004  -0.005   0.045   0.128   0.131   0.145   0.111   0.073   0.040   0.001  -0.007
    10.45    51.08    1988  -0.009  -0.007  -0.006   0.034   0.150   0.119   0.146   0.087   0.023   0.010  -0.001  -0.009
    10.45    51.08    1989  -0.008  -0.007   0.007   0.049   0.180   0.162   0.027   0.028   0.028   0.043  -0.002  -0.009
    10.45    51.08    1990  -0.008  -0.004   0.035   0.074   0.184   0.130   0.125   0.012   0.067   0.033  -0.011  -0.006
