      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   5.170   9.933  21.795  64.098  86.981 116.122 120.979 100.254  67.242  31.460  10.032   4.563
    10.45    51.08    1952   4.893   8.255  20.486  68.757  97.292 115.532 131.815 101.842  48.024  26.871   8.848   3.651
    10.45    51.08    1953   4.280   8.857  37.647  76.266 110.291  99.606 116.683 102.045  65.824  31.861   8.034   4.552
    10.45    51.08    1954   4.306   7.718  24.245  50.735 104.207 114.455  89.256  92.079  59.911  32.043  10.934   4.391
    10.45    51.08    1955   4.998   8.143  20.583  53.276  94.176 104.355  97.405  82.490  60.015  29.520   8.469   4.303
    10.45    51.08    1956   5.371   5.153  23.254  44.422 105.818  90.745 109.969  88.883  60.593  30.754   8.235   4.284
    10.45    51.08    1957   5.314  10.454  33.458  62.686  90.223 133.810 112.799  89.884  53.592  28.043   7.390   4.020
    10.45    51.08    1958   8.643  17.440  28.181  53.269 100.490 105.370 121.985 109.485  70.561  33.403  10.488   7.117
    10.45    51.08    1959   4.484   7.982  27.401  63.462  91.030 109.830 122.645  82.408  70.226  32.103   6.140   3.162
    10.45    51.08    1960   7.902  14.436  31.033  63.180  97.437 130.850 112.130  92.674  57.398  29.504  13.279   6.562
    10.45    51.08    1961   3.472  11.157  27.831  47.896  68.640 105.849  91.625  80.743  63.697  26.634   5.773   3.163
    10.45    51.08    1962   1.317   1.934   5.120  35.727  54.944  84.243  74.358  70.646  42.745  17.085   2.925   0.640
    10.45    51.08    1963   0.432   0.749   6.174  32.212  71.596  80.529  93.119  67.748  42.829  14.948   5.816   0.611
    10.45    51.08    1964   0.833   2.393   4.399  35.121  84.857 113.548 101.920  72.263  48.837  16.163   2.246   1.122
    10.45    51.08    1965   2.146   2.653  10.071  35.015  70.044  91.381  82.827  82.030  47.357  22.677   4.059   1.685
    10.45    51.08    1966   2.084   7.308  15.408  41.956  94.646 107.330  83.162  80.864  47.575  26.932   3.772   2.001
    10.45    51.08    1967   1.432   4.040  16.798  30.693  85.329  82.583 111.739  73.076  42.239  24.925   4.653   0.960
    10.45    51.08    1968   0.421   1.074  13.028  47.050  63.201  88.197  93.865  69.079  39.818  18.377   3.603   0.209
    10.45    51.08    1969   0.508   0.768   1.001  24.727  76.906  95.261 108.851  81.430  51.034  22.415   6.612   0.132
    10.45    51.08    1970   0.206   0.755   2.829  16.544  67.193 116.733 100.109  76.411  55.621  18.061   6.466   0.630
    10.45    51.08    1971   0.445   0.784   3.555  37.367  81.201  78.135 128.787 101.026  54.135  27.013   5.280   0.441
    10.45    51.08    1972   0.110   0.664  12.243  29.232  70.270  98.565  91.907  73.691  40.933  19.545   4.876   0.276
    10.45    51.08    1973   0.186   0.531   6.452  15.820  79.988  97.329  98.264  98.428  53.956  21.062   3.954   0.187
    10.45    51.08    1974   0.375   1.412  12.779  45.821  68.608  85.160  83.430  80.244  53.667  13.987   0.535   0.415
    10.45    51.08    1975   0.414   0.414   4.105  28.114  76.155  81.943 105.765 104.520  52.761  16.913   3.128   0.118
    10.45    51.08    1976   0.238   0.365   2.245  31.304  90.068 110.637 121.990  88.197  39.404  20.404   4.604   0.100
    10.45    51.08    1977   0.142   0.657  10.979  26.340  79.533  68.105  86.266  59.500  40.238  20.777   4.737   0.105
    10.45    51.08    1978   0.074   0.363   6.878  29.498  64.602  84.801  86.407  74.500  38.781  21.368   2.276   0.111
    10.45    51.08    1979   0.088   0.063   1.259  19.114  77.098  96.268  77.089  77.153  51.315  22.070   3.915   0.154
    10.45    51.08    1980   0.104   0.220   1.504  21.438  78.827  89.738  71.643  86.160  51.123  20.719   0.870   0.248
    10.45    51.08    1981   0.321   0.077  14.323  42.584  77.637  83.972  78.416  74.592  49.307  20.165   0.477   0.035
    10.45    51.08    1982   0.032   0.074   1.889  32.281  80.806 100.851 104.862  89.704  62.732  19.939   7.354   0.031
    10.45    51.08    1983   0.063   0.097   5.174  35.406  63.104  95.142 116.048  84.045  50.285  21.205   3.811   0.024
    10.45    51.08    1984   0.024   0.030   0.375  26.355  49.947  75.639  82.487  74.613  36.835  20.726   4.394   0.017
    10.45    51.08    1985   0.015   0.033   0.553  32.990  76.924  76.262 105.641  77.763  49.148  21.439   2.437   0.078
    10.45    51.08    1986   0.069   0.004   1.484  13.576  81.121  92.639  92.524  79.539  41.073  24.295   6.064   0.017
    10.45    51.08    1987   0.003   0.007   0.556  37.569  63.849  69.591  95.021  68.041  47.816  21.411   4.258   0.006
    10.45    51.08    1988   0.000   0.002   0.779  32.155  89.909  80.417  99.716  91.011  45.915  20.341   4.166   0.000
    10.45    51.08    1989   0.010   0.115  12.800  30.075 104.509  96.534  94.386  84.925  47.496  23.519   3.526   0.000
    10.45    51.08    1990   0.000   3.543  22.786  39.601 101.086  78.446  97.848  91.048  36.003  21.867   0.000   0.000
    10.45    51.08    1991   0.000   0.006  11.306  40.536  57.185  82.629 115.138  82.329  59.035  23.942   1.830   0.000
    10.45    51.08    1992   0.000   0.113   5.084  29.860  94.427  81.706  95.958  80.139  45.721  13.962   0.839   0.000
    10.45    51.08    1993   0.036   0.162   8.524  48.402  87.537  82.959  84.105  75.733  36.052  17.222   0.540   0.000
    10.45    51.08    1994   0.000   0.048   8.728  34.354  77.304  92.385 113.531  77.876  42.702  17.766   4.160   0.000
    10.45    51.08    1995   0.000   0.445   5.419  32.551  75.115  71.941 112.074  94.420  37.297  23.292   2.342   0.000
    10.45    51.08    1996   0.000   0.000   0.184  35.239  55.014  96.595  82.817  73.292  30.088  18.869   5.237   0.000
    10.45    51.08    1997   0.000   0.647  12.812  34.265  78.182  95.546  83.244  89.810  57.007  18.911   1.991   0.000
    10.45    51.08    1998   0.000   2.299  12.450  43.566  90.296  91.768  79.311  82.507  38.321  14.477   0.000   0.000
    10.45    51.08    1999   0.007   0.319   7.599  39.581  89.097  88.481  97.851  79.427  62.368  17.278   3.165   0.000
    10.45    51.08    2000   0.000   0.597   8.923  47.921  98.451 103.574  62.998  88.694  43.437  22.061   2.627   0.000
    10.45    51.08    2001   0.000   0.195   4.989  30.245  99.265  78.023 108.913  84.372  33.506  26.173   3.678   0.000
    10.45    51.08    2002   0.114   4.121  16.648  40.394  73.446  94.175  80.096  75.155  47.412  14.093   0.000   0.000
    10.45    51.08    2003   0.000   0.000   7.468  45.043  80.895 121.122  97.368 109.102  52.526  15.943   1.318   0.000
    10.45    51.08    2004   0.000   0.655  13.375  51.225  70.614  85.276  87.292  89.369  56.060  24.095   0.000   0.000
    10.45    51.08    2005   0.000   0.000   7.281  46.276  82.711 100.163  94.449  66.835  58.137  26.511   4.623   0.000
    10.45    51.08    2006   0.000   0.000   1.676  33.779  85.515 105.375 133.280  59.220  63.577  23.940   5.512   0.000
    10.45    51.08    2007   0.000   0.047   8.689  65.972  90.938  97.524  91.533  80.752  42.611  18.653   2.868   0.000
    10.45    51.08    2008   0.053   2.359  11.360  33.369  90.434 102.215  97.388  75.775  40.867  21.606   1.135   0.000
    10.45    51.08    2009   0.000   0.000   0.863  52.200  74.564  66.992  85.991  83.307  45.902  14.955   3.052   0.000
    10.45    51.08    2010   0.000   0.000   7.700  46.861  51.581  97.579 108.168  60.336  38.346  19.748   2.673   0.000
    10.45    51.08    2011   0.000   0.246  13.003  58.022  89.795  86.364  74.684  65.183  50.691  24.319   0.821   0.000
    10.45    51.08    2012   0.000   0.004  16.783  32.565  85.000  70.754  82.383  82.592  47.038  21.202   2.062   0.000
