      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.013   0.012   0.014   0.031   0.074   0.098   0.107   0.098   0.077   0.037   0.025   0.014
    10.45    51.08    1952   0.010   0.009   0.014   0.051   0.085   0.099   0.113   0.102   0.055   0.035   0.014   0.009
    10.45    51.08    1953   0.008   0.010   0.022   0.057   0.089   0.092   0.107   0.099   0.074   0.049   0.020   0.016
    10.45    51.08    1954   0.007   0.005   0.018   0.025   0.083   0.101   0.087   0.092   0.071   0.048   0.023   0.017
    10.45    51.08    1955   0.007   0.007   0.012   0.027   0.076   0.092   0.095   0.088   0.070   0.040   0.019   0.014
    10.45    51.08    1956   0.011   0.001   0.015   0.023   0.081   0.082   0.098   0.086   0.070   0.042   0.016   0.015
    10.45    51.08    1957   0.011   0.015   0.026   0.043   0.070   0.106   0.102   0.088   0.061   0.041   0.018   0.010
    10.45    51.08    1958   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1959   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1960   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1961   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1962   0.001   0.001   0.002   0.023   0.049   0.053   0.061   0.053   0.038   0.026   0.007   0.000
    10.45    51.08    1963   0.000   0.000   0.003   0.024   0.060   0.063   0.071   0.060   0.045   0.025   0.016   0.003
    10.45    51.08    1964   0.001   0.002   0.002   0.022   0.065   0.073   0.070   0.060   0.048   0.023   0.006   0.003
    10.45    51.08    1965   0.003   0.002   0.005   0.019   0.052   0.070   0.068   0.068   0.047   0.028   0.006   0.003
    10.45    51.08    1966   0.003   0.007   0.009   0.030   0.075   0.080   0.071   0.069   0.049   0.034   0.005   0.004
    10.45    51.08    1967   0.005   0.007   0.014   0.023   0.075   0.078   0.099   0.078   0.055   0.042   0.012   0.005
    10.45    51.08    1968   0.004   0.005   0.013   0.039   0.071   0.090   0.095   0.081   0.059   0.038   0.012   0.003
    10.45    51.08    1969   0.006   0.003   0.004   0.021   0.077   0.093   0.103   0.083   0.066   0.042   0.021   0.002
    10.45    51.08    1970   0.003   0.004   0.007   0.018   0.068   0.102   0.099   0.088   0.071   0.035   0.021   0.007
    10.45    51.08    1971   0.005   0.006   0.008   0.031   0.079   0.085   0.103   0.087   0.051   0.038   0.016   0.009
    10.45    51.08    1972   0.003   0.006   0.014   0.029   0.072   0.097   0.095   0.086   0.056   0.031   0.016   0.006
    10.45    51.08    1973   0.005   0.005   0.010   0.015   0.075   0.094   0.088   0.065   0.066   0.034   0.013   0.005
    10.45    51.08    1974   0.008   0.007   0.016   0.042   0.071   0.087   0.089   0.087   0.068   0.024   0.009   0.010
    10.45    51.08    1975   0.009   0.005   0.009   0.024   0.075   0.084   0.102   0.088   0.070   0.032   0.012   0.006
    10.45    51.08    1976   0.007   0.004   0.006   0.026   0.083   0.094   0.072   0.064   0.045   0.040   0.015   0.005
    10.45    51.08    1977   0.005   0.007   0.016   0.025   0.079   0.077   0.091   0.074   0.056   0.040   0.016   0.006
    10.45    51.08    1978   0.005   0.004   0.012   0.026   0.065   0.087   0.088   0.083   0.055   0.038   0.012   0.006
    10.45    51.08    1979   0.003   0.003   0.008   0.019   0.066   0.096   0.086   0.086   0.064   0.038   0.011   0.009
    10.45    51.08    1980   0.003   0.007   0.008   0.018   0.066   0.092   0.081   0.078   0.062   0.034   0.010   0.006
    10.45    51.08    1981   0.004   0.004   0.020   0.042   0.078   0.089   0.087   0.085   0.066   0.037   0.011   0.004
    10.45    51.08    1982   0.005   0.004   0.009   0.025   0.074   0.091   0.095   0.069   0.053   0.040   0.023   0.007
    10.45    51.08    1983   0.008   0.003   0.011   0.035   0.071   0.094   0.100   0.083   0.060   0.038   0.012   0.006
    10.45    51.08    1984   0.006   0.004   0.006   0.020   0.054   0.082   0.087   0.085   0.055   0.042   0.016   0.006
    10.45    51.08    1985   0.003   0.003   0.007   0.030   0.076   0.082   0.098   0.087   0.058   0.030   0.009   0.009
    10.45    51.08    1986   0.005   0.001   0.008   0.016   0.083   0.092   0.097   0.086   0.057   0.044   0.021   0.007
    10.45    51.08    1987   0.003   0.004   0.005   0.033   0.069   0.079   0.099   0.081   0.067   0.040   0.016   0.007
    10.45    51.08    1988   0.009   0.007   0.008   0.028   0.090   0.084   0.104   0.090   0.055   0.037   0.015   0.009
    10.45    51.08    1989   0.008   0.007   0.017   0.035   0.098   0.098   0.073   0.074   0.058   0.047   0.014   0.009
    10.45    51.08    1990   0.008   0.012   0.029   0.043   0.100   0.086   0.095   0.077   0.058   0.041   0.011   0.006
    10.45    51.08    1991   0.008   0.004   0.019   0.042   0.065   0.090   0.079   0.094   0.058   0.038   0.012   0.006
    10.45    51.08    1992   0.006   0.007   0.011   0.029   0.089   0.086   0.096   0.079   0.065   0.029   0.011   0.007
