      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.010   0.007   0.007   0.023   0.045   0.042   0.059   0.049   0.045   0.020   0.011   0.006
    10.45    51.08    1952   0.007   0.001   0.009   0.031   0.040   0.054   0.084   0.070   0.024   0.012   0.007   0.001
    10.45    51.08    1953   0.002   0.003   0.015   0.038   0.056   0.053   0.056   0.056   0.046   0.030   0.012   0.008
    10.45    51.08    1954   0.002   0.000   0.011   0.018   0.045   0.066   0.043   0.043   0.039   0.020   0.011   0.006
    10.45    51.08    1955   0.002   0.003   0.002   0.017   0.044   0.049   0.053   0.041   0.039   0.022   0.007   0.004
    10.45    51.08    1956   0.008   0.000   0.004   0.016   0.042   0.043   0.044   0.042   0.037   0.024   0.007   0.006
    10.45    51.08    1957   0.003   0.011   0.019   0.025   0.036   0.060   0.063   0.042   0.030   0.016   0.010   0.003
    10.45    51.08    1958   0.010   0.015   0.004   0.022   0.078   0.090   0.113   0.116   0.106   0.058   0.023   0.015
    10.45    51.08    1959   0.010   0.003   0.027   0.045   0.065   0.080   0.150   0.110   0.088   0.055   0.016   0.008
    10.45    51.08    1960   0.014   0.006   0.026   0.057   0.085   0.141   0.132   0.113   0.082   0.043   0.028   0.013
    10.45    51.08    1961   0.003   0.011   0.030   0.036   0.043   0.066   0.100   0.080   0.096   0.072   0.022   0.008
    10.45    51.08    1962   0.007   0.007   0.001   0.029   0.053   0.087   0.093   0.116   0.086   0.059   0.020   0.003
    10.45    51.08    1963   0.000   0.000   0.010   0.040   0.089   0.125   0.135   0.107   0.089   0.041   0.024   0.004
    10.45    51.08    1964   0.000   0.004   0.004   0.040   0.083   0.146   0.145   0.133   0.101   0.051   0.021   0.012
    10.45    51.08    1965   0.009   0.001   0.006   0.039   0.063   0.084   0.106   0.101   0.073   0.054   0.014   0.008
    10.45    51.08    1966   0.004   0.010   0.021   0.036   0.093   0.115   0.068   0.082   0.060   0.059   0.010   0.008
    10.45    51.08    1967   0.008   0.015   0.026   0.031   0.087   0.073   0.129   0.121   0.062   0.054   0.019   0.005
    10.45    51.08    1968   0.003   0.010   0.011   0.053   0.066   0.106   0.130   0.112   0.081   0.036   0.015   0.002
    10.45    51.08    1969   0.004   0.005   0.001   0.025   0.069   0.076   0.130   0.138   0.057   0.046   0.026   0.002
    10.45    51.08    1970   0.000   0.000   0.005   0.025   0.065   0.123   0.132   0.096   0.073   0.039   0.018   0.009
    10.45    51.08    1971   0.003   0.016   0.009   0.049   0.107   0.104   0.123   0.138   0.074   0.052   0.020   0.010
    10.45    51.08    1972   0.005   0.007   0.024   0.044   0.063   0.083   0.113   0.071   0.052   0.030   0.019   0.008
    10.45    51.08    1973   0.004   0.012   0.017   0.030   0.085   0.123   0.141   0.115   0.093   0.037   0.012   0.002
    10.45    51.08    1974   0.018   0.018   0.020   0.057   0.064   0.082   0.081   0.112   0.090   0.029   0.013   0.013
    10.45    51.08    1975   0.025   0.013   0.020   0.025   0.075   0.091   0.134   0.133   0.093   0.050   0.017   0.009
    10.45    51.08    1976   0.015   0.002   0.009   0.042   0.088   0.100   0.153   0.094   0.071   0.057   0.017   0.008
    10.45    51.08    1977   0.004   0.015   0.030   0.022   0.071   0.083   0.083   0.061   0.048   0.033   0.021   0.005
    10.45    51.08    1978   0.012   0.003   0.023   0.036   0.062   0.112   0.092   0.109   0.062   0.032   0.015   0.005
    10.45    51.08    1979   0.000   0.000   0.010   0.026   0.063   0.132   0.093   0.098   0.076   0.046   0.011   0.012
    10.45    51.08    1980   0.002   0.012   0.015   0.028   0.056   0.108   0.084   0.108   0.075   0.043   0.013   0.006
    10.45    51.08    1981   0.005   0.004   0.020   0.046   0.052   0.079   0.108   0.078   0.060   0.028   0.013   0.003
    10.45    51.08    1982   0.001   0.006   0.016   0.039   0.075   0.124   0.120   0.112   0.084   0.050   0.024   0.010
    10.45    51.08    1983   0.020   0.006   0.020   0.027   0.054   0.083   0.126   0.104   0.074   0.048   0.017   0.006
    10.45    51.08    1984   0.020   0.006   0.007   0.024   0.044   0.059   0.078   0.077   0.049   0.030   0.013   0.007
    10.45    51.08    1985   0.001   0.002   0.010   0.043   0.080   0.091   0.100   0.096   0.067   0.051   0.013   0.011
    10.45    51.08    1986   0.005   0.001   0.008   0.018   0.075   0.068   0.113   0.103   0.044   0.041   0.014   0.008
    10.45    51.08    1987   0.002   0.001   0.002   0.036   0.055   0.045   0.092   0.058   0.061   0.028   0.013   0.004
    10.45    51.08    1988   0.018   0.012   0.010   0.033   0.087   0.090   0.091   0.101   0.064   0.047   0.018   0.007
    10.45    51.08    1989   0.016   0.011   0.025   0.038   0.070   0.088   0.101   0.091   0.069   0.046   0.018   0.005
    10.45    51.08    1990   0.010   0.021   0.030   0.030   0.079   0.062   0.082   0.101   0.062   0.044   0.020   0.005
    10.45    51.08    1991   0.015   0.001   0.030   0.037   0.045   0.075   0.108   0.079   0.069   0.045   0.016   0.005
    10.45    51.08    1992   0.013   0.009   0.020   0.028   0.078   0.098   0.083   0.101   0.058   0.032   0.012   0.007
