      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951     2.732    19.744    22.153     4.183     0.436    72.168     0.000     5.067     1.422     0.000    43.109     9.526
    10.45    51.08    1952    19.580    31.098    53.226    24.856     9.250     0.663     0.000     0.000    68.755    40.016    65.127    28.722
    10.45    51.08    1953    30.992    49.532     0.881     0.000     0.000     6.766     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1954    30.227    12.857     9.452    22.991     1.096     0.000     5.460     9.784    10.446    14.042    10.090    33.437
    10.45    51.08    1955    30.644    29.144    38.495    16.902     0.394     0.000    10.896    19.071     3.318     5.354    10.710    36.342
    10.45    51.08    1956    19.854     0.000    50.993    32.634     0.907    31.092    92.841    14.418     2.388    13.798    20.137    12.218
    10.45    51.08    1957    23.841    28.202    16.676     5.395     0.000     0.000     0.000     0.000    14.807     9.055    22.004    21.506
    10.45    51.08    1958    37.314    20.827    76.624    22.403    26.481    41.304    34.522    24.396    16.249    24.696    20.477    28.792
    10.45    51.08    1959    18.837     4.548     7.427    16.620    18.758    24.322     5.748    31.637     0.300    17.849    31.941    11.452
    10.45    51.08    1960    39.848     8.909    17.521    13.450    36.506     8.236    11.032    22.527    15.842    82.458    24.821    30.593
    10.45    51.08    1961    45.883    34.113    14.981    72.068    76.131    64.383    17.681    21.656    10.906     8.899    12.384    44.592
    10.45    51.08    1962    21.178    21.939    21.706    12.388     6.812     0.019     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1963     0.000     0.000    16.886     8.274     1.889     0.000     0.000     0.000     0.000     2.010    25.840     3.408
    10.45    51.08    1964     6.927    23.089    10.929    19.995    31.903     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1965     0.000     0.000     8.964     4.559     5.141     3.607     0.000     0.000     0.000     0.000     0.000    44.846
    10.45    51.08    1966    16.824    32.881    13.287    20.711     0.000     0.000    18.732    14.860     0.000    24.229    25.885    44.024
    10.45    51.08    1967    19.146    14.902    23.105     6.027     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.862
    10.45    51.08    1968    13.497    16.719    23.082     0.000     0.000     0.000     0.000     0.000     0.000     3.615     0.113     0.000
    10.45    51.08    1969     0.000     0.000     3.247    50.518    36.621     8.835     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1970     0.000    26.632     5.514    13.162     8.428     1.185     0.000     1.098     0.000     0.000     0.000     0.098
    10.45    51.08    1971     0.000     0.000     0.000     0.118     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1972     0.000     0.000     3.067     0.000     0.000     0.000    14.399    31.466     0.000     0.000     0.000     0.000
    10.45    51.08    1973     0.000     0.000     1.604     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.696
    10.45    51.08    1974     0.000     1.109     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.352     0.000    10.961
    10.45    51.08    1975     0.000     0.000     0.000     3.396     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1976     0.174     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1977     0.000     0.000     5.196     0.000     0.000     0.000     0.000    41.389     0.175     0.000    33.451     7.366
    10.45    51.08    1978     0.000     0.000     7.825     2.328     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1979     0.000     0.000    44.941     5.923     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.861
    10.45    51.08    1980     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1981     0.000     1.888     2.729     0.000     4.952     0.000     0.000    14.407     0.000     8.956     9.206    15.113
    10.45    51.08    1982    12.845     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1983     0.000     0.000     0.000    46.801     5.991     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1984     0.000     0.000     0.000     4.774    21.539     7.967     0.000     0.000     0.000     1.205    24.313     0.000
    10.45    51.08    1985     3.391     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1986     0.050     0.000     8.388    10.277     0.000     0.000     0.000     0.000     0.000     0.000     0.000     7.745
    10.45    51.08    1987    15.783     4.832    39.690     0.000     0.000    23.480     0.000     0.000    23.960     0.000     3.929    12.729
    10.45    51.08    1988    17.917    21.201    55.517    15.342     0.000     0.000     0.000     0.000     0.000     0.000     0.000     3.873
    10.45    51.08    1989     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     6.290
    10.45    51.08    1990     0.000     0.000     3.156     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1991     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.247     0.000     0.000     0.000     0.000
    10.45    51.08    1992     0.000     0.000    22.687     0.000     0.000     0.000    11.571     0.000     0.000     0.000     5.921    10.306
    10.45    51.08    1993     1.947     1.222     0.000     0.000     0.000     1.096    20.140     0.000     0.000     0.000     0.000    25.488
    10.45    51.08    1994     0.319     0.000    24.290    67.676     0.000     0.000     0.000     0.000     0.000     0.000     2.973     1.397
    10.45    51.08    1995     1.262    15.977    10.237     8.938     0.000    14.216     8.785     0.000    11.092     0.000     0.000     0.000
    10.45    51.08    1996     0.000     0.000     0.056     4.560     4.898     0.000     8.429     9.758     0.000     3.958    14.128    38.693
    10.45    51.08    1997     8.941    32.283    26.447     3.555     0.667     0.000    25.460     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1998     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    24.275    16.050     0.000
