      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.953   1.000   1.000   0.996   0.982   0.983   0.971   0.983   0.980   0.977   0.999   1.000
    10.45    51.08    1952   1.000   1.000   0.997   0.979   0.988   0.965   0.869   0.755   0.834   0.989   0.999   0.999
    10.45    51.08    1953   1.000   0.999   0.997   0.980   0.919   0.892   0.923   0.920   0.867   0.851   0.888   0.922
    10.45    51.08    1954   0.995   0.999   1.000   0.998   0.970   0.897   0.931   0.992   0.992   0.995   1.000   1.000
    10.45    51.08    1955   1.000   0.997   0.997   0.997   0.990   0.971   0.981   0.981   0.981   0.992   0.999   1.000
    10.45    51.08    1956   1.000   1.000   0.999   0.997   0.985   0.982   0.990   0.992   0.993   0.997   1.000   1.000
    10.45    51.08    1957   1.000   1.000   0.999   0.992   0.974   0.933   0.910   0.953   0.996   0.995   0.999   1.000
    10.45    51.08    1958   1.000   1.000   0.996   0.998   1.000   0.995   0.996   1.000   1.000   1.000   1.000   1.000
    10.45    51.08    1959   1.000   1.000   1.000   1.000   1.000   0.999   1.000   0.999   0.999   1.000   1.000   1.000
    10.45    51.08    1960   1.000   1.000   1.000   1.000   0.999   1.000   1.000   1.000   0.997   0.999   1.000   1.000
    10.45    51.08    1961   1.000   1.000   1.000   0.998   0.998   0.998   1.000   1.000   1.000   1.000   1.000   1.000
    10.45    51.08    1962   1.000   1.000   0.997   0.997   0.997   0.958   0.890   0.822   0.767   0.752   0.747   0.775
    10.45    51.08    1963   0.803   0.808   0.925   0.997   0.983   0.921   0.913   0.883   0.915   0.985   1.000   1.000
    10.45    51.08    1964   1.000   1.000   1.000   0.997   0.983   0.906   0.755   0.631   0.533   0.482   0.498   0.540
    10.45    51.08    1965   0.624   0.714   0.813   0.957   0.984   0.957   0.924   0.876   0.828   0.806   0.823   0.988
    10.45    51.08    1966   1.000   0.997   0.998   0.997   0.925   0.777   0.795   0.804   0.850   0.839   0.990   1.000
    10.45    51.08    1967   1.000   1.000   0.998   0.993   0.915   0.827   0.723   0.538   0.522   0.567   0.629   0.757
    10.45    51.08    1968   0.880   0.986   0.998   0.962   0.944   0.826   0.585   0.373   0.282   0.363   0.436   0.511
    10.45    51.08    1969   0.610   0.745   0.841   0.989   0.960   0.908   0.732   0.389   0.320   0.283   0.321   0.363
    10.45    51.08    1970   0.382   0.577   0.787   0.959   0.988   0.865   0.560   0.390   0.339   0.337   0.521   0.652
    10.45    51.08    1971   0.710   0.850   0.951   0.978   0.875   0.718   0.449   0.048   0.000   0.003   0.027   0.126
    10.45    51.08    1972   0.164   0.202   0.250   0.335   0.310   0.225   0.122   0.109   0.106   0.077   0.133   0.220
    10.45    51.08    1973   0.250   0.375   0.521   0.593   0.589   0.367   0.052   0.000   0.003   0.040   0.141   0.285
    10.45    51.08    1974   0.413   0.513   0.636   0.604   0.531   0.411   0.363   0.196   0.059   0.046   0.241   0.475
    10.45    51.08    1975   0.649   0.730   0.812   0.959   0.905   0.723   0.540   0.192   0.010   0.004   0.016   0.064
    10.45    51.08    1976   0.224   0.384   0.447   0.469   0.340   0.131   0.000   0.000   0.000   0.005   0.029   0.098
    10.45    51.08    1977   0.175   0.314   0.433   0.541   0.492   0.301   0.185   0.223   0.300   0.326   0.505   0.680
    10.45    51.08    1978   0.819   0.876   0.977   0.982   0.925   0.741   0.525   0.307   0.186   0.202   0.211   0.285
    10.45    51.08    1979   0.386   0.414   0.661   0.945   0.944   0.727   0.519   0.351   0.146   0.060   0.086   0.208
    10.45    51.08    1980   0.344   0.532   0.601   0.722   0.700   0.461   0.311   0.076   0.000   0.003   0.029   0.110
    10.45    51.08    1981   0.257   0.359   0.500   0.526   0.499   0.428   0.290   0.149   0.090   0.150   0.298   0.512
    10.45    51.08    1982   0.671   0.764   0.827   0.866   0.779   0.481   0.179   0.002   0.000   0.025   0.041   0.101
    10.45    51.08    1983   0.186   0.282   0.341   0.538   0.597   0.558   0.265   0.005   0.001   0.000   0.000   0.009
    10.45    51.08    1984   0.068   0.227   0.317   0.457   0.522   0.637   0.510   0.414   0.365   0.507   0.589   0.681
    10.45    51.08    1985   0.728   0.837   0.902   0.971   0.890   0.659   0.441   0.176   0.017   0.000   0.000   0.038
    10.45    51.08    1986   0.175   0.254   0.369   0.586   0.613   0.606   0.361   0.091   0.009   0.013   0.064   0.113
    10.45    51.08    1987   0.314   0.439   0.578   0.750   0.665   0.721   0.678   0.677   0.650   0.679   0.801   0.964
    10.45    51.08    1988   1.000   1.000   0.999   0.983   0.832   0.506   0.298   0.076   0.000   0.000   0.004   0.136
    10.45    51.08    1989   0.328   0.388   0.536   0.577   0.484   0.210   0.009   0.000   0.000   0.003   0.062   0.192
    10.45    51.08    1990   0.312   0.403   0.526   0.528   0.423   0.182   0.055   0.000   0.002   0.001   0.028   0.134
    10.45    51.08    1991   0.297   0.342   0.401   0.389   0.309   0.098   0.000   0.006   0.000   0.000   0.004   0.028
    10.45    51.08    1992   0.111   0.166   0.271   0.423   0.330   0.058   0.012   0.000   0.004   0.005   0.075   0.262
    10.45    51.08    1993   0.412   0.519   0.639   0.656   0.445   0.319   0.228   0.206   0.154   0.187   0.301   0.493
    10.45    51.08    1994   0.741   0.896   0.997   0.986   0.870   0.799   0.576   0.338   0.321   0.337   0.415   0.574
    10.45    51.08    1995   0.712   0.950   0.999   0.992   0.906   0.935   0.801   0.577   0.510   0.576   0.646   0.715
    10.45    51.08    1996   0.778   0.830   0.937   0.988   0.964   0.867   0.759   0.642   0.685   0.756   0.933   1.000
    10.45    51.08    1997   0.999   1.000   0.997   0.990   0.923   0.670   0.439   0.344   0.179   0.107   0.155   0.284
    10.45    51.08    1998   0.421   0.484   0.618   0.656   0.549   0.332   0.149   0.009   0.028   0.206   0.548   0.663
    10.45    51.08    1999   0.737   0.873   0.990   0.989   0.867   0.675   0.560   0.381   0.215   0.122   0.138   0.286
    10.45    51.08    2000   0.415   0.615   0.899   0.974   0.786   0.463   0.205   0.035   0.008   0.028   0.078   0.145
    10.45    51.08    2001   0.221   0.295   0.442   0.662   0.632   0.448   0.297   0.082   0.015   0.025   0.094   0.342
    10.45    51.08    2002   0.421   0.539   0.756   0.833   0.895   0.841   0.718   0.668   0.589   0.677   0.948   1.000
    10.45    51.08    2003   1.000   1.000   0.998   0.971   0.828   0.630   0.348   0.031   0.002   0.007   0.022   0.108
    10.45    51.08    2004   0.236   0.349   0.403   0.394   0.425   0.295   0.145   0.008   0.001   0.001   0.022   0.090
    10.45    51.08    2005   0.168   0.293   0.410   0.481   0.400   0.176   0.001   0.004   0.001   0.002   0.010   0.058
    10.45    51.08    2006   0.135   0.186   0.252   0.385   0.307   0.169   0.003   0.004   0.005   0.002   0.035   0.085
    10.45    51.08    2007   0.198   0.330   0.488   0.522   0.278   0.088   0.034   0.043   0.031   0.066   0.213   0.463
    10.45    51.08    2008   0.562   0.681   0.819   0.970   0.884   0.619   0.350   0.055   0.001   0.011   0.074   0.211
    10.45    51.08    2009   0.296   0.366   0.576   0.636   0.600   0.543   0.438   0.268   0.092   0.116   0.305   0.544
    10.45    51.08    2010   0.690   0.768   0.933   0.963   0.928   0.893   0.583   0.616   0.761   0.797   0.909   1.000
