      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -1.93   -0.00    1.22    0.46  -11.48
    10.45    51.08    1952  -11.23   -1.72   -0.00    2.83    0.96   -9.16
    10.45    51.08    1953  -11.23   -1.94   -0.00    1.34    0.27  -11.57
    10.45    51.08    1954  -11.23   -2.11   -0.00    1.21    0.68  -11.45
    10.45    51.08    1955  -11.23   -2.04   -0.00    1.13    0.68  -11.46
    10.45    51.08    1956  -11.23   -2.14   -0.00    1.10    0.69  -11.58
    10.45    51.08    1957  -11.23   -2.17   -0.00    1.25    0.67  -11.48
    10.45    51.08    1958  -11.23   -0.00   -0.00    1.05    1.42   -8.76
    10.45    51.08    1959  -11.23   -2.68   -0.00    1.38    0.56  -11.97
    10.45    51.08    1960  -14.10   -0.00   -0.00    0.96    1.23  -11.91
    10.45    51.08    1961  -14.10   -2.09   -0.00    1.45    1.11  -13.62
    10.45    51.08    1962  -14.10   -2.03   -0.00    9.01    0.35   -6.77
    10.45    51.08    1963  -14.10   -1.82   -0.00    5.39    0.26  -10.26
    10.45    51.08    1964  -14.10   -1.72   -0.00    7.61    0.29   -7.92
    10.45    51.08    1965  -14.10   -2.66   -0.00    1.56    0.21  -14.99
    10.45    51.08    1966  -14.10   -2.89   -0.00    1.85    0.57  -14.56
    10.45    51.08    1967  -14.10   -3.24   -0.00    2.84    0.31  -14.19
    10.45    51.08    1968  -14.10   -3.01   -0.00    6.45    0.18  -10.48
    10.45    51.08    1969  -14.10   -2.75   -0.00    5.11    0.19  -11.55
    10.45    51.08    1970  -16.97   -2.60   -0.00    5.76    0.08  -13.72
    10.45    51.08    1971  -16.97   -2.71   -0.00    7.52    0.00  -12.16
    10.45    51.08    1972  -16.97   -2.95   -0.00    1.80    0.00  -18.12
    10.45    51.08    1973  -16.97   -2.68   -0.00    7.42    0.01  -12.22
    10.45    51.08    1974  -16.97   -2.89   -0.00    3.51    0.01  -16.35
    10.45    51.08    1975  -16.97   -2.50   -0.00    6.87    0.02  -12.59
    10.45    51.08    1976  -16.97   -2.64   -0.00    7.10    0.00  -12.50
    10.45    51.08    1977  -16.97   -2.58   -0.00    3.41    0.01  -16.13
    10.45    51.08    1978  -16.97   -3.10   -0.00    6.08    0.05  -13.93
    10.45    51.08    1979  -16.97   -2.78   -0.00    6.14    0.02  -13.60
    10.45    51.08    1980  -17.99   -2.82   -0.00    6.29    0.00  -14.52
    10.45    51.08    1981  -17.99   -2.70   -0.00    2.39    0.02  -18.29
    10.45    51.08    1982  -17.99   -2.40   -0.00    6.81    0.01  -13.58
    10.45    51.08    1983  -17.99   -2.01   -0.00    6.25    0.01  -13.75
    10.45    51.08    1984  -17.99   -2.62   -0.00    1.62    0.02  -18.98
    10.45    51.08    1985  -17.99   -2.65   -0.00    7.87    0.00  -12.77
    10.45    51.08    1986  -17.99   -2.19   -0.00    4.88    0.02  -15.28
    10.45    51.08    1987  -17.99   -2.92   -0.00    1.57    0.06  -19.29
    10.45    51.08    1988  -17.99   -2.52   -0.00    6.73    0.47  -13.32
    10.45    51.08    1989  -17.99   -2.45   -0.00    5.60    0.00  -14.83
    10.45    51.08    1990  -19.66   -2.54   -0.00    5.25    0.00  -16.95
    10.45    51.08    1991  -19.66   -2.74   -0.00    6.04    0.00  -16.36
    10.45    51.08    1992  -19.66   -1.82   -0.00    4.98    0.01  -16.48
    10.45    51.08    1993  -19.66   -2.30   -0.00    3.01    0.01  -18.93
    10.45    51.08    1994  -19.66   -2.39   -0.00    2.09    0.19  -19.75
    10.45    51.08    1995  -19.66   -2.78   -0.00    1.66    0.16  -20.62
    10.45    51.08    1996  -19.66   -3.21   -0.00    1.48    0.17  -21.21
    10.45    51.08    1997  -19.66   -3.07   -0.00    4.89    0.35  -17.49
    10.45    51.08    1998  -19.66   -3.16   -0.00    4.08    0.01  -18.72
    10.45    51.08    1999  -19.66   -2.67   -0.00    3.71    0.06  -18.56
    10.45    51.08    2000  -21.34   -2.72   -0.00    4.80    0.05  -19.21
    10.45    51.08    2001  -21.34   -2.82   -0.00    3.62    0.02  -20.52
    10.45    51.08    2002  -21.34   -3.21   -0.00    1.54    0.25  -22.76
    10.45    51.08    2003  -21.34   -2.32   -0.00    4.81    0.20  -18.65
    10.45    51.08    2004  -21.34   -2.86   -0.00    4.40    0.00  -19.81
    10.45    51.08    2005  -21.34   -2.60   -0.00    4.46    0.01  -19.48
    10.45    51.08    2006  -21.34   -2.47   -0.00    3.69    0.00  -20.12
    10.45    51.08    2007  -21.34   -2.53   -0.00    2.27    0.00  -21.59
    10.45    51.08    2008  -21.34   -2.85   -0.00    4.38    0.02  -19.79
    10.45    51.08    2009  -21.34   -2.40   -0.00    2.75    0.01  -20.97
    10.45    51.08    2010  -20.03   -2.93   -0.00    2.47    0.08  -20.41
    10.45    51.08    2011  -20.03   -2.74   -0.00    4.00    0.23  -18.54
    10.45    51.08    2012  -20.03   -2.81   -0.00    4.11    0.00  -18.73
