      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    0.086    0.110    0.028    0.013    0.127    0.859    1.222
    10.45    51.08    1952    0.433    0.555    0.139    0.064    0.642    0.997    2.830
    10.45    51.08    1953    0.083    0.106    0.027    0.012    0.122    0.989    1.339
    10.45    51.08    1954    0.082    0.105    0.026    0.012    0.121    0.867    1.214
    10.45    51.08    1955    0.081    0.104    0.026    0.012    0.120    0.790    1.134
    10.45    51.08    1956    0.081    0.103    0.026    0.012    0.120    0.760    1.101
    10.45    51.08    1957    0.079    0.101    0.025    0.012    0.117    0.921    1.254
    10.45    51.08    1958    0.231    0.297    0.074    0.034    0.343    0.073    1.052
    10.45    51.08    1959    0.222    0.284    0.071    0.033    0.329    0.438    1.377
    10.45    51.08    1960    0.210    0.270    0.068    0.031    0.312    0.069    0.961
    10.45    51.08    1961    0.204    0.262    0.066    0.030    0.303    0.590    1.455
    10.45    51.08    1962    1.874    2.406    0.604    0.278    2.779    1.070    9.011
    10.45    51.08    1963    1.112    1.428    0.358    0.165    1.649    0.681    5.394
    10.45    51.08    1964    1.559    2.001    0.502    0.231    2.312    1.009    7.614
    10.45    51.08    1965    0.179    0.229    0.058    0.026    0.265    0.806    1.564
    10.45    51.08    1966    0.176    0.226    0.057    0.026    0.262    1.107    1.855
    10.45    51.08    1967    0.399    0.512    0.128    0.059    0.591    1.148    2.838
    10.45    51.08    1968    1.235    1.585    0.398    0.183    1.831    1.216    6.447
    10.45    51.08    1969    0.930    1.194    0.300    0.138    1.379    1.165    5.106
    10.45    51.08    1970    1.054    1.353    0.339    0.156    1.563    1.298    5.763
    10.45    51.08    1971    1.406    1.806    0.453    0.209    2.086    1.564    7.523
    10.45    51.08    1972    0.162    0.209    0.052    0.024    0.241    1.113    1.801
    10.45    51.08    1973    1.349    1.732    0.434    0.200    2.000    1.707    7.422
    10.45    51.08    1974    0.505    0.648    0.163    0.075    0.749    1.367    3.505
    10.45    51.08    1975    1.223    1.570    0.394    0.181    1.814    1.684    6.866
    10.45    51.08    1976    1.310    1.682    0.422    0.194    1.943    1.552    7.102
    10.45    51.08    1977    0.555    0.713    0.179    0.082    0.823    1.058    3.410
    10.45    51.08    1978    1.082    1.390    0.349    0.161    1.605    1.493    6.080
    10.45    51.08    1979    1.082    1.389    0.348    0.160    1.605    1.552    6.137
    10.45    51.08    1980    1.140    1.464    0.367    0.169    1.691    1.460    6.292
    10.45    51.08    1981    0.271    0.348    0.087    0.040    0.402    1.239    2.388
    10.45    51.08    1982    1.202    1.544    0.387    0.178    1.783    1.714    6.809
    10.45    51.08    1983    1.154    1.482    0.372    0.171    1.712    1.356    6.246
    10.45    51.08    1984    0.124    0.159    0.040    0.018    0.184    1.098    1.623
    10.45    51.08    1985    1.485    1.906    0.478    0.220    2.202    1.581    7.872
    10.45    51.08    1986    0.824    1.058    0.265    0.122    1.222    1.389    4.881
    10.45    51.08    1987    0.119    0.153    0.038    0.018    0.177    1.065    1.570
    10.45    51.08    1988    1.201    1.543    0.387    0.178    1.782    1.640    6.731
    10.45    51.08    1989    0.968    1.243    0.312    0.144    1.436    1.501    5.604
    10.45    51.08    1990    0.912    1.170    0.294    0.135    1.352    1.383    5.246
    10.45    51.08    1991    1.081    1.388    0.348    0.160    1.604    1.459    6.041
    10.45    51.08    1992    0.841    1.080    0.271    0.125    1.247    1.414    4.978
    10.45    51.08    1993    0.443    0.569    0.143    0.066    0.657    1.136    3.012
    10.45    51.08    1994    0.159    0.204    0.051    0.024    0.236    1.422    2.095
    10.45    51.08    1995    0.102    0.131    0.033    0.015    0.151    1.224    1.656
    10.45    51.08    1996    0.103    0.133    0.033    0.015    0.153    1.045    1.483
    10.45    51.08    1997    0.808    1.038    0.260    0.120    1.199    1.461    4.886
    10.45    51.08    1998    0.617    0.792    0.199    0.091    0.915    1.465    4.079
    10.45    51.08    1999    0.549    0.705    0.177    0.081    0.814    1.387    3.713
    10.45    51.08    2000    0.770    0.988    0.248    0.114    1.141    1.537    4.798
    10.45    51.08    2001    0.531    0.682    0.171    0.079    0.787    1.372    3.621
    10.45    51.08    2002    0.091    0.117    0.029    0.014    0.136    1.154    1.541
    10.45    51.08    2003    0.741    0.952    0.239    0.110    1.099    1.670    4.810
    10.45    51.08    2004    0.729    0.936    0.235    0.108    1.081    1.307    4.395
    10.45    51.08    2005    0.703    0.903    0.226    0.104    1.043    1.475    4.455
    10.45    51.08    2006    0.529    0.679    0.170    0.078    0.784    1.447    3.688
    10.45    51.08    2007    0.257    0.330    0.083    0.038    0.382    1.184    2.274
    10.45    51.08    2008    0.673    0.864    0.217    0.100    0.998    1.530    4.381
    10.45    51.08    2009    0.361    0.464    0.116    0.054    0.535    1.222    2.752
    10.45    51.08    2010    0.325    0.418    0.105    0.048    0.482    1.089    2.467
    10.45    51.08    2011    0.621    0.797    0.200    0.092    0.921    1.370    4.002
    10.45    51.08    2012    0.662    0.849    0.213    0.098    0.981    1.306    4.109
