      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0839   0.0367   1.1482    1.2687
    10.45    51.08    1952   0.0848   0.0357   1.1472    1.2676
    10.45    51.08    1953   0.0850   0.0351   1.1467    1.2668
    10.45    51.08    1954   0.0862   0.0348   1.1463    1.2673
    10.45    51.08    1955   0.0870   0.0347   1.1465    1.2682
    10.45    51.08    1956   0.0876   0.0346   1.1470    1.2692
    10.45    51.08    1957   0.0885   0.0336   1.1466    1.2686
    10.45    51.08    1958   0.0000   0.1106   1.1618    1.2724
    10.45    51.08    1959   0.0076   0.1039   1.1640    1.2755
    10.45    51.08    1960   0.0000   0.1015   1.1817    1.2831
    10.45    51.08    1961   0.0075   0.0962   1.1809    1.2847
    10.45    51.08    1962   0.0158   0.0917   1.1789    1.2863
    10.45    51.08    1963   0.0178   0.0889   1.1842    1.2909
    10.45    51.08    1964   0.0179   0.0850   1.1881    1.2909
    10.45    51.08    1965   0.0195   0.0831   1.1908    1.2933
    10.45    51.08    1966   0.0208   0.0811   1.1923    1.2941
    10.45    51.08    1967   0.0263   0.0780   1.1926    1.2968
    10.45    51.08    1968   0.0308   0.0756   1.1932    1.2996
    10.45    51.08    1969   0.0344   0.0743   1.1950    1.3038
    10.45    51.08    1970   0.0370   0.0731   1.1965    1.3066
    10.45    51.08    1971   0.0381   0.0705   1.1981    1.3067
    10.45    51.08    1972   0.0383   0.0714   1.2014    1.3111
    10.45    51.08    1973   0.0388   0.0686   1.2018    1.3093
    10.45    51.08    1974   0.0386   0.0675   1.2037    1.3098
    10.45    51.08    1975   0.0388   0.0650   1.2040    1.3078
    10.45    51.08    1976   0.0392   0.0629   1.2045    1.3066
    10.45    51.08    1977   0.0387   0.0633   1.2069    1.3089
    10.45    51.08    1978   0.0395   0.0611   1.2070    1.3076
    10.45    51.08    1979   0.0415   0.0589   1.2058    1.3062
    10.45    51.08    1980   0.0419   0.0579   1.2057    1.3055
    10.45    51.08    1981   0.0426   0.0575   1.2069    1.3070
    10.45    51.08    1982   0.0432   0.0546   1.2060    1.3038
    10.45    51.08    1983   0.0429   0.0528   1.2069    1.3027
    10.45    51.08    1984   0.0429   0.0540   1.2081    1.3050
    10.45    51.08    1985   0.0432   0.0513   1.2069    1.3014
    10.45    51.08    1986   0.0438   0.0508   1.2061    1.3007
    10.45    51.08    1987   0.0452   0.0516   1.2068    1.3036
    10.45    51.08    1988   0.0470   0.0486   1.2053    1.3008
    10.45    51.08    1989   0.0472   0.0470   1.2047    1.2989
    10.45    51.08    1990   0.0475   0.0455   1.2046    1.2976
    10.45    51.08    1991   0.0490   0.0439   1.2034    1.2963
    10.45    51.08    1992   0.0472   0.0436   1.2030    1.2939
    10.45    51.08    1993   0.0475   0.0438   1.2030    1.2943
    10.45    51.08    1994   0.0476   0.0436   1.2015    1.2928
    10.45    51.08    1995   0.0499   0.0433   1.2007    1.2939
    10.45    51.08    1996   0.0520   0.0441   1.2008    1.2969
    10.45    51.08    1997   0.0538   0.0420   1.1997    1.2955
    10.45    51.08    1998   0.0557   0.0407   1.1981    1.2945
    10.45    51.08    1999   0.0571   0.0395   1.1975    1.2940
    10.45    51.08    2000   0.0593   0.0377   1.1956    1.2927
    10.45    51.08    2001   0.0608   0.0372   1.1946    1.2926
    10.45    51.08    2002   0.0617   0.0380   1.1950    1.2947
    10.45    51.08    2003   0.0626   0.0359   1.1926    1.2912
    10.45    51.08    2004   0.0633   0.0353   1.1920    1.2906
    10.45    51.08    2005   0.0636   0.0345   1.1905    1.2886
    10.45    51.08    2006   0.0654   0.0331   1.1886    1.2871
    10.45    51.08    2007   0.0668   0.0335   1.1882    1.2885
    10.45    51.08    2008   0.0692   0.0319   1.1855    1.2866
    10.45    51.08    2009   0.0648   0.0356   1.1859    1.2863
    10.45    51.08    2010   0.0667   0.0356   1.1855    1.2879
    10.45    51.08    2011   0.0680   0.0344   1.1840    1.2864
    10.45    51.08    2012   0.0702   0.0332   1.1827    1.2861
