      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    1.93    0.00   13.16 124.06  38.67  85.38  98.55
    10.45    51.08    1952   11.23    1.72    0.00   12.95 131.76  32.40  99.36 112.31
    10.45    51.08    1953   11.23    1.94    0.00   13.17 143.83  45.31  98.52 111.70
    10.45    51.08    1954   11.23    2.11    0.00   13.34 119.58  33.30  86.28  99.62
    10.45    51.08    1955   11.23    2.04    0.00   13.27 109.29  30.62  78.68  91.94
    10.45    51.08    1956   11.23    2.14    0.00   13.37 106.86  31.11  75.75  89.12
    10.45    51.08    1957   11.23    2.17    0.00   13.40 129.17  37.12  92.04 105.45
    10.45    51.08    1958   11.23    0.00    0.00   11.23 131.31 169.89 -38.58 -27.35
    10.45    51.08    1959   11.23    2.68    0.00   13.91 140.62  96.80  43.82  57.73
    10.45    51.08    1960   14.10    0.00    0.00   14.10 154.53 231.30 -76.77 -62.67
    10.45    51.08    1961   14.10    2.09    0.00   16.19 150.07  91.06  59.01  75.20
    10.45    51.08    1962   14.10    2.03    0.00   16.13 174.33  67.30 107.03 123.15
    10.45    51.08    1963   14.10    1.82    0.00   15.92 146.98  82.17  64.81  80.73
    10.45    51.08    1964   14.10    1.72    0.00   15.82 180.47  82.32  98.15 113.98
    10.45    51.08    1965   14.10    2.66    0.00   16.76 141.30  64.43  76.87  93.63
    10.45    51.08    1966   14.10    2.89    0.00   16.99 158.39  47.92 110.47 127.46
    10.45    51.08    1967   14.10    3.24    0.00   17.34 170.84  60.22 110.62 127.96
    10.45    51.08    1968   14.10    3.01    0.00   17.11 170.34  51.35 118.99 136.10
    10.45    51.08    1969   14.10    2.75    0.00   16.85 159.35  45.78 113.58 130.43
    10.45    51.08    1970   16.97    2.60    0.00   19.57 169.76  42.25 127.51 147.08
    10.45    51.08    1971   16.97    2.71    0.00   19.68 213.25  61.12 152.13 171.82
    10.45    51.08    1972   16.97    2.95    0.00   19.92 157.56  50.12 107.44 127.36
    10.45    51.08    1973   16.97    2.68    0.00   19.64 221.29  55.65 165.64 185.29
    10.45    51.08    1974   16.97    2.89    0.00   19.86 192.65  59.42 133.23 153.09
    10.45    51.08    1975   16.97    2.50    0.00   19.47 230.86  67.22 163.64 183.11
    10.45    51.08    1976   16.97    2.64    0.00   19.60 217.56  65.33 152.23 171.83
    10.45    51.08    1977   16.97    2.58    0.00   19.55 155.19  51.96 103.23 122.78
    10.45    51.08    1978   16.97    3.10    0.00   20.07 199.40  52.93 146.47 166.54
    10.45    51.08    1979   16.97    2.78    0.00   19.75 201.37  47.54 153.82 173.58
    10.45    51.08    1980   17.99    2.82    0.00   20.81 193.50  50.11 143.38 164.19
    10.45    51.08    1981   17.99    2.70    0.00   20.69 169.09  46.44 122.64 143.34
    10.45    51.08    1982   17.99    2.40    0.00   20.40 237.49  68.63 168.86 189.26
    10.45    51.08    1983   17.99    2.01    0.00   20.00 205.12  72.49 132.63 152.63
    10.45    51.08    1984   17.99    2.62    0.00   20.62 151.37  44.53 106.84 127.46
    10.45    51.08    1985   17.99    2.65    0.00   20.65 211.69  54.61 157.08 177.73
    10.45    51.08    1986   17.99    2.19    0.00   20.18 184.16  46.66 137.50 157.68
    10.45    51.08    1987   17.99    2.92    0.00   20.91 140.78  35.78 105.00 125.91
    10.45    51.08    1988   17.99    2.52    0.00   20.51 220.75  58.48 162.27 182.79
    10.45    51.08    1989   17.99    2.45    0.00   20.44 215.86  68.30 147.56 168.00
    10.45    51.08    1990   19.66    2.54    0.00   22.20 204.45  68.45 136.00 158.20
    10.45    51.08    1991   19.66    2.74    0.00   22.40 204.92  60.76 144.16 166.56
    10.45    51.08    1992   19.66    1.82    0.00   21.47 206.23  68.00 138.23 159.71
    10.45    51.08    1993   19.66    2.30    0.00   21.96 158.05  46.20 111.85 133.81
    10.45    51.08    1994   19.66    2.39    0.00   22.04 193.35  52.85 140.49 162.54
    10.45    51.08    1995   19.66    2.78    0.00   22.43 167.03  46.29 120.74 143.18
    10.45    51.08    1996   19.66    3.21    0.00   22.87 134.31  30.55 103.77 126.63
    10.45    51.08    1997   19.66    3.07    0.00   22.73 195.45  50.66 144.79 167.52
    10.45    51.08    1998   19.66    3.16    0.00   22.82 193.93  49.00 144.93 167.75
    10.45    51.08    1999   19.66    2.67    0.00   22.33 195.19  58.53 136.67 159.00
    10.45    51.08    2000   21.34    2.72    0.00   24.06 207.57  55.81 151.76 175.82
    10.45    51.08    2001   21.34    2.82    0.00   24.16 184.43  49.15 135.29 159.45
    10.45    51.08    2002   21.34    3.21    0.00   24.55 157.75  43.94 113.80 138.35
    10.45    51.08    2003   21.34    2.32    0.00   23.66 223.12  57.49 165.63 189.28
    10.45    51.08    2004   21.34    2.86    0.00   24.20 182.50  53.21 129.29 153.49
    10.45    51.08    2005   21.34    2.60    0.00   23.94 202.11  56.00 146.11 170.05
    10.45    51.08    2006   21.34    2.47    0.00   23.81 198.44  54.96 143.48 167.29
    10.45    51.08    2007   21.34    2.53    0.00   23.87 164.52  48.19 116.33 140.20
    10.45    51.08    2008   21.34    2.85    0.00   24.19 201.23  49.69 151.54 175.73
    10.45    51.08    2009   21.34    2.40    0.00   23.74 171.13  51.12 120.01 143.75
    10.45    51.08    2010   20.03    2.93    0.00   22.96 146.66  38.77 107.89 130.85
    10.45    51.08    2011   20.03    2.74    0.00   22.77 186.32  50.36 135.97 158.73
    10.45    51.08    2012   20.03    2.81    0.00   22.84 183.08  53.66 129.43 152.27
