      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    74.9    98.8     6.9   180.5
    10.45    51.08    1952   139.2   183.7    18.4   341.3
    10.45    51.08    1953    33.4    51.9     2.9    88.2
    10.45    51.08    1954    18.5   140.4     1.0   159.9
    10.45    51.08    1955    50.2   140.6    10.5   201.3
    10.45    51.08    1956   113.0   161.7    16.6   291.3
    10.45    51.08    1957     9.4   131.6     0.5   141.5
    10.45    51.08    1958    99.9   263.5    10.7   374.1
    10.45    51.08    1959    35.9   149.0     4.5   189.4
    10.45    51.08    1960    77.7   227.4     6.7   311.7
    10.45    51.08    1961   128.5   280.1    15.1   423.7
    10.45    51.08    1962     3.6    78.6     1.8    84.0
    10.45    51.08    1963     2.6    53.0     2.8    58.3
    10.45    51.08    1964    24.5    68.1     0.3    92.8
    10.45    51.08    1965    22.8    40.5     3.8    67.1
    10.45    51.08    1966    91.9   113.7     5.8   211.4
    10.45    51.08    1967     0.9    62.7     0.5    64.0
    10.45    51.08    1968    21.0    34.9     1.2    57.0
    10.45    51.08    1969    52.1    42.9     4.2    99.2
    10.45    51.08    1970    32.7    21.5     1.9    56.1
    10.45    51.08    1971     0.0     0.1     0.0     0.1
    10.45    51.08    1972    48.7     0.0     0.2    48.9
    10.45    51.08    1973     3.6     0.0     0.7     4.3
    10.45    51.08    1974    17.1     0.0     1.4    18.4
    10.45    51.08    1975     0.0     3.4     0.0     3.4
    10.45    51.08    1976     0.1     0.0     0.1     0.2
    10.45    51.08    1977    86.1     0.0     1.5    87.6
    10.45    51.08    1978     0.0    10.2     0.0    10.2
    10.45    51.08    1979    49.7     0.0     3.1    52.7
    10.45    51.08    1980     0.0     0.0     0.0     0.0
    10.45    51.08    1981    55.0     0.0     2.2    57.3
    10.45    51.08    1982    11.8     0.0     1.0    12.8
    10.45    51.08    1983    50.9     0.0     1.9    52.8
    10.45    51.08    1984    53.8     0.0     6.0    59.8
    10.45    51.08    1985     2.7     0.0     0.6     3.4
    10.45    51.08    1986    23.8     0.0     2.7    26.5
    10.45    51.08    1987   111.4     6.3     6.7   124.4
    10.45    51.08    1988    22.0    87.7     4.2   113.9
    10.45    51.08    1989     6.0     0.0     0.3     6.3
    10.45    51.08    1990     2.7     0.0     0.4     3.2
    10.45    51.08    1991     1.2     0.0     0.0     1.2
    10.45    51.08    1992    49.3     0.0     1.2    50.5
    10.45    51.08    1993    47.8     0.0     2.1    49.9
    10.45    51.08    1994    56.5    37.7     2.5    96.7
    10.45    51.08    1995    39.2    29.7     1.7    70.5
    10.45    51.08    1996    48.0    36.2     0.3    84.5
    10.45    51.08    1997    24.3    71.3     1.7    97.4
    10.45    51.08    1998    38.5     0.0     1.8    40.3
    10.45    51.08    1999     4.8    11.5     0.8    17.1
    10.45    51.08    2000    10.5     7.8     2.3    20.6
    10.45    51.08    2001    21.1     0.0     2.8    23.9
    10.45    51.08    2002   129.2    44.7     5.1   179.0
    10.45    51.08    2003     6.5    38.3     0.6    45.5
    10.45    51.08    2004    58.4     0.0     0.8    59.2
    10.45    51.08    2005     1.7     0.0     0.7     2.4
    10.45    51.08    2006     3.7     0.0     0.2     3.8
    10.45    51.08    2007   143.8     0.0     0.3   144.2
    10.45    51.08    2008     8.9     3.6     0.8    13.3
    10.45    51.08    2009    42.5     0.0     1.7    44.2
    10.45    51.08    2010   136.6    17.8     4.9   159.3
    10.45    51.08    2011    63.6    44.5     1.0   109.1
    10.45    51.08    2012     8.9     0.0     0.3     9.2
