      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.395   0.039   0.364   0.007   0.000   0.01554
    10.45    51.08    1952  -0.397   0.040   0.377   0.027   0.000   0.04654
    10.45    51.08    1953  -0.428   0.043   0.414   0.006   0.000   0.03540
    10.45    51.08    1954  -0.357   0.036   0.334   0.006   0.000   0.01865
    10.45    51.08    1955  -0.357   0.036   0.307   0.006   0.000  -0.00834
    10.45    51.08    1956  -0.371   0.037   0.294   0.006   0.000  -0.03368
    10.45    51.08    1957  -0.385   0.039   0.339   0.006   0.000  -0.00228
    10.45    51.08    1958  -0.364   0.036   0.328   0.006   0.000   0.00566
    10.45    51.08    1959  -0.453   0.045   0.384   0.035   0.000   0.01097
    10.45    51.08    1960  -0.375   0.037   0.302   0.005  -0.000  -0.03000
    10.45    51.08    1961  -0.386   0.039   0.354   0.005   0.000   0.01180
    10.45    51.08    1962  -0.389   0.039   0.302   0.005   0.000  -0.04243
    10.45    51.08    1963  -0.388   0.039   0.296   0.005   0.000  -0.04735
    10.45    51.08    1964  -0.399   0.040   0.333   0.005   0.000  -0.02153
    10.45    51.08    1965  -0.378   0.038   0.270   0.005   0.000  -0.06506
    10.45    51.08    1966  -0.406   0.041   0.293   0.005   0.000  -0.06838
    10.45    51.08    1967  -0.360   0.036   0.311   0.005   0.000  -0.00815
    10.45    51.08    1968  -0.380   0.038   0.296   0.005  -0.000  -0.04224
    10.45    51.08    1969  -0.368   0.037   0.291   0.010   0.000  -0.03013
    10.45    51.08    1970  -0.343   0.034   0.270   0.004  -0.000  -0.03412
    10.45    51.08    1971  -0.381   0.038   0.325   0.014   0.000  -0.00454
    10.45    51.08    1972  -0.356   0.036   0.242   0.004   0.000  -0.07372
    10.45    51.08    1973  -0.336   0.034   0.299   0.004  -0.000   0.00047
    10.45    51.08    1974  -0.370   0.037   0.269   0.004   0.000  -0.06045
    10.45    51.08    1975  -0.316   0.032   0.309   0.005  -0.000   0.02937
    10.45    51.08    1976  -0.347   0.035   0.319   0.010   0.000   0.01635
    10.45    51.08    1977  -0.341   0.034   0.238   0.004   0.000  -0.06450
    10.45    51.08    1978  -0.341   0.034   0.253   0.004   0.000  -0.04931
    10.45    51.08    1979  -0.314   0.031   0.261   0.004  -0.000  -0.01784
    10.45    51.08    1980  -0.315   0.032   0.259   0.004   0.000  -0.02103
    10.45    51.08    1981  -0.363   0.036   0.287   0.006   0.000  -0.03446
    10.45    51.08    1982  -0.308   0.031   0.399   0.016   0.000   0.13720
    10.45    51.08    1983  -0.359   0.036   0.343   0.006  -0.000   0.02579
    10.45    51.08    1984  -0.289   0.029   0.253   0.005  -0.000  -0.00220
    10.45    51.08    1985  -0.371   0.037   0.315   0.005   0.000  -0.01405
    10.45    51.08    1986  -0.342   0.034   0.291   0.005  -0.000  -0.01106
    10.45    51.08    1987  -0.340   0.034   0.247   0.005   0.000  -0.05404
    10.45    51.08    1988  -0.358   0.036   0.337   0.005  -0.000   0.02036
    10.45    51.08    1989  -0.377   0.038   0.417   0.007  -0.000   0.08462
    10.45    51.08    1990  -0.415   0.041   0.385   0.007  -0.061  -0.04241
    10.45    51.08    1991  -0.390   0.039   0.419   0.039  -0.001   0.10567
    10.45    51.08    1992  -0.339   0.034   0.417   0.011   0.000   0.12362
    10.45    51.08    1993  -0.389   0.039   0.348   0.007   0.000   0.00476
    10.45    51.08    1994  -0.344   0.034   0.376   0.006   0.000   0.07294
    10.45    51.08    1995  -0.323   0.032   0.333   0.006   0.000   0.04773
    10.45    51.08    1996  -0.325   0.032   0.269   0.006  -0.000  -0.01780
    10.45    51.08    1997  -0.358   0.036   0.345   0.006  -0.000   0.02847
    10.45    51.08    1998  -0.366   0.037   0.322   0.005   0.000  -0.00208
    10.45    51.08    1999  -0.383   0.038   0.338   0.005  -0.000  -0.00131
    10.45    51.08    2000  -0.357   0.036   0.339   0.005   0.000   0.02338
    10.45    51.08    2001  -0.366   0.037   0.315   0.005  -0.000  -0.00883
    10.45    51.08    2002  -0.336   0.034   0.288   0.005   0.000  -0.00886
    10.45    51.08    2003  -0.352   0.035   0.356   0.015   0.000   0.05382
    10.45    51.08    2004  -0.439   0.044   0.307   0.005   0.000  -0.08344
    10.45    51.08    2005  -0.412   0.041   0.299   0.004   0.000  -0.06761
    10.45    51.08    2006  -0.373   0.037   0.313   0.004  -0.000  -0.01819
    10.45    51.08    2007  -0.406   0.041   0.293   0.004   0.000  -0.06762
    10.45    51.08    2008  -0.389   0.039   0.327   0.004   0.000  -0.01853
    10.45    51.08    2009  -0.392   0.039   0.304   0.004   0.000  -0.04439
    10.45    51.08    2010  -0.357   0.036   0.268   0.004  -0.000  -0.04864
    10.45    51.08    2011  -0.455   0.046   0.325   0.007   0.000  -0.07793
    10.45    51.08    2012  -0.403   0.040   0.305   0.004  -0.000  -0.05350
