      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.002   1.137  11.914  26.418  33.485  37.904  30.135  20.356   8.951   1.588   0.000
    10.45    51.08    1952   0.000   0.000   0.383  15.520  29.480  36.097  40.622  31.659  12.406   6.129   0.665   0.000
    10.45    51.08    1953   0.000   0.091   4.027  23.074  33.865  28.802  35.636  31.619  20.345   9.014   0.523   0.000
    10.45    51.08    1954   0.000   0.000   1.053   8.889  31.827  35.179  25.262  27.463  17.574   8.679   1.986   0.000
    10.45    51.08    1955   0.000   0.000   0.853  10.156  28.219  31.531  28.097  24.376  17.575   7.988   1.401   0.000
    10.45    51.08    1956   0.004   0.000   0.509   6.806  31.078  25.284  30.960  25.948  18.309   7.764   0.917   0.000
    10.45    51.08    1957   0.011   0.095   6.151  17.444  26.483  39.111  31.617  27.007  14.846   7.458   0.055   0.000
    10.45    51.08    1958   0.000   0.355   0.819   7.335  27.275  30.087  35.299  31.660  20.042   8.373   1.011   0.000
    10.45    51.08    1959   0.000   0.044   4.448  18.551  29.854  35.386  39.891  27.225  23.914  10.461   0.064   0.000
    10.45    51.08    1960   0.000   0.012   1.447   9.963  25.424  37.565  32.448  25.975  15.634   6.726   1.649   0.000
    10.45    51.08    1961   0.000   0.115   4.042  13.278  19.860  31.427  27.341  24.952  20.040   8.444   0.001   0.000
    10.45    51.08    1962   0.001   0.016   0.246   7.603  19.631  32.537  27.176  27.060  17.729   7.767   1.167   0.000
    10.45    51.08    1963   0.000   0.000   0.474   8.312  25.980  28.886  34.328  24.758  16.858   6.539   1.920   0.000
    10.45    51.08    1964   0.000   0.001   0.050   7.753  29.178  38.625  35.465  26.158  18.036   5.951   0.281   0.003
    10.45    51.08    1965   0.012   0.000   0.401   7.491  21.818  28.659  26.719  26.910  15.463   7.580   0.692   0.000
    10.45    51.08    1966   0.003   0.970   2.447  11.568  29.240  31.744  25.268  24.776  15.074   7.838   0.191   0.000
    10.45    51.08    1967   0.002   0.379   3.839   8.558  26.369  26.728  36.519  24.267  13.766   8.413   1.318   0.000
    10.45    51.08    1968   0.000   0.011   1.709  12.944  21.834  29.464  31.045  23.414  13.386   6.315   0.909   0.000
    10.45    51.08    1969   0.001   0.001   0.001   4.346  23.276  28.606  34.029  25.170  16.401   7.544   2.025   0.000
    10.45    51.08    1970   0.000   0.001   0.162   3.665  19.105  33.415  29.559  22.363  17.203   5.199   1.675   0.063
    10.45    51.08    1971   0.001   0.011   0.393   8.048  23.416  22.922  36.533  29.489  16.119   8.188   1.375   0.001
    10.45    51.08    1972   0.001   0.002   1.910   8.943  20.262  28.336  26.424  21.730  12.731   6.220   1.424   0.001
    10.45    51.08    1973   0.000   0.001   0.690   3.574  22.408  27.630  27.906  28.431  15.836   6.003   1.087   0.000
    10.45    51.08    1974   0.011   0.216   3.661  13.452  19.349  23.480  23.475  22.853  15.518   3.462   0.002   0.004
    10.45    51.08    1975   0.002   0.009   0.439   6.043  21.030  22.569  29.264  28.858  15.208   4.852   0.898   0.001
    10.45    51.08    1976   0.002   0.004   0.260   7.536  23.105  29.309  32.267  24.566  11.524   6.048   1.189   0.001
    10.45    51.08    1977   0.001   0.052   3.422   8.177  22.807  19.778  24.542  16.764  12.096   6.390   1.125   0.001
    10.45    51.08    1978   0.001   0.026   1.819   8.372  18.055  23.702  24.190  20.727  10.891   6.224   0.673   0.002
    10.45    51.08    1979   0.001   0.001   0.150   4.305  18.445  25.926  21.281  21.356  14.133   6.471   0.736   0.005
    10.45    51.08    1980   0.002   0.025   0.351   4.245  18.582  24.024  19.832  23.809  13.965   5.891   0.110   0.011
    10.45    51.08    1981   0.008   0.009   3.877  10.740  19.043  21.071  20.009  18.331  12.500   5.098   0.088   0.000
    10.45    51.08    1982   0.001   0.004   0.272   6.073  18.076  23.513  24.878  22.140  15.725   5.098   1.927   0.001
    10.45    51.08    1983   0.004   0.013   1.445   8.558  15.673  23.280  28.101  21.203  12.796   5.934   1.083   0.001
    10.45    51.08    1984   0.002   0.003   0.087   4.061  12.176  19.172  20.401  18.902   9.594   5.429   1.187   0.002
    10.45    51.08    1985   0.002   0.011   0.182   7.709  19.221  18.730  25.519  19.511  12.732   5.817   0.553   0.012
    10.45    51.08    1986   0.006   0.001   0.376   3.278  19.417  22.144  23.211  20.047  10.578   6.470   1.699   0.004
    10.45    51.08    1987   0.001   0.003   0.137   7.379  15.777  16.743  22.818  16.966  11.943   5.633   0.854   0.003
    10.45    51.08    1988   0.006   0.009   0.261   6.347  21.773  19.391  23.998  22.410  11.707   5.422   0.853   0.004
    10.45    51.08    1989   0.019   0.052   2.438   6.385  20.742  19.426  19.361  17.817  10.174   5.221   0.613   0.005
    10.45    51.08    1990   0.007   0.576   4.560   7.377  19.407  14.825  18.881  17.541   6.735   4.188   0.022   0.002
    10.45    51.08    1991   0.048   0.078   5.620  17.857  24.253  35.381  48.905  35.353  25.677   9.968   0.817   0.020
    10.45    51.08    1992   0.033   0.196   2.726  12.657  37.066  31.612  37.093  32.182  18.060   4.698   0.408   0.028
    10.45    51.08    1993   0.093   0.094   3.756  17.359  30.006  28.516  28.173  26.483  12.589   5.630   0.156   0.046
    10.45    51.08    1994   0.047   0.098   3.675  11.153  23.987  28.510  34.254  24.468  13.690   5.500   1.396   0.072
    10.45    51.08    1995   0.031   0.344   1.790   8.811  20.327  19.347  28.898  26.009  10.355   6.967   0.576   0.004
    10.45    51.08    1996   0.006   0.030   0.186   6.741  13.687  22.712  20.627  18.605   7.991   4.816   1.112   0.010
    10.45    51.08    1997   0.005   0.334   3.462   8.119  18.580  22.068  19.712  21.671  14.007   4.449   0.504   0.013
    10.45    51.08    1998   0.042   0.809   3.236  10.571  21.287  21.742  18.910  19.936   9.363   3.235   0.037   0.020
    10.45    51.08    1999   0.047   0.136   2.315   9.478  20.780  21.021  22.950  19.141  15.360   4.484   0.709   0.018
    10.45    51.08    2000   0.018   0.278   2.566  11.218  23.025  23.011  15.760  21.301  10.631   5.594   0.696   0.032
    10.45    51.08    2001   0.023   0.186   1.433   7.257  23.105  18.535  25.309  20.999   8.396   6.702   0.761   0.010
    10.45    51.08    2002   0.085   0.941   4.206   9.951  17.842  22.282  19.614  18.702  11.889   3.412   0.064   0.011
    10.45    51.08    2003   0.025   0.029   1.887   9.292  19.969  28.340  23.857  26.816  13.145   3.813   0.432   0.018
    10.45    51.08    2004   0.016   0.250   3.743  12.872  17.368  21.420  22.223  22.767  14.355   6.546   0.056   0.013
    10.45    51.08    2005   0.036   0.021   2.145  11.847  20.884  24.870  24.538  17.943  15.287   7.370   1.313   0.015
    10.45    51.08    2006   0.008   0.037   0.651   8.715  22.106  26.062  32.182  15.797  17.430   6.579   1.371   0.047
    10.45    51.08    2007   0.062   0.192   1.565  14.296  22.105  24.057  22.443  20.236  10.843   5.073   0.569   0.023
    10.45    51.08    2008   0.112   0.847   3.343   8.473  22.630  24.743  23.888  19.672  10.555   5.267   0.400   0.017
    10.45    51.08    2009   0.019   0.045   0.725  13.076  19.940  18.547  23.151  23.319  12.697   3.917   0.629   0.026
    10.45    51.08    2010   0.006   0.076   2.403  12.847  13.842  26.081  27.394  16.205  10.826   5.565   0.792   0.004
    10.45    51.08    2011   0.045   0.237   3.914  16.274  24.751  23.264  20.949  18.272  14.538   6.685   0.424   0.043
    10.45    51.08    2012   0.042   0.098   4.615   9.961  23.993  19.790  22.790  23.680  13.802   6.174   0.621   0.032
