      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   6.115  12.717  22.276  20.863  10.803  53.192  27.963  35.118  16.027   5.980   7.026   6.217
    10.45    51.08    1952   4.367   3.336  27.213  35.067  36.374  20.991   8.553   4.715  22.217  16.590   8.159   3.927
    10.45    51.08    1953   0.147   5.288  23.457  12.331  12.216  27.068  33.660  17.613   5.621   4.090   4.959   3.119
    10.45    51.08    1954   4.484   9.897  20.463  26.460  16.786  14.129  33.506  31.205  15.743  13.070   5.281   4.955
    10.45    51.08    1955   0.729   6.046  10.398  30.845  17.291  19.883  34.542  38.666  17.067   7.539   5.542   5.564
    10.45    51.08    1956   6.447   0.000  21.988  29.935  27.068  38.477  51.752  28.869  13.039   8.582   5.312   4.037
    10.45    51.08    1957   6.870  12.349  21.111  17.016  17.312  26.037  32.552  27.546  13.431  15.288   9.260   4.890
    10.45    51.08    1958   7.567  11.115   9.599  27.774  32.180  36.404  37.783  27.814  12.886  12.096   7.099   5.850
    10.45    51.08    1959   7.744   9.701  15.118  18.287  18.316  26.624   4.870  20.760   6.321   1.317   7.993   4.751
    10.45    51.08    1960   4.917  11.305  17.584  17.522  31.454  22.152  11.157  21.303  20.900  15.764   7.935   2.104
    10.45    51.08    1961   1.411  15.335  16.417  30.646  39.640  46.782  10.835  16.154   9.029   2.453   3.174   4.421
    10.45    51.08    1962   7.467  11.934   9.499  28.676  21.249  11.729  21.365  11.666  11.995   3.736   1.063   2.139
    10.45    51.08    1963   0.000   0.000  20.030  29.508  19.449  25.360  31.778  36.957  13.450  10.724   6.611   4.566
    10.45    51.08    1964   3.484  12.143  14.696  29.041  41.277  24.536  19.924  18.467   9.334   5.320   4.309   3.441
    10.45    51.08    1965   6.145   0.000  14.409  25.260  30.334  39.962  23.558  23.471  14.635   5.511   1.833   5.503
    10.45    51.08    1966   4.385  10.103  18.767  26.286  21.936  28.622  51.524  29.772  18.552   7.196   8.241   5.693
    10.45    51.08    1967   6.576  11.291  21.900  21.779  19.986  43.214  27.350  20.959  23.713  12.603   5.016   4.187
    10.45    51.08    1968   4.576  11.737  26.113  21.398  26.541  22.122  15.434  15.794  17.720  15.277   6.678   3.047
    10.45    51.08    1969   5.193   3.095   0.000  33.946  44.165  48.633  18.795  10.935  26.786   6.908   4.021   1.455
    10.45    51.08    1970   0.000   2.539  14.180  36.151  34.782  19.927  18.755  43.120  16.791   9.621   7.272   4.644
    10.45    51.08    1971   3.237   8.781  13.971  19.385  21.935  26.189  12.147   5.361   6.229   7.791   4.876   5.559
    10.45    51.08    1972   3.772   7.931  27.020  20.791  29.699  40.663  33.603  48.585  14.256   5.772   5.039   5.311
    10.45    51.08    1973   5.325   9.810  22.954  20.111  24.664  16.066  15.430  14.663  16.429  14.517   8.328   5.475
