      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.007   0.009   0.091   0.337   1.556   5.819   1.940   3.079   1.618   0.391   0.712   0.005
    10.45    51.08    1952   0.012   0.008   0.157   0.952   2.976   1.800   0.884   1.548   3.676   2.243   1.032   0.008
    10.45    51.08    1953   0.010   0.010   0.028   0.577   1.957   4.289   2.454   1.757   0.877   0.853   0.002   0.007
    10.45    51.08    1954   0.011   0.010   0.030   0.595   1.073   1.885   4.698   2.928   1.902   1.370   0.432   0.011
    10.45    51.08    1955   0.009   0.016   0.029   0.457   1.669   2.457   3.758   2.216   1.860   0.835   0.120   0.012
    10.45    51.08    1956   0.010   0.010   0.015   0.820   1.465   4.839   5.554   3.505   1.010   1.752   0.573   0.008
    10.45    51.08    1957   0.013   0.035   0.458   0.637   1.939   2.729   3.736   1.966   2.445   0.608   0.009   0.008
    10.45    51.08    1958   0.012   0.234   0.522   0.491   2.996   2.274   2.752   3.174   1.984   1.237   0.590   0.011
    10.45    51.08    1959   0.012   0.004   0.221   1.280   2.092   1.959   0.684   1.999   0.024   0.764   0.022   0.007
    10.45    51.08    1960   0.017   0.009   0.066   0.720   2.350   1.318   2.159   3.024   1.587   2.070   0.683   0.011
    10.45    51.08    1961   0.011   0.019   0.323   2.732   4.138   3.143   2.070   1.791   1.025   0.627   0.010   0.013
    10.45    51.08    1962   0.014   0.017   0.034   0.378   2.057   0.691   2.856   1.405   1.050   0.337   0.130   0.010
    10.45    51.08    1963   0.012   0.009   0.068   0.482   1.246   3.721   1.528   4.320   1.590   0.999   0.952   0.004
    10.45    51.08    1964   0.006   0.017   0.023   0.924   2.483   1.831   1.608   1.719   1.067   0.906   0.088   0.007
    10.45    51.08    1965   0.018   0.017   0.025   0.807   1.123   3.356   2.609   1.701   1.654   0.381   0.453   0.017
    10.45    51.08    1966   0.013   0.036   0.295   1.344   2.172   3.790   3.213   2.434   0.874   1.384   0.178   0.019
    10.45    51.08    1967   0.013   0.029   0.372   0.415   1.759   3.695   2.039   2.558   2.316   1.068   0.244   0.014
    10.45    51.08    1968   0.014   0.027   0.040   1.430   1.651   2.753   1.757   2.269   1.996   1.204   0.241   0.010
    10.45    51.08    1969   0.012   0.026   0.028   0.641   3.071   3.367   0.459   3.201   1.001   0.413   0.657   0.008
    10.45    51.08    1970   0.009   0.030   0.024   0.319   2.777   1.892   1.882   3.838   0.823   1.587   0.859   0.086
    10.45    51.08    1971   0.007   0.019   0.037   0.800   1.467   2.950   0.568   1.691   1.048   0.851   0.373   0.011
    10.45    51.08    1972   0.006   0.002   0.095   0.573   2.482   3.014   2.797   3.266   1.045   0.647   0.460   0.002
    10.45    51.08    1973   0.012   0.026   0.012   0.222   1.476   1.779   2.593   0.919   1.638   1.149   0.287   0.012
    10.45    51.08    1974   0.012   0.095   0.232   0.479   2.347   3.672   2.979   1.981   1.179   1.690   0.011   0.026
    10.45    51.08    1975   0.009   0.015   0.057   0.311   1.893   2.920   1.307   1.540   1.106   1.014   0.149   0.007
    10.45    51.08    1976   0.033   0.009   0.023   0.329   1.585   1.548   1.027   1.392   1.210   0.817   0.418   0.011
    10.45    51.08    1977   0.017   0.028   0.465   0.481   1.125   2.856   2.201   4.196   1.233   0.867   0.627   0.019
    10.45    51.08    1978   0.012   0.020   0.093   0.248   2.051   1.016   2.074   2.319   2.241   0.678   0.003   0.021
    10.45    51.08    1979   0.019   0.026   0.108   0.374   1.326   2.622   2.297   0.993   1.583   0.320   0.699   0.022
    10.45    51.08    1980   0.025   0.027   0.036   0.571   0.964   2.457   2.195   0.763   1.936   0.697   0.117   0.022
    10.45    51.08    1981   0.039   0.026   0.370   0.601   2.376   2.127   1.291   2.736   1.071   0.979   0.036   0.027
    10.45    51.08    1982   0.021   0.006   0.032   0.285   0.949   1.681   1.736   0.664   0.420   1.158   0.389   0.018
    10.45    51.08    1983   0.036   0.025   0.189   1.246   3.371   1.034   1.169   1.490   1.810   0.175   0.098   0.016
    10.45    51.08    1984   0.038   0.045   0.005   0.168   3.764   1.770   1.923   1.953   1.604   1.623   0.064   0.015
