      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.013   0.013   0.129   0.747   2.280   2.550   2.550   2.550   2.550   2.550   1.686   0.013
    10.45    51.08    1952   0.014   0.014   0.063   1.253   2.573   2.573   2.573   2.573   2.573   2.573   1.008   0.014
    10.45    51.08    1953   0.014   0.020   0.240   1.721   2.591   2.591   2.591   2.591   2.591   2.591   0.346   0.014
    10.45    51.08    1954   0.015   0.015   0.078   0.654   2.145   2.632   2.632   2.632   2.632   2.632   2.097   0.015
    10.45    51.08    1955   0.016   0.016   0.081   0.703   2.420   2.614   2.614   2.614   2.614   2.614   1.661   0.016
    10.45    51.08    1956   0.017   0.016   0.044   0.549   2.115   2.599   2.599   2.599   2.599   2.599   1.652   0.016
    10.45    51.08    1957   0.027   0.040   0.537   1.693   2.582   2.595   2.595   2.595   2.595   2.563   0.086   0.016
    10.45    51.08    1958   0.017   0.148   0.417   0.682   2.245   2.600   2.600   2.600   2.600   2.600   1.454   0.017
    10.45    51.08    1959   0.017   0.021   0.442   1.720   2.588   2.588   2.588   2.588   2.588   2.578   0.162   0.017
    10.45    51.08    1960   0.017   0.018   0.192   0.874   2.221   2.627   2.627   2.627   2.627   2.627   1.731   0.017
    10.45    51.08    1961   0.018   0.023   0.489   1.784   2.579   2.579   2.579   2.579   2.579   2.557   0.018   0.018
    10.45    51.08    1962   0.018   0.022   0.047   0.550   2.188   2.586   2.586   2.586   2.586   2.586   1.302   0.018
    10.45    51.08    1963   0.019   0.019   0.060   0.667   2.262   2.593   2.593   2.593   2.593   2.593   1.907   0.019
    10.45    51.08    1964   0.019   0.019   0.022   0.569   2.355   2.595   2.595   2.595   2.595   2.595   0.620   0.027
    10.45    51.08    1965   0.034   0.019   0.041   0.621   1.918   2.605   2.605   2.605   2.605   2.605   1.226   0.019
    10.45    51.08    1966   0.023   0.131   0.509   1.184   2.556   2.603   2.603   2.603   2.603   2.603   0.595   0.020
    10.45    51.08    1967   0.021   0.079   0.394   0.814   2.166   2.618   2.618   2.618   2.618   2.618   1.559   0.020
    10.45    51.08    1968   0.022   0.023   0.117   1.266   2.586   2.600   2.600   2.600   2.600   2.600   0.959   0.022
    10.45    51.08    1969   0.022   0.022   0.022   0.420   2.116   2.597   2.597   2.597   2.597   2.597   2.426   0.022
    10.45    51.08    1970   0.022   0.022   0.034   0.304   1.869   2.584   2.584   2.584   2.584   2.584   2.584   0.180
    10.45    51.08    1971   0.022   0.022   0.066   0.673   2.138   2.555   2.555   2.555   2.555   2.555   1.795   0.022
    10.45    51.08    1972   0.024   0.023   0.157   0.918   2.225   2.557   2.557   2.557   2.557   2.557   1.543   0.023
    10.45    51.08    1973   0.024   0.024   0.068   0.363   1.804   2.542   2.542   2.542   2.542   2.542   1.367   0.024
    10.45    51.08    1974   0.027   0.117   0.393   1.463   2.344   2.486   2.486   2.486   2.486   2.486   0.025   0.028
    10.45    51.08    1975   0.027   0.028   0.079   0.468   2.062   2.489   2.489   2.489   2.489   2.489   1.094   0.027
    10.45    51.08    1976   0.028   0.028   0.045   0.743   2.088   2.453   2.453   2.453   2.453   2.453   1.645   0.028
    10.45    51.08    1977   0.029   0.031   0.474   1.029   2.226   2.439   2.439   2.439   2.439   2.439   0.901   0.029
    10.45    51.08    1978   0.030   0.031   0.203   0.786   1.988   2.426   2.426   2.426   2.426   2.426   1.148   0.030
    10.45    51.08    1979   0.036   0.032   0.044   0.402   1.535   2.415   2.415   2.415   2.415   2.415   1.065   0.036
    10.45    51.08    1980   0.042   0.035   0.055   0.454   1.399   2.309   2.309   2.309   2.309   2.309   0.565   0.048
    10.45    51.08    1981   0.064   0.039   0.400   1.625   2.223   2.288   2.288   2.288   2.288   2.288   0.109   0.038
    10.45    51.08    1982   0.039   0.039   0.054   0.557   1.634   2.297   2.297   2.297   2.297   2.297   2.218   0.039
    10.45    51.08    1983   0.042   0.046   0.206   0.827   2.174   2.278   2.278   2.278   2.278   2.278   1.149   0.042
    10.45    51.08    1984   0.044   0.044   0.049   0.332   1.641   2.294   2.294   2.294   2.294   2.294   1.544   0.044
    10.45    51.08    1985   0.047   0.046   0.055   0.827   1.898   2.265   2.265   2.265   2.265   2.265   0.860   0.048
    10.45    51.08    1986   0.053   0.049   0.068   0.318   1.987   2.290   2.290   2.290   2.290   2.290   2.062   0.049
    10.45    51.08    1987   0.050   0.050   0.057   0.590   2.068   2.292   2.292   2.292   2.292   2.292   1.694   0.050
    10.45    51.08    1988   0.053   0.053   0.066   0.546   2.044   2.295   2.295   2.295   2.295   2.295   1.623   0.053
    10.45    51.08    1989   0.057   0.058   0.226   0.907   1.682   1.774   1.774   1.774   1.774   1.774   0.622   0.057
    10.45    51.08    1990   0.179   0.272   1.157   1.930   2.424   2.429   2.429   2.429   2.429   2.058   0.620   0.066
    10.45    51.08    1991   0.097   0.080   0.596   1.686   2.314   2.478   2.478   2.478   2.478   2.478   0.772   0.087
    10.45    51.08    1992   0.101   0.099   0.323   0.801   2.122   2.356   2.356   2.356   2.356   2.356   0.362   0.108
    10.45    51.08    1993   0.118   0.159   0.457   1.265   2.254   2.254   2.254   2.254   2.254   2.254   0.593   0.112
    10.45    51.08    1994   0.114   0.108   0.411   1.068   2.201   2.234   2.234   2.234   2.234   2.234   0.913   0.185
    10.45    51.08    1995   0.116   0.132   0.269   0.893   2.084   2.186   2.186   2.186   2.186   2.186   1.207   0.111
    10.45    51.08    1996   0.116   0.115   0.123   0.546   1.945   2.150   2.150   2.150   2.150   2.150   1.681   0.116
    10.45    51.08    1997   0.120   0.141   0.527   0.922   1.934   2.138   2.138   2.138   2.138   2.138   0.726   0.122
    10.45    51.08    1998   0.132   0.223   0.693   1.561   2.169   2.169   2.169   2.169   2.169   1.896   0.138   0.131
    10.45    51.08    1999   0.138   0.145   0.349   1.142   2.144   2.200   2.200   2.200   2.200   2.200   0.814   0.137
    10.45    51.08    2000   0.144   0.157   0.425   1.104   2.241   2.241   2.241   2.241   2.241   2.241   0.763   0.147
    10.45    51.08    2001   0.153   0.161   0.361   0.994   2.126   2.262   2.262   2.262   2.262   2.262   1.113   0.154
    10.45    51.08    2002   0.157   0.421   0.953   1.546   2.266   2.284   2.284   2.284   2.284   1.771   0.157   0.156
    10.45    51.08    2003   0.160   0.160   0.259   0.914   2.246   2.286   2.286   2.286   2.286   2.286   0.444   0.160
    10.45    51.08    2004   0.165   0.251   0.655   1.453   2.296   2.296   2.296   2.296   2.296   2.281   0.165   0.165
    10.45    51.08    2005   0.174   0.174   0.320   1.278   2.352   2.369   2.369   2.369   2.369   2.369   0.902   0.174
    10.45    51.08    2006   0.182   0.182   0.214   0.916   2.277   2.414   2.414   2.414   2.414   2.414   1.521   0.182
    10.45    51.08    2007   0.185   0.186   0.215   1.136   2.390   2.396   2.396   2.396   2.396   2.396   1.182   0.185
    10.45    51.08    2008   0.205   0.286   0.687   1.157   2.309   2.427   2.427   2.427   2.427   2.427   0.783   0.203
    10.45    51.08    2009   0.210   0.210   0.236   1.384   2.452   2.452   2.452   2.452   2.452   2.452   0.957   0.210
    10.45    51.08    2010   0.217   0.217   0.375   1.330   2.436   2.478   2.478   2.478   2.478   2.478   0.965   0.217
