      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.021  -0.017  -0.017  -0.015   0.039   0.058   0.031   0.015  -0.004  -0.001  -0.020  -0.019
    10.45    51.08    1952  -0.016  -0.008  -0.020  -0.009   0.065   0.049  -0.013  -0.018   0.012   0.000  -0.014  -0.009
    10.45    51.08    1953  -0.009  -0.011  -0.023   0.025   0.033   0.025   0.018   0.016   0.003  -0.014  -0.026  -0.023
    10.45    51.08    1954  -0.008  -0.004  -0.024  -0.014   0.044   0.021   0.035   0.020  -0.003  -0.002  -0.019  -0.021
    10.45    51.08    1955  -0.008  -0.009  -0.011  -0.014   0.048   0.048   0.013   0.014   0.004  -0.005  -0.015  -0.017
    10.45    51.08    1956  -0.017  -0.001  -0.016  -0.016   0.044   0.041   0.036   0.037   0.014  -0.010  -0.015  -0.020
    10.45    51.08    1957  -0.012  -0.024  -0.020   0.020   0.056   0.032  -0.008   0.030   0.011   0.000  -0.026  -0.012
    10.45    51.08    1958  -0.015  -0.020  -0.009  -0.008   0.035   0.042   0.031   0.021   0.002  -0.007  -0.018  -0.018
    10.45    51.08    1959  -0.016  -0.009  -0.024   0.013   0.061   0.044  -0.011   0.004   0.032   0.006  -0.019  -0.014
    10.45    51.08    1960  -0.015  -0.010  -0.021  -0.015   0.044   0.042   0.044   0.025   0.013  -0.002  -0.019  -0.014
    10.45    51.08    1961  -0.009  -0.021  -0.028   0.013   0.053   0.056   0.014   0.026  -0.012  -0.022  -0.024  -0.014
    10.45    51.08    1962  -0.018  -0.012  -0.008  -0.023   0.040   0.049   0.045   0.022   0.022  -0.010  -0.013  -0.007
    10.45    51.08    1963  -0.002  -0.003  -0.016  -0.015   0.045   0.041   0.030   0.026   0.014  -0.003  -0.017  -0.007
    10.45    51.08    1964  -0.005  -0.010  -0.011  -0.017   0.062   0.037   0.024   0.019   0.011  -0.007  -0.023  -0.015
    10.45    51.08    1965  -0.015  -0.006  -0.014  -0.020   0.040   0.055   0.033   0.046   0.023  -0.006  -0.013  -0.016
    10.45    51.08    1966  -0.009  -0.017  -0.019   0.003   0.062   0.038   0.051   0.033   0.016  -0.015  -0.015  -0.015
    10.45    51.08    1967  -0.015  -0.019  -0.022  -0.010   0.041   0.057   0.032   0.014   0.011  -0.010  -0.017  -0.012
