      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.010  -0.009  -0.009   0.009   0.087   0.105   0.098   0.072   0.050   0.023  -0.007  -0.011
    10.45    51.08    1952  -0.008  -0.007  -0.011   0.023   0.108   0.108   0.081   0.063   0.040   0.014  -0.006  -0.008
    10.45    51.08    1953  -0.007  -0.008  -0.007   0.064   0.091   0.082   0.081   0.080   0.056   0.021  -0.012  -0.013
    10.45    51.08    1954  -0.006  -0.004  -0.012   0.004   0.091   0.091   0.082   0.069   0.042   0.021  -0.006  -0.014
    10.45    51.08    1955  -0.006  -0.006  -0.008   0.004   0.093   0.099   0.071   0.059   0.048   0.020  -0.006  -0.012
    10.45    51.08    1956  -0.009  -0.001  -0.011   0.000   0.088   0.086   0.083   0.084   0.055   0.017  -0.007  -0.013
    10.45    51.08    1957  -0.009  -0.013  -0.001   0.045   0.093   0.094   0.060   0.077   0.044   0.018  -0.015  -0.009
    10.45    51.08    1958  -0.009  -0.011  -0.006   0.004   0.078   0.090   0.090   0.079   0.052   0.019  -0.009  -0.013
    10.45    51.08    1959  -0.009  -0.007  -0.006   0.044   0.107   0.096   0.075   0.063   0.079   0.033  -0.012  -0.010
    10.45    51.08    1960  -0.010  -0.007  -0.011   0.008   0.078   0.101   0.102   0.072   0.046   0.015  -0.008  -0.009
    10.45    51.08    1961  -0.007  -0.013  -0.007   0.038   0.081   0.098   0.080   0.075   0.045   0.019  -0.013  -0.010
    10.45    51.08    1962  -0.012  -0.007  -0.008  -0.003   0.073   0.105   0.094   0.082   0.059   0.017  -0.005  -0.006
    10.45    51.08    1963  -0.002  -0.003  -0.012   0.005   0.085   0.095   0.091   0.072   0.052   0.016  -0.006  -0.005
    10.45    51.08    1964  -0.005  -0.007  -0.009   0.002   0.103   0.109   0.090   0.073   0.056   0.012  -0.015  -0.010
