      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   5.617  10.827  23.618  65.894  87.713 115.842 121.706 100.350  67.624  32.095  10.337   4.959
    10.45    51.08    1952   5.313   8.959  22.408  69.908  97.581 116.265 132.779 102.531  47.879  26.727   8.813   3.962
    10.45    51.08    1953   4.643   9.667  39.614  77.178 111.081  99.972 117.476 102.562  66.318  32.144   8.621   4.954
    10.45    51.08    1954   4.670   8.365  26.327  52.597 105.064 115.066  89.359  92.292  60.278  32.103  11.241   4.773
    10.45    51.08    1955   5.438   8.868  22.265  55.361  95.146 104.952  97.839  82.933  60.404  30.060   8.890   4.699
    10.45    51.08    1956   5.873   5.612  25.347  46.410 106.890  90.822 109.804  89.529  61.248  31.033   8.519   4.692
    10.45    51.08    1957   5.842  11.599  35.146  64.239  91.240 134.680 113.559  90.688  53.953  28.516   8.105   4.399
    10.45    51.08    1958   5.769  12.257  20.058  44.083  98.062 102.870 119.446 107.593  68.891  31.797   8.619   4.763
    10.45    51.08    1959   6.209  10.521  31.803  69.661 100.851 121.292 135.053  93.335  77.249  37.761   7.889   4.409
    10.45    51.08    1960   5.327   9.706  22.598  55.001  94.417 127.864 109.590  90.926  55.575  28.511  11.267   4.413
    10.45    51.08    1961   5.047  14.534  33.136  56.778  79.613 118.572 103.564  91.430  73.055  33.711   7.522   4.442
    10.45    51.08    1962   6.412  10.068  22.606  54.637  77.374 116.706 101.487  97.956  65.184  31.280   9.089   4.079
    10.45    51.08    1963   3.607   7.160  24.203  53.105  96.780 110.342 125.236  96.665  63.509  28.537  12.351   3.975
    10.45    51.08    1964   5.114  11.185  19.177  55.741 109.334 142.475 131.296  96.800  67.140  26.933   7.651   4.525
    10.45    51.08    1965   5.929   8.463  23.184  51.941  88.442 110.914 102.347  99.413  59.869  31.702   7.704   4.704
    10.45    51.08    1966   4.859  12.666  27.149  54.862 109.125 124.357  98.113  94.387  57.500  33.278   7.717   4.608
    10.45    51.08    1967   6.112  12.852  33.052  51.506 106.155 104.673 137.234  93.454  55.951  34.758  10.155   4.411
    10.45    51.08    1968   5.213  10.386  32.148  71.861  85.019 112.908 118.603  90.933  54.557  28.498   9.510   3.640
    10.45    51.08    1969   5.872   9.144  16.905  51.041  96.075 113.305 128.587  99.507  63.348  30.923  12.003   3.181
    10.45    51.08    1970   4.779   9.229  22.919  41.150  84.897 130.835 115.238  91.370  66.413  25.846  11.252   4.655
    10.45    51.08    1971   6.107  10.352  21.753  57.862  96.755  93.295 140.097 114.369  63.733  36.218   9.973   5.131
    10.45    51.08    1972   4.960  10.402  34.547  49.647  86.237 113.611 108.307  89.732  52.599  29.731  10.796   5.224
    10.45    51.08    1973   5.636  11.083  28.141  42.705  95.814 111.278 114.060 110.348  65.147  29.547  10.460   4.657
    10.45    51.08    1974   6.834  11.154  30.845  64.953  85.178 102.511 101.370  96.960  66.076  22.181   8.468   5.668
    10.45    51.08    1975   7.630  11.773  27.170  53.638  93.050  98.506 122.926 119.741  65.082  26.108   9.289   4.591
    10.45    51.08    1976   5.862  10.443  24.669  57.801 106.913 126.401 140.195 103.009  51.668  29.637  10.416   4.750
    10.45    51.08    1977   6.115  12.645  30.854  50.575  97.736  89.852 108.289  79.784  55.040  31.121  11.612   4.965
    10.45    51.08    1978   6.087   9.701  29.865  54.889  83.679 102.567 105.628  91.881  51.902  30.386  10.011   4.478
    10.45    51.08    1979   4.850   8.903  25.373  46.245  99.211 114.904  95.048  92.063  63.725  32.191  10.146   5.575
    10.45    51.08    1980   5.070  12.783  21.299  49.021  98.931 106.925  89.525 101.948  63.721  29.628   8.031   4.703
    10.45    51.08    1981   6.094   9.823  34.229  61.468  96.284 104.019  98.118  92.347  61.990  29.629   9.802   4.050
    10.45    51.08    1982   5.541  11.904  31.686  62.414 100.568 119.424 124.964 107.130  76.437  29.259  13.398   4.962
    10.45    51.08    1983   7.665  10.326  28.900  59.251  83.944 116.601 141.151 105.226  66.041  32.283  10.801   4.751
    10.45    51.08    1984   6.590  10.317  26.031  60.914  73.981  97.212 105.034  95.651  51.519  31.959  11.626   5.448
    10.45    51.08    1985   5.095  10.464  23.325  59.716  98.876  97.358 128.158  98.437  63.904  32.662   8.958   5.995
    10.45    51.08    1986   6.311   7.165  27.797  44.006 104.981 115.817 117.193 101.619  55.084  34.892  12.786   5.946
    10.45    51.08    1987   4.463   9.983  23.203  65.630  83.459  91.342 118.090  87.892  63.130  31.883   9.923   5.082
    10.45    51.08    1988   7.738  11.706  23.157  63.690 108.191  98.975 121.647 109.402  59.530  29.888  10.400   5.536
    10.45    51.08    1989   8.872  13.854  40.148  51.244 124.046 118.293 118.357 105.948  63.304  34.297  12.452   6.120
    10.45    51.08    1990   5.697  15.295  35.883  53.901 114.718  94.225 113.861 107.720  46.110  33.267   7.770   3.863
    10.45    51.08    1991   5.142   9.172  29.259  56.259  70.527  97.635 132.655  97.257  70.014  31.907   8.123   3.745
    10.45    51.08    1992   5.090  10.321  26.864  56.336 115.919 104.756 120.396 103.423  59.260  22.401   9.061   4.477
    10.45    51.08    1993   6.618   9.049  30.879  70.873 111.026 107.599 108.735  98.184  50.776  26.866   6.636   4.932
    10.45    51.08    1994   6.752  10.680  31.820  57.346 100.033 118.389 145.302 103.177  58.862  28.731  11.894   5.890
    10.45    51.08    1995   6.744  14.429  30.546  56.367  96.057  94.462 139.449 117.975  51.780  34.244   9.362   3.995
    10.45    51.08    1996   5.015  11.246  22.960  67.201  76.088 118.914 105.278  94.696  43.762  28.627  10.589   4.524
    10.45    51.08    1997   5.658  14.895  34.226  60.280  99.516 116.603 106.922 112.496  71.720  29.916   9.855   5.148
    10.45    51.08    1998   7.911  15.956  33.267  61.918 108.901 114.638 102.107 102.489  52.686  25.462   8.577   5.656
    10.45    51.08    1999   8.094  12.285  31.446  60.880 109.082 110.439 122.039  99.722  78.502  27.975   9.746   5.662
    10.45    51.08    2000   7.034  15.061  30.790  70.166 115.599 124.166  84.487 108.474  58.407  31.855  11.830   6.478
    10.45    51.08    2001   7.191  13.369  24.588  52.795 115.737  98.559 130.579 104.941  47.410  36.507  11.115   4.785
    10.45    51.08    2002   7.797  16.247  34.079  59.360  92.755 115.043 102.494  97.591  61.054  27.710  10.003   4.797
    10.45    51.08    2003   6.855  11.106  37.363  72.075 101.874 144.142 121.718 131.885  66.964  26.352  11.757   5.987
    10.45    51.08    2004   6.629  12.337  34.423  70.921  90.012 108.030 111.960 112.619  71.387  35.341   9.470   5.345
    10.45    51.08    2005   7.581  10.485  33.416  69.762 105.052 124.905 122.552  89.220  76.367  37.588  12.922   5.312
    10.45    51.08    2006   6.052  10.532  25.578  60.920 107.417 129.788 161.764  82.094  80.843  35.470  13.302   6.814
    10.45    51.08    2007   8.383  14.894  39.767  89.512 113.807 123.954 119.031 102.252  57.806  28.898  10.043   5.374
    10.45    51.08    2008   8.757  16.274  33.324  55.142 110.395 126.398 122.906  98.579  55.655  31.620   9.470   4.952
    10.45    51.08    2009   6.215  11.023  26.996  83.269 101.360  94.078 118.020 111.762  64.878  26.135  11.961   5.208
    10.45    51.08    2010   4.784  10.737  33.742  71.143  74.594 125.937 143.133  86.951  55.098  30.911  10.597   3.782
    10.45    51.08    2011   7.086  12.770  41.747  81.671 116.440 118.128 104.608  94.335  70.885  37.159  12.056   6.022
    10.45    51.08    2012   7.224  10.657  43.647  55.938 111.921  99.513 114.815 111.913  65.658  32.692  10.492   5.459
