      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.990   1.000   1.000   0.996   0.988   0.987   0.980   0.989   0.985   0.986   0.999   1.000
    10.45    51.08    1952   1.000   1.000   0.997   0.981   0.991   0.973   0.896   0.799   0.895   0.998   0.999   0.999
    10.45    51.08    1953   1.000   0.999   0.997   0.985   0.937   0.928   0.973   0.972   0.932   0.924   0.965   0.991
    10.45    51.08    1954   0.999   0.999   1.000   0.998   0.974   0.918   0.951   0.993   0.994   0.996   1.000   1.000
    10.45    51.08    1955   1.000   0.997   0.997   0.997   0.992   0.979   0.986   0.983   0.985   0.995   1.000   1.000
    10.45    51.08    1956   1.000   1.000   0.999   0.997   0.988   0.986   0.991   0.994   0.994   0.997   1.000   1.000
    10.45    51.08    1957   1.000   1.000   0.999   0.993   0.984   0.957   0.953   0.986   0.997   0.996   0.999   1.000
    10.45    51.08    1958   1.000   1.000   0.996   0.997   0.995   0.969   0.968   0.961   0.970   0.995   0.999   1.000
    10.45    51.08    1959   1.000   1.000   0.999   0.995   0.977   0.967   0.899   0.837   0.784   0.737   0.851   0.938
    10.45    51.08    1960   1.000   1.000   1.000   0.997   0.990   0.964   0.911   0.921   0.984   0.998   1.000   1.000
    10.45    51.08    1961   1.000   1.000   0.999   0.997   0.995   0.986   0.933   0.942   0.942   0.924   0.959   0.999
    10.45    51.08    1962   1.000   1.000   0.997   0.998   0.997   0.959   0.928   0.904   0.897   0.898   0.909   0.972
    10.45    51.08    1963   1.000   1.000   0.998   0.998   0.992   0.981   0.971   0.970   0.980   0.998   1.000   1.000
    10.45    51.08    1964   1.000   1.000   1.000   0.998   0.988   0.944   0.869   0.836   0.818   0.836   0.897   0.964
    10.45    51.08    1965   0.999   1.000   0.999   0.999   0.995   0.984   0.981   0.986   0.991   0.997   0.999   1.000
    10.45    51.08    1966   1.000   0.997   0.999   0.999   0.983   0.967   0.988   0.983   0.995   0.990   0.999   1.000
    10.45    51.08    1967   1.000   1.000   0.999   0.998   0.983   0.994   0.967   0.949   0.988   0.998   0.999   1.000
    10.45    51.08    1968   1.000   0.999   0.999   0.995   0.994   0.989   0.960   0.952   0.995   0.996   0.999   1.000
    10.45    51.08    1969   1.000   1.000   1.000   0.999   0.994   0.979   0.953   0.890   0.949   0.967   0.997   1.000
    10.45    51.08    1970   1.000   1.000   1.000   0.999   0.997   0.973   0.960   0.987   0.985   0.996   1.000   1.000
    10.45    51.08    1971   1.000   1.000   1.000   0.997   0.986   0.995   0.948   0.857   0.822   0.832   0.889   0.991
    10.45    51.08    1972   1.000   1.000   0.997   0.999   0.994   0.991   0.989   0.991   0.992   0.993   0.999   1.000
    10.45    51.08    1973   1.000   1.000   1.000   0.999   0.992   0.972   0.934   0.936   0.909   0.974   0.999   1.000
    10.45    51.08    1974   1.000   1.000   0.999   0.985   0.994   0.995   0.996   0.977   0.987   0.998   1.000   1.000
    10.45    51.08    1975   1.000   1.000   1.000   0.998   0.991   0.978   0.975   0.919   0.916   0.965   0.999   1.000
    10.45    51.08    1976   1.000   1.000   1.000   0.997   0.985   0.959   0.864   0.817   0.785   0.817   0.890   0.985
