      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.836   0.855   0.818   0.548   0.400   0.762   0.553   0.680   0.555   0.528   0.851   0.904
    10.45    51.08    1952   0.909   0.926   0.909   0.748   0.704   0.492   0.272   0.232   0.785   0.922   0.921   0.938
    10.45    51.08    1953   0.918   0.944   0.716   0.437   0.374   0.557   0.618   0.481   0.339   0.426   0.655   0.637
    10.45    51.08    1954   0.810   0.873   0.742   0.669   0.450   0.399   0.680   0.682   0.601   0.745   0.733   0.810
    10.45    51.08    1955   0.941   0.928   0.918   0.728   0.485   0.494   0.673   0.796   0.627   0.590   0.807   0.863
    10.45    51.08    1956   0.907   0.864   0.826   0.723   0.578   0.749   0.803   0.653   0.540   0.625   0.797   0.804
    10.45    51.08    1957   0.895   0.836   0.731   0.557   0.480   0.503   0.635   0.636   0.586   0.848   0.883   0.894
    10.45    51.08    1958   0.924   0.838   0.904   0.747   0.640   0.686   0.643   0.579   0.512   0.750   0.918   0.892
    10.45    51.08    1959   0.909   0.803   0.624   0.555   0.498   0.546   0.196   0.464   0.320   0.208   0.824   0.843
    10.45    51.08    1960   0.895   0.886   0.763   0.540   0.641   0.482   0.356   0.556   0.719   0.888   0.866   0.893
    10.45    51.08    1961   0.939   0.874   0.644   0.773   0.813   0.739   0.374   0.486   0.405   0.310   0.539   0.834
    10.45    51.08    1962   0.895   0.894   0.910   0.691   0.572   0.363   0.479   0.395   0.488   0.389   0.389   0.619
    10.45    51.08    1963   0.709   0.712   0.856   0.716   0.507   0.523   0.562   0.701   0.528   0.689   0.783   0.888
    10.45    51.08    1964   0.873   0.863   0.743   0.697   0.681   0.446   0.418   0.498   0.428   0.531   0.659   0.728
    10.45    51.08    1965   0.854   0.897   0.902   0.644   0.628   0.641   0.538   0.549   0.561   0.470   0.659   0.916
    10.45    51.08    1966   0.903   0.930   0.747   0.690   0.507   0.544   0.820   0.645   0.639   0.562   0.912   0.916
    10.45    51.08    1967   0.918   0.808   0.735   0.627   0.461   0.715   0.508   0.532   0.742   0.694   0.715   0.792
    10.45    51.08    1968   0.917   0.882   0.838   0.568   0.625   0.492   0.406   0.476   0.650   0.824   0.806   0.769
    10.45    51.08    1969   0.784   0.802   0.898   0.823   0.743   0.731   0.427   0.361   0.723   0.538   0.646   0.720
    10.45    51.08    1970   0.750   0.937   0.897   0.813   0.683   0.443   0.450   0.771   0.566   0.690   0.895   0.866
    10.45    51.08    1971   0.846   0.776   0.687   0.566   0.518   0.589   0.309   0.237   0.358   0.535   0.739   0.882
    10.45    51.08    1972   0.813   0.808   0.780   0.632   0.641   0.673   0.604   0.829   0.589   0.491   0.734   0.853
    10.45    51.08    1973   0.814   0.874   0.813   0.622   0.541   0.419   0.411   0.398   0.585   0.803   0.891   0.904
    10.45    51.08    1974   0.877   0.828   0.802   0.506   0.566   0.606   0.688   0.534   0.494   0.691   0.877   0.917
    10.45    51.08    1975   0.891   0.823   0.762   0.734   0.626   0.562   0.527   0.331   0.510   0.571   0.657   0.693
    10.45    51.08    1976   0.897   0.855   0.677   0.530   0.424   0.581   0.243   0.331   0.305   0.585   0.664   0.755
    10.45    51.08    1977   0.744   0.769   0.797   0.678   0.498   0.578   0.675   0.794   0.699   0.686   0.900   0.916
    10.45    51.08    1978   0.865   0.811   0.726   0.552   0.591   0.387   0.517   0.560   0.623   0.794   0.675   0.755
    10.45    51.08    1979   0.835   0.863   0.908   0.801   0.591   0.468   0.629   0.476   0.489   0.498   0.800   0.915
    10.45    51.08    1980   0.876   0.821   0.663   0.642   0.541   0.488   0.561   0.338   0.439   0.659   0.766   0.890
    10.45    51.08    1981   0.922   0.905   0.836   0.603   0.743   0.636   0.420   0.654   0.512   0.883   0.871   0.943
    10.45    51.08    1982   0.919   0.866   0.670   0.494   0.515   0.359   0.409   0.392   0.225   0.541   0.581   0.612
    10.45    51.08    1983   0.638   0.674   0.657   0.847   0.699   0.536   0.344   0.514   0.512   0.489   0.428   0.553
    10.45    51.08    1984   0.662   0.852   0.748   0.789   0.748   0.693   0.583   0.647   0.734   0.800   0.798   0.911
    10.45    51.08    1985   0.917   0.879   0.752   0.608   0.426   0.545   0.464   0.496   0.494   0.339   0.364   0.696
    10.45    51.08    1986   0.910   0.864   0.845   0.870   0.659   0.646   0.392   0.506   0.677   0.699   0.822   0.746
    10.45    51.08    1987   0.941   0.924   0.946   0.678   0.618   0.833   0.570   0.702   0.668   0.733   0.750   0.909
    10.45    51.08    1988   0.892   0.857   0.885   0.713   0.421   0.418   0.633   0.399   0.384   0.388   0.494   0.868
    10.45    51.08    1989   0.878   0.755   0.749   0.586   0.507   0.513   0.393   0.402   0.433   0.596   0.891   0.920
    10.45    51.08    1990   0.888   0.805   0.802   0.672   0.504   0.667   0.582   0.387   0.656   0.596   0.703   0.868
    10.45    51.08    1991   0.845   0.781   0.676   0.460   0.434   0.340   0.211   0.552   0.217   0.245   0.373   0.533
    10.45    51.08    1992   0.797   0.762   0.758   0.679   0.404   0.406   0.593   0.349   0.548   0.528   0.767   0.932
    10.45    51.08    1993   0.925   0.924   0.796   0.546   0.373   0.685   0.652   0.506   0.584   0.661   0.818   0.898
    10.45    51.08    1994   0.918   0.871   0.844   0.749   0.614   0.568   0.576   0.526   0.698   0.647   0.749   0.917
    10.45    51.08    1995   0.906   0.887   0.712   0.629   0.593   0.750   0.597   0.487   0.736   0.736   0.683   0.722
    10.45    51.08    1996   0.807   0.815   0.721   0.583   0.720   0.550   0.654   0.671   0.695   0.693   0.872   0.911
    10.45    51.08    1997   0.918   0.892   0.830   0.665   0.530   0.353   0.596   0.526   0.469   0.588   0.732   0.870
    10.45    51.08    1998   0.879   0.772   0.737   0.577   0.554   0.517   0.548   0.402   0.749   0.883   0.930   0.885
    10.45    51.08    1999   0.838   0.806   0.762   0.641   0.475   0.646   0.672   0.495   0.429   0.453   0.802   0.910
    10.45    51.08    2000   0.901   0.907   0.867   0.665   0.459   0.394   0.514   0.513   0.702   0.726   0.676   0.674
    10.45    51.08    2001   0.671   0.732   0.793   0.774   0.581   0.545   0.678   0.326   0.548   0.609   0.800   0.927
    10.45    51.08    2002   0.893   0.839   0.856   0.663   0.699   0.656   0.632   0.663   0.591   0.790   0.919   0.924
    10.45    51.08    2003   0.927   0.897   0.776   0.502   0.496   0.610   0.377   0.201   0.488   0.641   0.697   0.891
    10.45    51.08    2004   0.893   0.875   0.703   0.569   0.765   0.467   0.586   0.359   0.387   0.479   0.679   0.898
    10.45    51.08    2005   0.899   0.911   0.855   0.631   0.542   0.356   0.478   0.671   0.620   0.694   0.681   0.779
    10.45    51.08    2006   0.775   0.726   0.796   0.692   0.551   0.614   0.525   0.636   0.599   0.646   0.714   0.701
    10.45    51.08    2007   0.794   0.798   0.720   0.543   0.483   0.694   0.654   0.746   0.617   0.772   0.805   0.884
    10.45    51.08    2008   0.842   0.751   0.742   0.776   0.499   0.443   0.512   0.327   0.455   0.671   0.867   0.914
    10.45    51.08    2009   0.856   0.804   0.806   0.616   0.685   0.565   0.559   0.410   0.532   0.734   0.912   0.939
    10.45    51.08    2010   0.948   0.949   0.806   0.556   0.706   0.463   0.526   0.804   0.658   0.832   0.899   0.941
    10.45    51.08    2011   0.940   0.839   0.692   0.509   0.298   0.339   0.633   0.550   0.604   0.597   0.577   0.689
    10.45    51.08    2012   0.891   0.856   0.648   0.466   0.461   0.651   0.655   0.497   0.450   0.531   0.640   0.927
