      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -2.02   -0.00    1.20    0.55  -11.51
    10.45    51.08    1952  -11.23   -1.77   -0.00    2.74    1.02   -9.25
    10.45    51.08    1953  -11.23   -1.99   -0.00    1.28    0.32  -11.61
    10.45    51.08    1954  -11.23   -2.20   -0.00    1.18    0.72  -11.54
    10.45    51.08    1955  -11.23   -2.08   -0.00    1.12    0.72  -11.48
    10.45    51.08    1956  -11.23   -2.22   -0.00    1.09    0.74  -11.62
    10.45    51.08    1957  -11.23   -2.22   -0.00    1.23    0.71  -11.51
    10.45    51.08    1958  -11.23   -2.01   -0.00    1.21    0.90  -11.13
    10.45    51.08    1959  -11.23   -2.08   -0.00    3.48    0.16   -9.67
    10.45    51.08    1960  -14.10   -2.48   -0.00    1.14    0.74  -14.70
    10.45    51.08    1961  -14.10   -2.31   -0.00    1.20    0.76  -14.45
    10.45    51.08    1962  -14.10   -2.48   -0.00    1.15    0.42  -15.01
    10.45    51.08    1963  -14.10   -1.96   -0.00    1.14    0.59  -14.34
    10.45    51.08    1964  -14.10   -1.73   -0.00    1.25    0.36  -14.22
    10.45    51.08    1965  -14.10   -2.44   -0.00    1.03    0.79  -14.72
    10.45    51.08    1966  -14.10   -2.12   -0.00    1.10    0.85  -14.27
    10.45    51.08    1967  -14.10   -2.08   -0.00    1.18    0.69  -14.30
    10.45    51.08    1968  -14.10   -2.18   -0.00    1.14    0.61  -14.54
    10.45    51.08    1969  -14.10   -1.93   -0.00    1.57    0.66  -13.80
    10.45    51.08    1970  -16.97   -2.08   -0.00    1.07    0.95  -17.03
    10.45    51.08    1971  -16.97   -1.95   -0.00    1.98    0.33  -16.61
    10.45    51.08    1972  -16.97   -2.47   -0.00    0.95    0.45  -18.04
    10.45    51.08    1973  -16.97   -1.73   -0.00    1.19    0.60  -16.91
    10.45    51.08    1974  -16.97   -2.25   -0.00    1.01    0.82  -17.39
    10.45    51.08    1975  -16.97   -1.73   -0.00    1.25    0.43  -17.02
    10.45    51.08    1976  -16.97   -1.79   -0.00    1.68    0.37  -16.71
    10.45    51.08    1977  -16.97   -2.20   -0.00    0.91    0.85  -17.40
    10.45    51.08    1978  -16.97   -2.27   -0.00    0.99    0.50  -17.74
    10.45    51.08    1979  -16.97   -1.90   -0.00    1.05    0.73  -17.09
    10.45    51.08    1980  -17.99   -1.97   -0.00    1.02    0.62  -18.32
    10.45    51.08    1981  -17.99   -1.91   -0.00    1.14    0.79  -17.97
    10.45    51.08    1982  -17.99   -1.63   -0.00    2.08    0.33  -17.22
    10.45    51.08    1983  -17.99   -1.50   -0.00    1.16    0.52  -17.81
    10.45    51.08    1984  -17.99   -2.16   -0.00    0.95    0.87  -18.34
    10.45    51.08    1985  -17.99   -1.88   -0.00    1.11    0.41  -18.35
    10.45    51.08    1986  -17.99   -1.81   -0.00    1.10    0.72  -17.98
    10.45    51.08    1987  -17.99   -2.03   -0.00    0.95    0.93  -18.14
    10.45    51.08    1988  -17.99   -1.82   -0.00    1.19    0.74  -17.89
    10.45    51.08    1989  -17.99   -1.83   -0.00    1.16    0.63  -18.03
    10.45    51.08    1990  -19.66   -2.56   -0.00    1.11    0.66  -20.45
    10.45    51.08    1991  -19.66   -2.27   -0.00    3.59    0.23  -18.11
    10.45    51.08    1992  -19.66   -1.72   -0.00    1.56    0.66  -19.16
    10.45    51.08    1993  -19.66   -1.85   -0.00    1.14    0.76  -19.61
    10.45    51.08    1994  -19.66   -1.99   -0.00    1.17    0.82  -19.66
    10.45    51.08    1995  -19.66   -2.01   -0.00    1.06    0.80  -19.81
    10.45    51.08    1996  -19.66   -2.38   -0.00    0.94    0.75  -20.35
    10.45    51.08    1997  -19.66   -2.09   -0.00    1.12    0.77  -19.85
    10.45    51.08    1998  -19.66   -2.44   -0.00    1.07    0.88  -20.15
    10.45    51.08    1999  -19.66   -2.15   -0.00    1.09    0.64  -20.07
    10.45    51.08    2000  -21.34   -2.04   -0.00    1.11    0.78  -21.49
    10.45    51.08    2001  -21.34   -2.20   -0.00    1.06    0.92  -21.56
    10.45    51.08    2002  -21.34   -2.20   -0.00    0.99    1.09  -21.47
    10.45    51.08    2003  -21.34   -1.87   -0.00    1.95    0.40  -20.87
    10.45    51.08    2004  -21.34   -2.34   -0.00    1.03    0.51  -22.14
    10.45    51.08    2005  -21.34   -2.26   -0.00    1.05    0.58  -21.98
    10.45    51.08    2006  -21.34   -2.14   -0.00    1.09    0.57  -21.82
    10.45    51.08    2007  -21.34   -2.10   -0.00    1.01    0.86  -21.58
    10.45    51.08    2008  -21.34   -2.28   -0.00    1.15    0.69  -21.78
    10.45    51.08    2009  -21.34   -2.05   -0.00    1.06    0.85  -21.48
    10.45    51.08    2010  -20.03   -2.41   -0.00    1.02    0.75  -20.67
    10.45    51.08    2011  -20.03   -2.23   -0.00    1.35    0.46  -20.45
    10.45    51.08    2012  -20.03   -2.34   -0.00    1.08    0.57  -20.71
