      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0679   0.0504   1.1198    1.2380
    10.45    51.08    1952   0.0691   0.0488   1.1193    1.2373
    10.45    51.08    1953   0.0704   0.0470   1.1195    1.2368
    10.45    51.08    1954   0.0718   0.0463   1.1195    1.2376
    10.45    51.08    1955   0.0727   0.0458   1.1200    1.2386
    10.45    51.08    1956   0.0736   0.0454   1.1207    1.2397
    10.45    51.08    1957   0.0746   0.0441   1.1206    1.2393
    10.45    51.08    1958   0.0757   0.0431   1.1204    1.2392
    10.45    51.08    1959   0.0766   0.0412   1.1197    1.2375
    10.45    51.08    1960   0.0783   0.0407   1.1195    1.2385
    10.45    51.08    1961   0.0772   0.0413   1.1196    1.2381
    10.45    51.08    1962   0.0783   0.0407   1.1194    1.2384
    10.45    51.08    1963   0.0794   0.0401   1.1191    1.2387
    10.45    51.08    1964   0.0806   0.0389   1.1183    1.2378
    10.45    51.08    1965   0.0817   0.0387   1.1186    1.2390
    10.45    51.08    1966   0.0828   0.0380   1.1187    1.2395
    10.45    51.08    1967   0.0841   0.0370   1.1182    1.2393
    10.45    51.08    1968   0.0850   0.0363   1.1179    1.2392
    10.45    51.08    1969   0.0860   0.0356   1.1172    1.2389
    10.45    51.08    1970   0.0870   0.0352   1.1170    1.2392
    10.45    51.08    1971   0.0877   0.0338   1.1160    1.2376
    10.45    51.08    1972   0.0888   0.0339   1.1164    1.2391
    10.45    51.08    1973   0.0897   0.0329   1.1154    1.2379
    10.45    51.08    1974   0.0889   0.0339   1.1156    1.2383
    10.45    51.08    1975   0.0899   0.0327   1.1145    1.2371
    10.45    51.08    1976   0.0906   0.0315   1.1132    1.2353
    10.45    51.08    1977   0.0915   0.0315   1.1135    1.2364
    10.45    51.08    1978   0.0923   0.0311   1.1133    1.2367
    10.45    51.08    1979   0.0932   0.0304   1.1127    1.2363
    10.45    51.08    1980   0.0938   0.0299   1.1122    1.2359
    10.45    51.08    1981   0.0775   0.0453   1.1126    1.2354
    10.45    51.08    1982   0.0778   0.0437   1.1113    1.2328
    10.45    51.08    1983   0.0786   0.0424   1.1109    1.2319
    10.45    51.08    1984   0.0797   0.0423   1.1115    1.2335
    10.45    51.08    1985   0.0803   0.0410   1.1114    1.2327
    10.45    51.08    1986   0.0814   0.0402   1.1109    1.2325
    10.45    51.08    1987   0.0824   0.0400   1.1113    1.2337
    10.45    51.08    1988   0.0833   0.0384   1.1106    1.2323
    10.45    51.08    1989   0.0655   0.0530   1.1126    1.2311
    10.45    51.08    1990   0.0707   0.0509   1.1124    1.2340
    10.45    51.08    1991   0.0715   0.0496   1.1121    1.2332
    10.45    51.08    1992   0.0720   0.0481   1.1131    1.2332
    10.45    51.08    1993   0.0724   0.0472   1.1142    1.2338
    10.45    51.08    1994   0.0735   0.0456   1.1144    1.2335
    10.45    51.08    1995   0.0742   0.0446   1.1150    1.2338
    10.45    51.08    1996   0.0749   0.0443   1.1158    1.2350
    10.45    51.08    1997   0.0757   0.0426   1.1157    1.2341
    10.45    51.08    1998   0.0769   0.0415   1.1156    1.2340
    10.45    51.08    1999   0.0780   0.0402   1.1154    1.2336
    10.45    51.08    2000   0.0793   0.0389   1.1149    1.2331
    10.45    51.08    2001   0.0804   0.0380   1.1146    1.2330
    10.45    51.08    2002   0.0815   0.0374   1.1146    1.2335
    10.45    51.08    2003   0.0824   0.0358   1.1134    1.2316
    10.45    51.08    2004   0.0834   0.0350   1.1131    1.2315
    10.45    51.08    2005   0.0850   0.0343   1.1126    1.2319
    10.45    51.08    2006   0.0864   0.0334   1.1118    1.2316
    10.45    51.08    2007   0.0856   0.0345   1.1119    1.2320
    10.45    51.08    2008   0.0860   0.0342   1.1110    1.2313
    10.45    51.08    2009   0.0872   0.0335   1.1106    1.2313
    10.45    51.08    2010   0.0878   0.0333   1.1107    1.2318
    10.45    51.08    2011   0.0887   0.0321   1.1101    1.2308
    10.45    51.08    2012   0.0903   0.0313   1.1094    1.2310
