      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    2.02    0.00   13.25 116.60  45.24  71.37  84.62
    10.45    51.08    1952   11.23    1.77    0.00   13.01 123.52  39.56  83.96  96.97
    10.45    51.08    1953   11.23    1.99    0.00   13.22 134.39  51.61  82.78  96.00
    10.45    51.08    1954   11.23    2.20    0.00   13.43 111.56  38.30  73.26  86.70
    10.45    51.08    1955   11.23    2.08    0.00   13.31 102.69  35.32  67.37  80.68
    10.45    51.08    1956   11.23    2.22    0.00   13.45 100.51  34.82  65.68  79.14
    10.45    51.08    1957   11.23    2.22    0.00   13.45 120.85  40.52  80.33  93.78
    10.45    51.08    1958   11.23    2.01    0.00   13.25 116.87  37.57  79.30  92.54
    10.45    51.08    1959   11.23    2.08    0.00   13.31 138.83  47.21  91.63 104.93
    10.45    51.08    1960   14.10    2.48    0.00   16.58 109.83  35.89  73.94  90.52
    10.45    51.08    1961   14.10    2.31    0.00   16.41 127.02  47.34  79.69  96.09
    10.45    51.08    1962   14.10    2.48    0.00   16.58 110.97  35.66  75.32  91.89
    10.45    51.08    1963   14.10    1.96    0.00   16.06 108.13  33.15  74.99  91.05
    10.45    51.08    1964   14.10    1.73    0.00   15.83 122.62  35.58  87.04 102.87
    10.45    51.08    1965   14.10    2.44    0.00   16.54  98.87  33.05  65.82  82.36
    10.45    51.08    1966   14.10    2.12    0.00   16.22 108.95  36.20  72.75  88.97
    10.45    51.08    1967   14.10    2.08    0.00   16.18 120.61  38.32  82.29  98.47
    10.45    51.08    1968   14.10    2.18    0.00   16.28 113.76  35.51  78.25  94.53
    10.45    51.08    1969   14.10    1.93    0.00   16.03 112.42  31.54  80.88  96.91
    10.45    51.08    1970   16.97    2.08    0.00   19.05 103.57  30.36  73.21  92.26
    10.45    51.08    1971   16.97    1.95    0.00   18.92 128.48  39.40  89.08 108.00
    10.45    51.08    1972   16.97    2.47    0.00   19.44  94.13  32.54  61.59  81.03
    10.45    51.08    1973   16.97    1.73    0.00   18.70 121.96  34.74  87.21 105.91
    10.45    51.08    1974   16.97    2.25    0.00   19.22 106.62  37.98  68.64  87.86
    10.45    51.08    1975   16.97    1.73    0.00   18.70 126.92  40.03  86.88 105.58
    10.45    51.08    1976   16.97    1.79    0.00   18.76 129.88  40.42  89.46 108.22
    10.45    51.08    1977   16.97    2.20    0.00   19.17  94.54  34.35  60.20  79.37
    10.45    51.08    1978   16.97    2.27    0.00   19.24 104.01  34.84  69.17  88.40
    10.45    51.08    1979   16.97    1.90    0.00   18.87 107.92  32.25  75.67  94.54
    10.45    51.08    1980   17.99    1.97    0.00   19.97 108.32  34.95  73.37  93.34
    10.45    51.08    1981   17.99    1.91    0.00   19.91 108.27  36.80  71.47  91.38
    10.45    51.08    1982   17.99    1.63    0.00   19.63 144.14  49.86  94.28 113.91
    10.45    51.08    1983   17.99    1.50    0.00   19.49 121.63  46.06  75.57  95.06
    10.45    51.08    1984   17.99    2.16    0.00   20.16  89.26  35.03  54.22  74.38
    10.45    51.08    1985   17.99    1.88    0.00   19.87 114.20  41.92  72.28  92.15
    10.45    51.08    1986   17.99    1.81    0.00   19.80 106.96  34.99  71.97  91.77
    10.45    51.08    1987   17.99    2.03    0.00   20.02  89.27  32.21  57.06  77.08
    10.45    51.08    1988   17.99    1.82    0.00   19.82 127.76  45.49  82.27 102.09
    10.45    51.08    1989   17.99    1.83    0.00   19.83 133.31  67.76  65.55  85.37
    10.45    51.08    1990   19.66    2.56    0.00   22.22 114.61  52.36  62.25  84.47
    10.45    51.08    1991   19.66    2.27    0.00   21.93 136.80  47.58  89.23 111.16
    10.45    51.08    1992   19.66    1.72    0.00   21.37 128.27  54.24  74.02  95.40
    10.45    51.08    1993   19.66    1.85    0.00   21.51 107.86  46.24  61.62  83.13
    10.45    51.08    1994   19.66    1.99    0.00   21.65 123.32  50.28  73.04  94.68
    10.45    51.08    1995   19.66    2.01    0.00   21.67 110.43  47.20  63.24  84.90
    10.45    51.08    1996   19.66    2.38    0.00   22.04  89.14  37.26  51.88  73.92
    10.45    51.08    1997   19.66    2.09    0.00   21.75 120.65  48.91  71.74  93.49
    10.45    51.08    1998   19.66    2.44    0.00   22.10 113.75  46.45  67.30  89.40
    10.45    51.08    1999   19.66    2.15    0.00   21.80 120.42  49.83  70.58  92.39
    10.45    51.08    2000   21.34    2.04    0.00   23.38 122.11  48.40  73.70  97.08
    10.45    51.08    2001   21.34    2.20    0.00   23.54 114.24  45.29  68.95  92.49
    10.45    51.08    2002   21.34    2.20    0.00   23.55 105.05  42.35  62.70  86.25
    10.45    51.08    2003   21.34    1.87    0.00   23.21 133.74  47.99  85.74 108.96
    10.45    51.08    2004   21.34    2.34    0.00   23.68 114.16  46.06  68.09  91.77
    10.45    51.08    2005   21.34    2.26    0.00   23.60 113.18  42.13  71.05  94.66
    10.45    51.08    2006   21.34    2.14    0.00   23.48 118.61  42.20  76.41  99.89
    10.45    51.08    2007   21.34    2.10    0.00   23.44 111.64  45.15  66.49  89.94
    10.45    51.08    2008   21.34    2.28    0.00   23.62 126.92  45.90  81.02 104.64
    10.45    51.08    2009   21.34    2.05    0.00   23.39 115.40  43.02  72.38  95.76
    10.45    51.08    2010   20.03    2.41    0.00   22.44 102.12  31.91  70.21  92.65
    10.45    51.08    2011   20.03    2.23    0.00   22.26 125.88  46.73  79.15 101.41
    10.45    51.08    2012   20.03    2.34    0.00   22.36 121.38  44.33  77.05  99.41
