      Lon      Lat    Year    Surf   Drain    Base   Total
    10.45    51.08    1951    77.4   117.0     6.9   201.2
    10.45    51.08    1952   141.2   194.1    19.8   355.1
    10.45    51.08    1953    34.3    63.4     3.0   100.7
    10.45    51.08    1954    19.2   151.7     1.2   172.0
    10.45    51.08    1955    51.0   148.6    11.5   211.1
    10.45    51.08    1956   114.7   169.3    17.5   301.6
    10.45    51.08    1957     9.2   143.4     0.6   153.3
    10.45    51.08    1958    97.5   188.3    10.6   296.4
    10.45    51.08    1959     0.0    35.2     0.0    35.2
    10.45    51.08    1960    76.0   151.5     4.4   231.9
    10.45    51.08    1961    75.9   172.5    11.7   260.1
    10.45    51.08    1962     3.0    87.1     2.7    92.8
    10.45    51.08    1963    10.8   123.5     7.0   141.3
    10.45    51.08    1964    28.6    74.7     1.4   104.7
    10.45    51.08    1965    32.1   163.6     5.1   200.8
    10.45    51.08    1966    89.9   181.3     9.6   280.8
    10.45    51.08    1967     0.2   148.2     0.2   148.6
    10.45    51.08    1968    27.1   128.0     2.0   157.1
    10.45    51.08    1969    50.9   129.2    12.3   192.4
    10.45    51.08    1970    39.9   199.2     6.7   245.8
    10.45    51.08    1971    16.0    70.3     0.2    86.5
    10.45    51.08    1972    46.2   107.5    10.6   164.3
    10.45    51.08    1973    11.5   115.1     2.8   129.5
    10.45    51.08    1974    26.9   176.9     2.0   205.8
    10.45    51.08    1975     0.0    87.7     0.0    87.7
    10.45    51.08    1976    11.4    73.8     2.4    87.6
    10.45    51.08    1977    77.7   181.4     9.1   268.2
    10.45    51.08    1978     2.9   105.5     0.6   109.0
    10.45    51.08    1979    58.0   144.8     4.1   206.9
    10.45    51.08    1980     4.7   124.8     0.5   129.9
    10.45    51.08    1981    71.4   166.3     8.8   246.4
    10.45    51.08    1982    11.8    64.9     1.0    77.7
    10.45    51.08    1983    47.9   104.2     5.6   157.7
    10.45    51.08    1984    31.7   187.7    16.0   235.4
    10.45    51.08    1985     2.8    81.5     0.6    84.9
    10.45    51.08    1986    41.1   149.1     7.8   198.1
    10.45    51.08    1987    96.2   207.0    14.1   317.4
    10.45    51.08    1988    31.5   143.4     6.4   181.3
    10.45    51.08    1989    19.5   123.4     1.5   144.3
    10.45    51.08    1990    19.1   147.0     1.9   167.9
    10.45    51.08    1991     7.9    46.5     1.5    55.9
    10.45    51.08    1992    73.6   124.3     6.0   203.9
    10.45    51.08    1993    45.9   156.7     5.0   207.5
    10.45    51.08    1994    54.7   175.2     2.8   232.7
    10.45    51.08    1995    41.5   169.3     7.7   218.5
    10.45    51.08    1996    39.6   165.1     3.8   208.5
    10.45    51.08    1997    32.2   156.4     8.7   197.2
    10.45    51.08    1998    37.8   182.9     4.8   225.5
    10.45    51.08    1999    21.6   137.6     4.0   163.2
    10.45    51.08    2000    10.6   157.9     2.0   170.5
    10.45    51.08    2001    23.9   188.3     6.7   218.8
    10.45    51.08    2002   129.0   234.3     8.0   371.3
    10.45    51.08    2003     6.7    84.4     2.3    93.5
    10.45    51.08    2004    61.4   109.0     8.6   179.0
    10.45    51.08    2005     5.9   123.3     2.1   131.2
    10.45    51.08    2006    22.4   117.8     3.8   144.1
    10.45    51.08    2007   143.8   181.6     9.0   334.4
    10.45    51.08    2008    14.1   138.1     1.3   153.5
    10.45    51.08    2009    43.1   182.9     3.0   229.0
    10.45    51.08    2010   117.0   167.0    15.0   298.9
    10.45    51.08    2011    63.4    95.5     1.0   159.9
    10.45    51.08    2012    22.4   130.3     2.3   155.0
